systemName;route;banner;groupName;roots
irnf;F1;;Qazvin;irn.f001
irnf;F1;;Rostmabad;irn.f001ros
irnf;F2;;(main);irn.f002
irnf;F2;;Tehran;irn.f002teh
irnf;F2;;Qom;irn.f002qom
irnf;F2;;Mashhad;irn.f002mas
irnf;F2;;(south) Mashhad;irn.f002sma
irnf;F3;;Tehran;irn.f003teh
irnf;F3;;Pole Zangoole;irn.f003pol
irnf;F3;;Chalus;irn.f003
irnf;F5;;Pardis;irn.f005par
irnf;F5;;Savel;irn.f005
irnf;F5;;Khorramabad;irn.f005kho
irnf;F5;;Ahvaz;irn.f005ahv
irnf;F6;;;irn.f006
irnf;F7;;;irn.f007
irnf;F7;;Isafhan eastern bypass;irn.f007isa
irnf;F9;;;irn.f009
irnf;F16;;Tabris;irn.f016tab
irnf;F16;;Khorkhor;irn.f016kho
irnf;F16;;Urmia;irn.f016
irnf;F51;;;irn.f051
