System;Route;Banner;Name;Roots
isls;S54;;;isl.s054
isls;S55;;;isl.s055
isls;S56;;;isl.s056
isls;S58;;;isl.s058
isls;S59;;;isl.s059
isls;S60;;;isl.s060
isls;S61;;;isl.s061
isls;S62;;;isl.s062
isls;S63;;;isl.s063
isls;S64;;;isl.s064
isls;S65;;;isl.s065
isls;S68;;;isl.s068
isls;S533;;;isl.s533
isls;S539;;;isl.s539
isls;S540;;;isl.s540
isls;S558;;;isl.s558
isls;S567;;;isl.s567
isls;S570;;;isl.s570
isls;S572;;;isl.s572
isls;S574;;;isl.s574
isls;S576;;;isl.s576
isls;S577;;;isl.s577
isls;579;;;isl.s579
isls;S582;;;isl.s582
isls;S585;;;isl.s585
isls;S586;;;isl.s586
isls;S587;;;isl.s587
isls;S589;;;isl.s589
isls;S590;;;isl.s590
isls;S602;;;isl.s602
isls;S605;;;isl.s605
isls;S606;;;isl.s606
isls;S607;;;isl.s607
isls;S608;;;isl.s608
isls;S612;;;isl.s612
isls;S617;;;isl.s617
isls;S619;;;isl.s619
isls;S622;;;isl.s622
isls;S624;;;isl.s624
isls;S625;;;isl.s625
isls;S630;;;isl.s630
isls;S632;;;isl.s632
isls;S633;;Hörgshlið;isl.s633hor
isls;S633;;Vatnsfjarðarnes;isl.s633vat
isls;S634;;;isl.s634
isls;S635;;;isl.s635
isls;S639;;;isl.s639
isls;S641;;;isl.s641
isls;S643;;;isl.s643
isls;S645;;;isl.s645
isls;S649;;;isl.s649
isls;S690;;;isl.s690
isls;S701;;;isl.s701
