System;Route;Banner;Name;Roots
itaa2;A1;;Autostrada del Sole;italom.a001,itaemi.a001,itatos.a001,itaumb.a001,italaz.a001cam,itaumb.a001lag,italaz.a001lag,itaumb.a001alv,italaz.a001sip,itaumb.a001att,italaz.a001ort,itaumb.a001ort,italaz.a001bau,itaumb.a001cas,italaz.a001,itacam.a001
itaa2;A1;;Raccordo Milano-Piazzale Corvetto;italom.a001mil
itaa2;A1;;Raccordo Autostradale Sasso Marconi;itaemi.a001sas
itaa2;A1;Var;Variante di Valico;itaemi.a001var,itatos.a001var
itaa2;A1;;Diramazione Roma Nord;italaz.a001nro
itaa2;A1;;Diramazione Roma Sud;italaz.a001sro
itaa2;A1;;Diramazione Capodichino;itacam.a001cap
itaa2;A2;;Autostrada del Mediterraneo;itacam.a002,itabas.a002,itacal.a002
itaa2;A2;Racc;Raccordo Reggio Calabria;itacal.a002racc
itaa2;A3;;Autostrada Meridionali;itacam.a003
itaa2;A4;;Autostrada Serenissima;itapie.a004,italom.a004,itaven.a004,itafri.a004ron,itaven.a004ron,itafri.a004
itaa2;A4;;Raccordo Est di Chivasso;itapie.a004chi
itaa2;A4A5;;Diramazione Ivrea-Santhià;itapie.a004a005
itaa2;A4A26;;Diramazione Stroppiana-Santhià;itapie.a004a026
itaa2;A5;;Autostrada della Valle d'Aosta;itapie.a005,itaval.a005
itaa2;A6;;Autostrada la Verdemare;itapie.a006,italig.a006
itaa2;A6;;Diramazione per Fossano;itapie.a006fos
itaa2;A7;;Autostrada dei Giovi;italom.a007,itapie.a007,italig.a007
itaa2;A7A26;;Diramazione Predosa-Bettole;itapie.a007a026
itaa2;A8;;Autostrada dei Laghi;italom.a008
itaa2;A8A26;;Diramazione Gallarate-Gattico;italom.a008a026,itapie.a008a026
itaa2;A9;;Autostrada dei Laghi;italom.a009
itaa2;A10;;Autostrada dei Fiori;italig.a010
itaa2;A11;;Autostrada Firenze-Mare;itatos.a011
itaa2;A11;;Diramazione Lucca-Viareggio;itatos.a011via
itaa2;A12;;Autostrada Azzurra (Genoa);italig.a012,itatos.a012
itaa2;A12;;Raccordo Autostradale di Pisa;itatos.a012pis
itaa2;A12;;Diramazione per Livorno;itatos.a012liv
itaa2;A12;;Autostrada Azzurra (Civitavecchia);italaz.a012
itaa2;A13;;Autostrada Bologna - Padova;itaemi.a013,itaven.a013
itaa2;A13;;Diramazione per Padova sud;itaven.a013pad
itaa2;A13;;Diramazione per Ferrara;itaemi.a013fer
itaa2;A14;;Autostrada Adriatica;itaemi.a014,itamar.a014,itaabr.a014,itamol.a014,itapug.a014
itaa2;A14;;Ramo Casalecchio;itaemi.a014cas
itaa2;A14;Dir;Diramazione per Ravenna;itaemi.a014dir
itaa2;A14;;Raccordo per tangenziale di Bari;itapug.a014bar
itaa2;A15;;Autostrada della Cisa;itaemi.a015,itatos.a015,italig.a015
itaa2;A15;;Diramazione La Spezia-Santo Stefano di Magra;italig.a015san
itaa2;A15;;Raccordo La Spezia-Lerici;italig.a015ler
itaa2;A16;;Autostrada dei Due Mari;itacam.a016,itapug.a016
itaa2;A18;;Autostrada Messina - Catinia;itasic.a018
itaa2;A18;;Autostrada Siracusa - Gela;itasic.a018sir
itaa2;A18;Dir;Diramazione per Catania;itasic.a018dir
itaa2;A19;;Autostrada Palermo - Catinia;itasic.a019
itaa2;A19;;Raccordo Caltanissetta;itasic.a019cal
itaa2;A20;;Autostrada Messina - Palermo;itasic.a020
itaa2;A21;;Autostrada dei Vini;itapie.a021,italom.a021vog,itaemi.a021,italom.a021
itaa2;A21;;Diramazione per Fiorenzuola;itaemi.a021cor
itaa2;A21;Racc;Raccordo autostradale Ospitaletto-Montichiari;italom.a021racc
itaa2;A22;;Autostrada del Brennero;itatre.a022,itaven.a022,italom.a022,itaemi.a022
itaa2;A23;;Autostrada Alpe-Adria;itafri.a023
itaa2;A24;;Autostrada dei Parchi;italaz.a024,itaabr.a024car,italaz.a024bor,itaabr.a024
itaa2;A25;;Autostrada dei Parchi;italaz.a025,itaabr.a025
itaa2;A26;;Autostrada dei Trafori;italig.a026,itapie.a026
itaa2;A27;;Autostrada d'Alemagna;itaven.a027
itaa2;A28;;Autostrada Portogruaro - Pordenone - Conegliano;itaven.a028por,itafri.a028ses,itaven.a028cin,itafri.a028,itaven.a028
itaa2;A29;;Autostrada del Sale;itasic.a029
itaa2;A29;;Bretella aeroporto Falcone e Borsellino;itasic.a029pun
itaa2;A29;Dir;Diramazione Alcamo-Trapani;itasic.a029dirtra
itaa2;A29;Dir;Diramazione per Birgi;itasic.a029dirbir
itaa2;A30;;Autostrada Caserta - Salerno;itacam.a030
itaa2;A31;;Autostrada della Val d'Astico;itaven.a031
itaa2;A32;;Autostrada del Frejus;itapie.a032
itaa2;A33;;Autostrada Asti - Cuneo (Asti);itapie.a033ast
itaa2;A33;;Autostrada Asti - Cuneo (Alba);itapie.a033alb
itaa2;A33;;Autostrada Asti - Cuneo (Cuneo);itapie.a033
itaa2;A34;;Autostrada Villesse - Goriza;itafri.a034
itaa2;A35;;Autostrada 'BreBeMi';italom.a035
itaa2;A36;;Autostrada Pedemontana Lombarda;italom.a036
itaa2;A50;;Tangenziale Ovest di Milano;italom.a050
itaa2;A51;;Tangenziale Est di Milano;italom.a051
itaa2;A52;;Tangenziale Nord di Milano;italom.a052
itaa2;A53;;Raccordo Autostradale Bereguardo - Pavia;italom.a053
itaa2;A54;;Tangenziale di Pavia;italom.a054
itaa2;A55;;Tangenziale di Torino;itapie.a055
itaa2;A55;;Tangenziale di Torino (Rivoli);itapie.a055riv
itaa2;A55;;Diramazione per Moncalieri;itapie.a055mon
itaa2;A55;;Diramazione per Pinerolo;itapie.a055pin
itaa2;A55;;Raccordo della Falchera;itapie.a055fal
itaa2;A56;;Tangenziale di Napoli;itacam.a056
itaa2;A57;;Tangenziale di Mestre;itaven.a057
itaa2;A58;;Tangenziale Est Esterna di Milano;italom.a058
itaa2;A59;;Tangenziale di Como;italom.a059
itaa2;A60;;Tangenziale Est di Varese;italom.a060
itaa2;A91;;Autostrada Roma-Fiumicino;italaz.a091
