System;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
itass2;ITA-LAZ;SS1;;Civ;Civitavecchia;italaz.ss001civ;
itass2;ITA-LAZ;SS1;;Mon;Montalto di Castro;italaz.ss001mon;
itass2;ITA-TOS;SS1;;;Grosseto;itatos.ss001;
itass2;ITA-TOS;SS1;;Liv;Livorno;itatos.ss001liv;
itass2;ITA-LIG;SS1;;Sar;Sarzana;italig.ss001sar;
itass2;ITA-LIG;SS1;;Rap;Rapallo;italig.ss001rap;
itass2;ITA-LIG;SS1;;Sav;Savona;italig.ss001sav;
itass2;ITA-LAZ;SS1;Bis;;;italaz.ss001bis;
itass2;ITA-LIG;SS1;Dir;Vad;Vado Ligure;italig.ss001dirvad;
itass2;ITA-LIG;SS1;Dir;Gri;Grimaldi;italig.ss001dirgri;
itass2;ITA-LIG;SS1;Var;;;italig.ss001var;
itass2;ITA-LAZ;SS2;;;;italaz.ss002;
itass2;ITA-TOS;SS2;;;;itatos.ss002;
itass2;ITA-LAZ;SS2;Bis;;;italaz.ss002bis;
itass2;ITA-UMB;SS3;;Nar;Narni;itaumb.ss003nar;
itass2;ITA-LAZ;SS3;;;;italaz.ss003;
itass2;ITA-UMB;SS3;;;;itaumb.ss003;
itass2;ITA-MAR;SS3;;;;itamar.ss003;
itass2;ITA-UMB;SS3;Bis;;;itaumb.ss003bis;
itass2;ITA-TOS;SS3;Bis;;;itatos.ss003bis;
itass2;ITA-EMI;SS3;Bis;;;itaemi.ss003bis;
itass2;ITA-LAZ;SS4;;;;italaz.ss004;
itass2;ITA-MAR;SS4;;;;itamar.ss004;
itass2;ITA-LAZ;SS4;Dir;;;italaz.ss004dir;
itass2;ITA-MAR;SS4;Racc;;;itamar.ss004racc;
itass2;ITA-LAZ;SS5;;;;italaz.ss005;
itass2;ITA-ABR;SS5;;Ori;Oricola;itaabr.ss005ori;
itass2;ITA-ABR;SS5;;;Avezzano;itaabr.ss005;
itass2;ITA-ABR;SS5;Qua;;;itaabr.ss005qua;
itass2;ITA-ABR;SS5;QuaDir;;;itaabr.ss005quadir;
itass2;ITA-LAZ;SS6;;;;italaz.ss006;
itass2;ITA-CAM;SS6;;;;itacam.ss006;
itass2;ITA-CAM;SS6;Dir;;;itacam.ss006dir;
itass2;ITA-MOL;SS6;Dir;;;itamol.ss006dir;
itass2;ITA-LAZ;SS7;;;Terracina;italaz.ss007;
itass2;ITA-CAM;SS7;;Cas;Caserta;itacam.ss007cas;
itass2;ITA-CAM;SS7;;Ben;Benevento;itacam.ss007ben;
itass2;ITA-BAS;SS7;;Ben;Benevento;itabas.ss007ben;
itass2;ITA-BAS;SS7;;Tar;Taranto;itabas.ss007tar;
itass2;ITA-PUG;SS7;;;;itapug.ss007;
itass2;ITA-CAM;SS7;Bis;;;itacam.ss007bis;
itass2;ITA-LAZ;SS7;Dir;;;italaz.ss007dir;
itass2;ITA-CAM;SS7;Dir;;Conzaidella Campania;itacam.ss007dir;
itass2;ITA-BAS;SS7;Dir;;;itabas.ss007dir;
itass2;ITA-CAM;SS7;Dir;Cal;Calitri Scalo;itacam.ss007dircal;
itass2;ITA-CAM;SS7;Qua;;;itacam.ss007qua;
itass2;ITA-LAZ;SS7;Racc;;;italaz.ss007racc;
itass2;ITA-CAM;SS7;Racc;;;itacam.ss007racc;
itass2;ITA-BAS;SS7;Racc;;;itabas.ss007racc;
itass2;ITA-PUG;SS7;Racc;;;itapug.ss007racc;
itass2;ITA-PUG;SS7;Ter;;;itapug.ss007ter;
itass2;ITA-LAZ;SS7;Var;;;italaz.ss007var;
itass2;ITA-CAM;SS7;Var;;;itacam.ss007var;
itass2;ITA-EMI;SS9;;Gam;Gambettola;itaemi.ss009gam;
itass2;ITA-EMI;SS9;;For;Forlimpopoli;itaemi.ss009for;
itass2;ITA-EMI;SS9;;Imo;Imola;itaemi.ss009imo;
itass2;ITA-EMI;SS9;;Cas;Castelfranco Emilia;itaemi.ss009cas;
itass2;ITA-EMI;SS9;;Rub;Rubiera;itaemi.ss009rub;
itass2;ITA-EMI;SS9;;SIE;Sant'Ilario d'Enza;itaemi.ss009sie;
itass2;ITA-EMI;SS9;;Fid;Fidenza;itaemi.ss009fid;
itass2;ITA-EMI;SS9;;;Lodi;itaemi.ss009;
itass2;ITA-LOM;SS9;;;Lodi;italom.ss009;
itass2;ITA-LOM;SS9;Dir;;;italom.ss009dir;
itass2;ITA-EMI;SS9;Var;;Tangenziale Nord;itaemi.ss009varnor;
itass2;ITA-EMI;SS9;Var;Sud;Tangenziale Sud;itaemi.ss009varsud;
itass2;ITA-TOS;SS12;;Pis;Pisa;itatos.ss012pis;
itass2;ITA-TOS;SS12;;Luc;Lucca;itatos.ss012luc;
itass2;ITA-TOS;SS12;;Mod;Modena;itatos.ss012mod;
itass2;ITA-EMI;SS12;;Mod;Modena;itaemi.ss012mod;
itass2;ITA-EMI;SS12;;Ost;Ostiglia;itaemi.ss012ost;
itass2;ITA-LOM;SS12;;Ost;Ostiglia;italom.ss012ost;
itass2;ITA-VEN;SS12;;Ost;Ostiglia;itaven.ss012ost;
itass2;ITA-VEN;SS12;;;Trento;itaven.ss012;
itass2;ITA-TRE;SS12;;;Trento;itatre.ss012;
itass2;ITA-TRE;SS12;;Ste;Sterzing;itatre.ss012ste;
itass2;ITA-EMI;SS12;Dir;;;itaemi.ss012dir;
