System;Route;Banner;Name;Roots
itass;SS7;;Taranto;ita.ss007tar
itass;SS7;Rac;Miglionico;ita.ss007rac
itass;SS7;Rac;Palagianello;ita.ss007racpal
itass;SS7;Ter;;ita.ss007ter
itass;SS13;;Tarvisio;ita.ss013tar
itass;SS14;;Trieste;ita.ss014tri
itass;SS14;Rac;;ita.ss014rac
itass;SS16;;Brindisi;ita.ss016bri
itass;SS16;;(North) Lecce;ita.ss016nle
itass;SS16;;Lecce;ita.ss016lec
itass;SS17;;Foggia;ita.ss017fog
itass;SS17;Var;;ita.ss017var
itass;SS20;;Borgo San Dalmazzo;ita.ss020
itass;SS20;;Ventimiglia;ita.ss020ven
itass;SS21;;;ita.ss021
itass;SS24;;;ita.ss024
itass;SS25;;;ita.ss025
itass;SS26;;Ivrea;ita.ss026
itass;SS26;;Derby;ita.ss026der
itass;SS26;Dir;;ita.ss026dir
itass;SS27;;Saint Bernard;ita.ss027
itass;SS27;;Variney;ita.ss027var
itass;SS27;Var;Gignod;ita.ss027vargig
itass;SS28;;Mondovi;ita.ss028
itass;SS28;;Cesio;ita.ss028ces
itass;SS28;;Imperia;ita.ss028imp
itass;SS28;Var;Pieve di Teco;ita.ss028varpie
itass;SS28;Var;Chiusanico;ita.ss028var
itass;SS32;;;ita.ss032
itass;SS33;;;ita.ss033
itass;SS34;;;ita.ss034
itass;SS52;Bis;;ita.ss052bis
itass;SS52;Bis;Dir;ita.ss052bisdir
itass;SS54;;Cividale del Friuli;ita.ss054
itass;SS54;;Tarvisio;ita.ss054tar
itass;SS54;Dir;;ita.ss054dir
itass;SS55;;;ita.ss055
itass;SS58;;;ita.ss058
itass;SS89;;;ita.ss089
itass;SS89;Dir;;ita.ss089dir
itass;SS92;;;ita.ss092
itass;SS93;;;ita.ss093
itass;SS94;;;ita.ss094
itass;SS94;Dir;;ita.ss094dir
itass;SS95;;Tito;ita.ss095
itass;SS95;;Brienza;ita.ss095bri
itass;SS95;Var;;ita.ss095var
itass;SS96;;;ita.ss096
itass;SS96;Bis;;ita.ss096bis
itass;SS99;;;ita.ss099
itass;SS100;;;ita.ss100
itass;SS101;;;ita.ss101
itass;SS106;;Catanzaro;ita.ss106
itass;SS106;;Trebisacce;ita.ss106tre
itass;SS106;;Rocco Imperial Marina;ita.ss106rim
itass;SS106;Dir;;ita.ss106dir
itass;SS106;Rad;;ita.ss106rad
itass;SS106;Var;Siderno;ita.ss106varsid
itass;SS106;Var;Catanzaro;ita.ss106var
itass;SS106;Var;Montegiordano;ita.ss106varmon
itass;SS106;Var;Nova Siri Scalo;ita.ss106varnss
itass;SS107;;;ita.ss107
itass;SS108;Bis;;ita.ss108bis
itass;SS109;;;ita.ss109
itass;SS109;Bis;;ita.ss109bis
itass;SS109;Bis;Dir;ita.ss109bisdir
itass;SS113;;;ita.ss113
itass;SS113;Dir;;ita.ss113dir
itass;SS114;;;ita.ss114
itass;SS114;Dir;;ita.ss114dir
itass;SS115;;;ita.ss115
itass;SS115;Dir;Marinella di Selinunte;ita.ss115dir
itass;SS115;Dir;Mazara del Vallo;ita.ss115dirmaz
itass;SS115;Ter;;ita.ss115ter
itass;SS115;Qua;;ita.ss115qua
itass;SS116;;;ita.ss116
itass;SS117;;;ita.ss117
itass;SS117;Bis;;ita.ss117bis
itass;SS117;Ter;;ita.ss117ter
itass;SS118;;;ita.ss118
itass;SS119;;;ita.ss119
itass;SS119;Dir;;ita.ss119dir
itass;SS120;;;ita.ss120
itass;SS120;Rac;;ita.ss120rac
itass;SS121;;;ita.ss121
itass;SS122;;;ita.ss122
itass;SS122;Bis;;ita.ss122bis
itass;SS122;Ter;;ita.ss122ter
itass;SS123;;;ita.ss123
itass;SS124;;;ita.ss124
itass;SS125;;Foxi;ita.ss125fox
itass;SS125;;Tertenia;ita.ss125ter
itass;SS125;;Olbia;ita.ss125
itass;SS125;Dir;;ita.ss125dir
itass;SS125;Var;Murera;ita.ss125var
itass;SS125;Var;Bari;ita.ss125varbar
itass;SS126;;;ita.ss126
itass;SS126;Dir;;ita.ss126dir
itass;SS127;;;ita.ss127
itass;SS127;Bis;;ita.ss127bis
itass;SS128;;;ita.ss128
itass;SS128;Bis;;ita.ss128bis
itass;SS129;;;ita.ss129
itass;SS129;Bis;;ita.ss129bis
itass;SS130;;;ita.ss130
itass;SS130;Dir;;ita.ss130dir
itass;SS131;;;ita.ss131
itass;SS131;Bis;;ita.ss131bis
itass;SS131;Dir;Olbia;ita.ss131dir
itass;SS131;Dir;Cagliari;ita.ss131dircag
itass;SS132;;;ita.ss132
itass;SS133;;;ita.ss133
itass;SS133;Bis;;ita.ss133bis
itass;SS134;;;ita.ss134
itass;SS169;;;ita.ss169
itass;SS170;Dir;;ita.ss170dir
itass;SS172;;;ita.ss172
itass;SS172;Dir;;ita.ss172dir
itass;SS177;;;ita.ss177
itass;SS179;;;ita.ss179
itass;SS179;Dir;;ita.ss179dir
itass;SS182;;Vibo Valentia;ita.ss182
itass;SS182;;Chiaravalle Centrale;ita.ss182chi
itass;SS185;;;ita.ss185
itass;SS186;;;ita.ss186
itass;SS187;;;ita.ss187
