systemName;route;banner;groupName;roots
jpnhky;N58;;Kagoshima;jpn.n058
jpnhky;N58;;Amami Oshima;jpn.n058ama
jpnhky;N58;;Okinawa;jpn.n058oki
jpnhky;N58;;Tanegashima;jpn.n058tan
jpnhky;N58;;Ginowan Bypass;jpn.n058bypgin
jpnhky;N58;;Nago East Bypass;jpn.n058bypnag
jpnhky;N58;;Naha West Road;jpn.n058bypnah
jpnhky;N58;;Onna South Bypass;jpn.n058byponm
jpnhky;N58;;Onna Bypass;jpn.n058byponn
jpnhky;N58;;Urasoe North Road;jpn.n058bypura
jpnhky;N58;;Yomitan Road N segment;jpn.n058bypyon
jpnhky;N58;;Yomitan Road S segment;jpn.n058bypyos
