systemName;region;route;banner;abbrev;city;root;altRouteNames
kazah;KAZ;AH5;x;;Almaty;kaz.ah005x;
kazah;KAZ;AH5;x;Shy;Shykment;kaz.ah005xshy;
kazah;KAZ;AH6;x;;;kaz.ah006x;
kazah;KAZ;AH7;x;;;kaz.ah007x;
kazah;KAZ;AH9;x;;;kaz.ah009x;
kazah;KAZ;AH60;x;;;kaz.ah060x;
kazah;KAZ;AH61;x;;;kaz.ah061x;
kazah;KAZ;AH61;x;Mar;Martuk (branch);kaz.ah061xmar;
kazah;KAZ;AH62;x;;;kaz.ah062x;
kazah;KAZ;AH63;x;;;kaz.ah063x;
kazah;KAZ;AH64;x;;;kaz.ah064x;
kazah;KAZ;AH67;x;;;kaz.ah067x;
kazah;KAZ;AH68;x;;;kaz.ah068x;
kazah;KAZ;AH70;x;;;kaz.ah070x;
kazah;KAZ;AH81;x;;;kaz.ah081x;
