systemName;region;route;banner;abbrev;city;root;altRouteNames
kena;KEN;A1;;;;ken.a01;
kena;KEN;A2;;;;ken.a02;
kena;KEN;A3;;;;ken.a03;
kena;KEN;A4;;;;ken.a04;
kena;KEN;A5;;;;ken.a05;
kena;KEN;A6;;;;ken.a06;
kena;KEN;A7;;;Mombasa;ken.a07;A14Mom
kena;KEN;A7;;Uku;Ukunda;ken.a07uku;
kena;KEN;A8;;;;ken.a08;A104
kena;KEN;A8;;S;South;ken.a08s;
kena;KEN;A9;;;;ken.a09;
kena;KEN;A10;;;Tangulbei;ken.a10;
kena;KEN;A10;;Kip;Kipsing;ken.a10kip;
kena;KEN;A10;;Isi;Isiolo;ken.a10isi;
kena;KEN;A10;;Gar;Garissa;ken.a10gar;
kena;KEN;A10;;Ija;Ijara;ken.a10ija;
kena;KEN;A11;;;;ken.a11;
kena;KEN;A12;;;;ken.a12;
kena;KEN;A13;;;;ken.a13;
kena;KEN;A14;;;;ken.a14;
kena;UGA;A104;;;;uga.a104;
kena;UGA;A109;;;;uga.a109;
