systemName;region;route;banner;abbrev;city;root;altRouteNames
kgzem;KGZ;EM01;;;;kgz.em01;
kgzem;KGZ;EM02;;;;kgz.em02;
kgzem;KGZ;EM03;;;;kgz.em03;
kgzem;KGZ;EM04;;;;kgz.em04;
kgzem;KGZ;EM05;;;;kgz.em05;
kgzem;KGZ;EM06;;;;kgz.em06;
kgzem;KGZ;EM07;;;;kgz.em07;
kgzem;KGZ;EM09;;;;kgz.em09;
kgzem;KGZ;EM11;;;;kgz.em11;
kgzem;KGZ;EM13;;;Osh;kgz.em13;
kgzem;TJK;EM13;;Cho;Chorku (east);tjk.em13cho;
kgzem;KGZ;EM13;;Kek;Kek Tash;kgz.em13kek;
kgzem;TJK;EM13;;;Chorku (west);tjk.em13;
kgzem;KGZ;EM13;;Isf;Isfana;kgz.em13isf;
kgzem;KGZ;EM14;;;;kgz.em14;
kgzem;KGZ;EM16;;;;kgz.em16;
