System;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
lkae;LKA;A0;;;;lka.a000;
lkae;LKA;A1;;;;lka.a001;
lkae;LKA;A2;;;;lka.a002;
lkae;LKA;A3;;;;lka.a003;
lkae;LKA;A4;;;(outlined);lka.a004;
lkae;LKA;A5;;;(outlined);lka.a005;
lkae;LKA;A6;;;;lka.a006;
lkae;LKA;A7;;;(outlined);lka.a007;
lkae;LKA;A8;;;(outlined);lka.a008;
lkae;LKA;A9;;;(outlined);lka.a009;
lkae;LKA;A10;;;(outlined);lka.a010;
lkae;LKA;A11;;;(outlined);lka.a011;
lkae;LKA;A12;;;(outlined);lka.a012;
lkae;LKA;A13;;;;lka.a013;
lkae;LKA;A14;;;;lka.a014;
lkae;LKA;A15;;;;lka.a015;
lkae;LKA;A16;;;;lka.a016;
lkae;LKA;A17;;;;lka.a017;
lkae;LKA;A18;;;;lka.a018;
lkae;LKA;A19;;;;lka.a019;
lkae;LKA;A20;;;;lka.a020;
lkae;LKA;A21;;;;lka.a021;
lkae;LKA;A22;;;;lka.a022;
lkae;LKA;A23;;;;lka.a023;
lkae;LKA;A24;;;;lka.a024;
lkae;LKA;A25;;;;lka.a025;
lkae;LKA;A26;;;;lka.a026;
lkae;LKA;A27;;;;lka.a027;
lkae;LKA;A28;;;;lka.a028;
lkae;LKA;A29;;;;lka.a029;
lkae;LKA;A30;;;;lka.a030;
lkae;LKA;A31;;;;lka.a031;
lkae;LKA;A32;;;;lka.a032;
lkae;LKA;A33;;;;lka.a033;
lkae;LKA;A34;;;;lka.a034;
lkae;LKA;A35;;;;lka.a035;

