System;Region;Route;Banner;Abbrev;City;Root
ltuk;LTU;KK101;;;;ltu.k101;
ltuk;LTU;KK102;;;;ltu.k102;
ltuk;LTU;KK103;;;;ltu.k103;
ltuk;LTU;KK104;;;;ltu.k104;
ltuk;LTU;KK105;;;;ltu.k105;
ltuk;LTU;KK106;;;;ltu.k106;
ltuk;LTU;KK107;;;;ltu.k107;
ltuk;LTU;KK108;;;;ltu.k108;
ltuk;LTU;KK109;;;;ltu.k109;
ltuk;LTU;KK110;;;;ltu.k110;
ltuk;LTU;KK111;;;;ltu.k111;
ltuk;LTU;KK112;;;;ltu.k112;
ltuk;LTU;KK113;;;;ltu.k113;
ltuk;LTU;KK114;;;;ltu.k114;
ltuk;LTU;KK115;;;;ltu.k115;
ltuk;LTU;KK116;;;;ltu.k116;
ltuk;LTU;KK117;;;;ltu.k117;
ltuk;LTU;KK118;;;;ltu.k118;
ltuk;LTU;KK119;;;;ltu.k119;
ltuk;LTU;KK120;;;;ltu.k120;
ltuk;LTU;KK121;;;;ltu.k121;
ltuk;LTU;KK122;;;;ltu.k122;
ltuk;LTU;KK123;;;;ltu.k123;
ltuk;LTU;KK124;;;;ltu.k124;
ltuk;LTU;KK125;;;;ltu.k125;
ltuk;LTU;KK126;;;;ltu.k126;
ltuk;LTU;KK127;;;;ltu.k127;
ltuk;LTU;KK128;;;;ltu.k128;
ltuk;LTU;KK129;;;;ltu.k129;
ltuk;LTU;KK130;;;;ltu.k130;
ltuk;LTU;KK131;;;;ltu.k131;
ltuk;LTU;KK132;;;;ltu.k132;
ltuk;LTU;KK133;;;;ltu.k133;
ltuk;LTU;KK134;;;;ltu.k134;
ltuk;LTU;KK135;;;;ltu.k135;
ltuk;LTU;KK136;;;;ltu.k136;
ltuk;LTU;KK137;;;;ltu.k137;
ltuk;LTU;KK138;;;;ltu.k138;
ltuk;LTU;KK139;;;;ltu.k139;
ltuk;LTU;KK140;;;;ltu.k140;
ltuk;LTU;KK141;;;;ltu.k141;
ltuk;LTU;KK142;;;;ltu.k142;
ltuk;LTU;KK143;;;;ltu.k143;
ltuk;LTU;KK144;;;;ltu.k144;
ltuk;LTU;KK145;;;;ltu.k145;
ltuk;LTU;KK146;;;;ltu.k146;
ltuk;LTU;KK147;;;;ltu.k147;
ltuk;LTU;KK148;;;;ltu.k148;
ltuk;LTU;KK149;;;;ltu.k149;
ltuk;LTU;KK150;;;;ltu.k150;
ltuk;LTU;KK151;;;;ltu.k151;
ltuk;LTU;KK152;;;;ltu.k152;
ltuk;LTU;KK153;;;;ltu.k153;
ltuk;LTU;KK154;;;;ltu.k154;
ltuk;LTU;KK155;;;;ltu.k155;
ltuk;LTU;KK156;;;;ltu.k156;
ltuk;LTU;KK157;;;;ltu.k157;
ltuk;LTU;KK158;;;;ltu.k158;
ltuk;LTU;KK159;;;;ltu.k159;
ltuk;LTU;KK160;;;;ltu.k160;
ltuk;LTU;KK161;;;;ltu.k161;
ltuk;LTU;KK162;;;;ltu.k162;
ltuk;LTU;KK163;;;;ltu.k163;
ltuk;LTU;KK164;;;;ltu.k164;
ltuk;LTU;KK165;;;;ltu.k165;
ltuk;LTU;KK166;;;;ltu.k166;
ltuk;LTU;KK167;;;;ltu.k167;
ltuk;LTU;KK168;;;;ltu.k168;
ltuk;LTU;KK169;;;;ltu.k169;
