systemName;route;banner;groupName;roots
mdar;R1;;;mda.r001
mdar;R1.1;;;mda.r0011
mdar;R2;;;mda.r002
mdar;R3;;;mda.r003
mdar;R3.1;;;mda.r0031
mdar;R4;;;mda.r004
mdar;R5;;;mda.r005
mdar;R6;;;mda.r006
mdar;R7;;;mda.r007
mdar;R8;;;mda.r008
mdar;R8.1;;;mda.r0081
mdar;R9;;;mda.r009
mdar;R10;;;mda.r010
mdar;R11.1;;;mda.r0111
mdar;R11;;;mda.r011
mdar;R12;;;mda.r012
mdar;R12.1;;;mda.r0121
mdar;R13;;;mda.r013
mdar;R14;;;mda.r014
mdar;R14.1;;;mda.r0141
mdar;R15;;;mda.r015
mdar;R16;;;mda.r016
mdar;R16.1;;;mda.r0161
mdar;R17;;;mda.r017
mdar;R18;;;mda.r018
mdar;R19;;;mda.r019
mdar;R20;;;mda.r020
mdar;R21;;;mda.r021
mdar;R22;;;mda.r022
mdar;R23;;;mda.r023
mdar;R24;;;mda.r024
mdar;R25;;;mda.r025
mdar;R26;;;mda.r026
mdar;R27;;;mda.r027
mdar;R28;;;mda.r028
mdar;R29;;;mda.r029
mdar;R29.1;;;mda.r0291
mdar;R30;;;mda.r030
mdar;R30.1;;;mda.r0301
mdar;R31;;;mda.r031
mdar;R32;;;mda.r032
mdar;R32.1;;;mda.r0321
mdar;R32.2;;;mda.r0322
mdar;R33;;;mda.r033
mdar;R34;;;mda.r034
mdar;R34.1;;;mda.r0341
mdar;R34.2;;;mda.r0342
mdar;R35;;;mda.r035
mdar;R36;;;mda.r036
mdar;R37;;;mda.r037
