systemName;route;banner;groupName;roots
mexdfeje;EJECEN;;;ejecen
mexdfeje;EJE1NTE;;;eje1nte
mexdfeje;EJE2NTE;;;eje2nte
mexdfeje;EJE3NTE;;;eje3nte
mexdfeje;EJE4NTE;;;eje4nte
mexdfeje;EJE5NTE;;;eje5nte
mexdfeje;EJE1OTE;;;eje1ote
mexdfeje;EJE2OTE;;;eje2ote
mexdfeje;EJE3OTE;;;eje3ote
mexdfeje;EJE4OTE;;;eje4ote
mexdfeje;EJE5OTE;;;eje5ote
mexdfeje;EJE7OTE;;;eje7ote
mexdfeje;EJE1PTE;;;eje1pte
mexdfeje;EJE2PTE;;;eje2pte
mexdfeje;EJE3PTE;;;eje3pte
mexdfeje;EJE5PTE;;;eje5pte
mexdfeje;EJE2SUR;;;eje2sur
mexdfeje;EJE2ASUR;;;eje2asur
mexdfeje;EJE3SUR;;;eje3sur
mexdfeje;EJE4SUR;;;eje4sur
mexdfeje;EJE5SUR;;;eje5sur
mexdfeje;EJE6SUR;;;eje6sur
mexdfeje;EJE7SUR;;;eje7sur
mexdfeje;EJE7ASUR;;;eje7asur
mexdfeje;EJE8SUR;;;eje8sur
mexdfeje;EJE10SUR;;Coyoacán;eje10sur
mexdfeje;EJE10SUR;;Tláhuac;eje10surtla
