systemName;route;banner;groupName;roots
mexdn;MEX1D;;San José del Cabo, BCS;mexbcs.mex001d
mexdn;MEX1D;;Cabo San Lucas, BCS;mexbcs.mex001dcab
mexdn;MEX1D;;Baja California;mexbc.mex001d
mexdn;MEX2D;;Baja California;mexbc.mex002d
mexdn;MEX2D;;Sonora;mexson.mex002d
mexdn;MEX2D;;Tamaulipas;mextam.mex002d
mexdn;MEX10D;;;mextam.mex010d
mexdn;MEX14D;;;mexmich.mex014d
mexdn;MEX15D;;Distrito Federal - E. Estado de México;mexdf.mex015d,mexemex.mex015dmex
mexdn;MEX15D;;Macho de Agua, MICH;mexemex.mex015dmac,mexmich.mex015dmac
mexdn;MEX15D;;W. Estado de México - E. Jalisco;mexemex.mex015d,mexmich.mex015d,mexjal.mex015d
mexdn;MEX15D;;W. Jalisco - S. Nayarit;mexjal.mex015dteq,mexnay.mex015d
mexdn;MEX15D;;Chapalilla, NAY;mexnay.mex015dcha
mexdn;MEX15D;;Tepic, NAY;mexnay.mex015dtep
mexdn;MEX15D;;N. Nayarit - S. Sinaloa;mexnay.mex015desc,mexsin.mex015d
mexdn;MEX15D;;Mazatlán, SIN;mexsin.mex015dmaz
mexdn;MEX15D;;N. Sinaloa - S. Sonora;mexsin.mex015dnav,mexson.mex015dgua
mexdn;MEX15D;;Ciudad Obregón;mexson.mex015dobr
mexdn;MEX15D;;C. Sonora;mexson.mex015d
mexdn;MEX15D;;Nogales, SON;mexson.mex015dnog
mexdn;MEX16D;;;mexchih.mex016d
mexdn;MEX19D;;;mexbcs.mex019d
mexdn;MEX37D;;Lázaro Cárdenas-Uruapan;mexmich.mex037dlaz,mexgro.mex037d,mexmich.mex037d
mexdn;MEX37D;;Morelia;mexmich.mex037dmor
mexdn;MEX40D;;Mazatlán-Torreón;mexsin.mex040d,mexdngo.mex040d,mexcoah.mex040dtor
mexdn;MEX40D;;Matamoros, COAH;mexcoah.mex040dmat
mexdn;MEX40D;;Coahuila;mexcoah.mex040d
mexdn;MEX40D;;Saltillo-Monterrey;mexcoah.mex040dsal,mexnl.mex040dmon
mexdn;MEX40D;;Nuevo León;mexnl.mex040d
mexdn;MEX43D;;;mexmich.mex043d,mexgto.mex043d
mexdn;MEX45D;;Querétaro - C. Guanajuato;mexqro.mex045d,mexgto.mex045d
mexdn;MEX45D;;W. Guanajuato - Jalisco;mexgto.mex045dleo,mexjal.mex045d
mexdn;MEX45D;;Zacatecas, ZAC;mexzac.mex045d
mexdn;MEX45D;;Victor Rosales, ZAC;mexzac.mex045dvic
mexdn;MEX45D;;Fresnillo, ZAC;mexzac.mex045dfre
mexdn;MEX45D;;Carmago, CHIH;mexchih.mex045d
mexdn;MEX45D;;Chihuahua, CHIH;mexchih.mex045dchi
mexdn;MEX45D;;Sacramento, CHIH;mexchih.mex045dsac
mexdn;MEX45D;;Villa Ahumada, CHIH;mexchih.mex045dvil
mexdn;MEX47D;;;mexqro.mex047d,mexgto.mex047d
mexdn;MEX48D;;;mexmich.mex048d
mexdn;MEX49D;;Gómez Palacio, DGO;mexdgo.mex049dgom
mexdn;MEX49D;;C. Durango - Chihuahua;mexdgo.mex049d,mexchih.mex049d
mexdn;MEX54D;;;mexcol.mex054d,mexjal.mex054d
mexdn;MEX55D;;Atlacomulco, EMEX;mexemex.mex055d
mexdn;MEX57D;;Distrito Federal - Querétaro;mexdf.mex057d,mexemex.mex057d,mexhgo.mex057d,mexemex.mex057dsju,mexqro.mex057d
mexdn;MEX57D;;Querétaro;mexqro.mex057dqro
mexdn;MEX57D;;San Luis Potosí, SLP;mexslp.mex057d
mexdn;MEX57D;;Matehuala, SLP;mexslp.mex057dmat
mexdn;MEX57D;;Nuevo León - S. Coahuila;mexnl.mex057d,mexcoah.mex057dsal
mexdn;MEX57D;;Huachichil, COAH;mexcoah.mex057dhua
mexdn;MEX57D;;Nueva Rosita, COAH;mexcoah.mex057d
mexdn;MEX68D;;;mexnay.mex068d
mexdn;MEX70D;;Nayarit;mexnay.mex070d
mexdn;MEX70D;;San Luis Potosí;mexslp.mex070d
mexdn;MEX70D;;Tamaulipas;mextam.mex070d
