systemName;route;banner;groupName;roots
mexf;MEX1;;;mexbcs.mex001,mexbc.mex001
mexf;MEX2;;Tijuana - El Porvenir;mexbc.mex002,mexson.mex002,mexchih.mex002
mexf;MEX2;;Ojinaga;mexchih.mex002oji
mexf;MEX2;;Ciudad Acuña - Playa Lauro Villar;mexcoah.mex002,mexnl.mex002,mextam.mex002
mexf;MEX3;;;mexbc.mex003
mexf;MEX5;;;mexbc.mex005
mexf;MEX8;;;mexson.mex008
mexf;MEX9;;;mexnl.mex009
mexf;MEX10;;;mexchih.mex010
mexf;MEX12;;;mexnay.mex012
mexf;MEX14;;Uruapan - Morelia;mexmich.mex014
mexf;MEX14;;Hermosillo - Moctezuma;mexson.mex014
mexf;MEX15;;;mexdf.mex015,mexemex.mex015,mexmich.mex015,mexjal.mex015,mexnay.mex015,mexsin.mex015,mexson.mex015
