systemName;route;banner;groupName;roots
mexnlm;M1;;;mexnl.m001
mexnlm;M2;;;mexnl.m002
mexnlm;M3;;;mexnl.m003
mexnlm;M3;;Santa Catarina;mexnl.m003cat
mexnlm;M4;;;mexnl.m004
mexnlm;M5;;;mexnl.m005
mexnlm;M6;;;mexnl.m006
mexnlm;M7;;;mexnl.m007
mexnlm;M8;;;mexnl.m008
mexnlm;M9;;;mexnl.m009
mexnlm;M10;;;mexnl.m010
mexnlm;M11;;;mexnl.m011
mexnlm;M12;;;mexnl.m012
mexnlm;M13;;;mexnl.m013
mexnlm;M14;;;mexnl.m014
mexnlm;M15;;;mexnl.m015
mexnlm;M15;;Avenida Rufino Tamayo;mexnl.m015ruf
mexnlm;M16;;;mexnl.m016
mexnlm;M17;;;mexnl.m017
mexnlm;M18;;;mexnl.m018
mexnlm;M19;;;mexnl.m019
mexnlm;M19;;Monterrey Centro;mexnl.m019cen
mexnlm;M20;;;mexnl.m020
mexnlm;M21;;;mexnl.m021
mexnlm;M22;;;mexnl.m022
mexnlm;M23;;;mexnl.m023
mexnlm;M24;;;mexnl.m024
mexnlm;M25;;;mexnl.m025
mexnlm;M26;;;mexnl.m026
mexnlm;M27;;;mexnl.m027
mexnlm;M28;;;mexnl.m028
mexnlm;M29;;;mexnl.m029
mexnlm;M29;;Apodaca;mexnl.m029apo
mexnlm;M29;;Contry;mexnl.m029con
mexnlm;M29;;San Nicolás de los Garza;mexnl.m029nic
mexnlm;M30;;;mexnl.m030
mexnlm;M31;;;mexnl.m031
mexnlm;M32;;;mexnl.m032
mexnlm;M32;;Monterrey Centro;mexnl.m032cen
mexnlm;M33;;;mexnl.m033
mexnlm;M33;;San Nicolás de los Garza;mexnl.m033nic
mexnlm;M34;;;mexnl.m034
mexnlm;M35;;;mexnl.m035
mexnlm;M35;;Apodaca;mexnl.m035apo
mexnlm;M36;;;mexnl.m036
mexnlm;M36;;San Nicolás de los Garza;mexnl.m036nic
mexnlm;M37;;;mexnl.m037
mexnlm;M38;;;mexnl.m038
mexnlm;M38;;San Nicolás de los Garza;mexnl.m038nic
mexnlm;M39;;;mexnl.m039
mexnlm;M40;;;mexnl.m040
mexnlm;M41;;;mexnl.m041
mexnlm;M42;;;mexnl.m042
mexnlm;M43;;;mexnl.m043
mexnlm;M43;;Colinas del Río;mexnl.m043rio
mexnlm;M44;;;mexnl.m044
mexnlm;M45;;;mexnl.m045
mexnlm;M46;;;mexnl.m046
mexnlm;M47;;;mexnl.m047
mexnlm;M48;;;mexnl.m048
mexnlm;M49;;;mexnl.m049
mexnlm;M210;;;mexnl.m210
mexnlm;M410;;;mexnl.m410
mexnlm;M910;;;mexnl.m910
mexnlm;M910;;Apodaca;mexnl.m910apo
mexnlm;M910;;Benito Juárez;mexnl.m910ben
mexnlm;M1610;;;mexnl.m1610
