systemName;route;banner;groupName;roots
mexsf;AniPer;;Anillo Periférico;mexdf.aniper,mexemex.aniper,mexdf.anipergus,mexemex.aniperixh,mexdf.anipereca,mexemex.anipereca
mexsf;AniPerEco;;Anillo Periférico Ecológico;mexpue.anipereco
mexsf;AniVialSer;;Anillo Vial Fray Junípero Serra;mexqro.anivialser
mexsf;AutNauEca;;Autopista Naucalpan-Ecatepec;mexemex.autnaueca,mexdf.autnaueca,mexemex.autnauecaeca
mexsf;AutTepSB;;Autopista Tepic-San Blas;mexnay.auttepsb
mexsf;AutUrbNte;;Autopista Urbana Norte;mexdf.auturbnte
mexsf;AutUrbPte;;Autopista Urbana Poniente;mexdf.auturbpte
mexsf;AutUrbSur;;Autopista Urbana Sur;mexdf.auturbsur
mexsf;AutUrbSurCue;;Autopista Urbana Sur (to Cuernavaca);mexdf.auturbsurcue
mexsf;Ave608;;Avenida 608;mexdf.ave608
mexsf;AveCan;;Avenida La Cantera;mexchih.avecan
mexsf;AveAquSer;;Avenida Aquiles Serdán;mexdf.aveaquser
mexsf;AveCarLazo;;Avenida Carlos Lazo;mexdf.avecarlazo
mexsf;AveCon;;Avenida Constituyentes;mexdf.avecon
mexsf;AveEjeNac;;Avenida Ejército Nacional;mexdf.aveejenac
mexsf;AveHankGon;;Avenida Carlos Hank González;mexdf.avehankgon,mexemex.avehankgon
mexsf;AveInsNte;;Avenida de los Insurgentes Norte;mexdf.aveinsnte
mexsf;AveInt;;Avenida Internacional;mexbc.aveint
mexsf;AveJuv;;Avenida de la Juventud;mexchih.avejuv
mexsf;AveLopMat;;Avenida López Mateos;mexjal.avelopmat
mexsf;AveOce;;Avenida Oceania;mexdf.aveoce
mexsf;AvePasTol;;Avenida Paseo Tollocan;mexemex.avepastol
mexsf;AvePoe;;Avenida de los Poetas;mexdf.avepoe
mexsf;AveRioAve;;Avenida Río de las Avenidas;mexhgo.averioave
mexsf;AveSanJoa;;Avenida Río San Joaquín;mexdf.avesanjoa
mexsf;AveTalCam;;Avenida Manuel Talamás Camandari;mexchih.avetalcam
mexsf;AveTeoBor;;Avenida Teófilo Borunda;mexchih.aveteobor
mexsf;AveTor;;Avenida de las Torres;mexemex.avetor
mexsf;BC201;;BC 201;mexbc.bc201
mexsf;BlvdAer;;Boulevard Aeropuerto;mexemex.blvdaer
mexsf;BlvdAviCam;;Boulevard Manuel Ávila Camacho;mexemex.blvdavicam
mexsf;BlvdBerQui;;Boulevard Bernardo Quintana;mexqro.blvdberqui
mexsf;BlvdEmiAri;;Boulevard Emilio Arizpe;mexcoah.blvdemiari
mexsf;BlvdFun;;Boulevard Fundadores;mexcoah.blvdfun
mexsf;BlvdInd;;Boulevard Independencia;mexchih.blvdind
mexsf;BlvdNazOrt;;Boulevard Nazario Silvestre Ortiz Garza;mexcoah.blvdnazort
mexsf;CalzAntAbad;;Calzada San Antonio Abad;mexdf.calzantabad
mexsf;CalzIgnZar;;Calzada Ignacio Zaragoza;mexdf.calzignzar
mexsf;CalzTla;;Calzada de Tlalpan;mexdf.calztla
mexsf;CarrEsc;;Carretera Escénica;mexbc.carresc
mexsf;CtoBic;;Circuito Bicentenario;mexdf.ctobic
mexsf;DistHebCas;;Distribuidor Vial Heberto Castillo;mexdf.disthebcas
mexsf;DistSanAnt;;Distribuidor Vial San Antonio;mexdf.distsanant
mexsf;LibSur;;Libramiento Sur;mexbc.libsur
mexsf;MalRio;;Malecón del Río de los Gómez;mexgto.malrio
mexsf;PerCamReal;;Periférico Camino Real;mexchih.percamreal
mexsf;PerLuisEch;;Periférico Luis Echeverría Álvarez;mexcoah.perluisech
mexsf;PerOte;;Periférico Oriente;mexjal.perote
mexsf;RadSanJoa;;Radial Río San Joaquín;mexemex.radsanjoa
mexsf;ViadBic;;Viaducto Bicentenario;mexemex.viadbic
mexsf;ViadMigAle;;Viaducto Miguel Alemán;mexdf.viadmigale
mexsf;ViadRioBec;;Viaducto Río Becerra;mexdf.viadriobec
mexsf;ViadRioPie;;Viaducto Río de la Piedad;mexdf.viadriopie
mexsf;ViadTla;;Viaducto Tlalpan;mexdf.viadtla
mexsf;ViaRap;;Vía Rápida;mexbc.viarap
mexsf;ViaRapAla;;Vía Rápida Alamar;mexbc.viarapala
mexsf;YUC01;;YUC 01;mexyuc.yuc01
