systemName;region;route;banner;abbrev;city;root;altRouteNames
mtqd;MTQ;D1;;;;mtq.d001;
mtqd;MTQ;D1;a;;;mtq.d001a;
mtqd;MTQ;D2;;;;mtq.d002;
mtqd;MTQ;D2;a;;;mtq.d002a;
mtqd;MTQ;D3;;;;mtq.d003;
mtqd;MTQ;D3;a;;;mtq.d003a;
mtqd;MTQ;D3;b;;;mtq.d003b;
mtqd;MTQ;D3;c;;;mtq.d003c;
mtqd;MTQ;D4;;;;mtq.d004;
mtqd;MTQ;D4;a;;;mtq.d004a;
mtqd;MTQ;D5;;;;mtq.d005;
mtqd;MTQ;D6;;;;mtq.d006;
mtqd;MTQ;D7;;;;mtq.d007;
mtqd;MTQ;D7;a;;;mtq.d007a;
mtqd;MTQ;D8;;;;mtq.d008;
mtqd;MTQ;D9;;;;mtq.d009;
mtqd;MTQ;D9;a;;;mtq.d009a;
mtqd;MTQ;D10;;;;mtq.d010;
mtqd;MTQ;D10;;Gra;Grand Riviere;mtq.d010gra;
mtqd;MTQ;D10;a;;;mtq.d010a;
mtqd;MTQ;D11;;;;mtq.d011;
mtqd;MTQ;D12;;;;mtq.d012;
mtqd;MTQ;D12;a;;;mtq.d012a;
mtqd;MTQ;D13;;;;mtq.d013;
mtqd;MTQ;D13;a;;;mtq.d013a;
mtqd;MTQ;D14;;;;mtq.d014;
mtqd;MTQ;D14;a;;;mtq.d014a;
mtqd;MTQ;D15;;;;mtq.d015;
mtqd;MTQ;D15;a;;;mtq.d015a;
mtqd;MTQ;D15;b;;;mtq.d015b;
mtqd;MTQ;D15;c;;;mtq.d015c;
mtqd;MTQ;D16;;;;mtq.d016;
mtqd;MTQ;D17;;;;mtq.d017;
mtqd;MTQ;D18;;;;mtq.d018;
mtqd;MTQ;D18;a;;;mtq.d018a;
mtqd;MTQ;D19;;;;mtq.d019;
mtqd;MTQ;D20;;;;mtq.d020;
mtqd;MTQ;D20;a;;;mtq.d020a;
mtqd;MTQ;D21;;;;mtq.d021;
mtqd;MTQ;D22;;;;mtq.d022;
mtqd;MTQ;D22;b;;;mtq.d022b;
mtqd;MTQ;D23;;;;mtq.d023;
mtqd;MTQ;D24;;;;mtq.d024;
mtqd;MTQ;D24;b;;;mtq.d024b;
mtqd;MTQ;D25;;;;mtq.d025;
mtqd;MTQ;D25;a;;;mtq.d025a;
mtqd;MTQ;D26;;;;mtq.d026;
mtqd;MTQ;D27;;;;mtq.d027;
mtqd;MTQ;D28;;;;mtq.d028;
mtqd;MTQ;D29;;;;mtq.d029;
mtqd;MTQ;D29;a;;;mtq.d029a;
mtqd;MTQ;D30;;;;mtq.d030;
mtqd;MTQ;D31;;;;mtq.d031;
mtqd;MTQ;D32;;;;mtq.d032;
mtqd;MTQ;D33;;;;mtq.d033;
mtqd;MTQ;D34;;;;mtq.d034;
mtqd;MTQ;D35;;;;mtq.d035;
mtqd;MTQ;D35;a;;;mtq.d035a;
mtqd;MTQ;D36;;;;mtq.d036;
mtqd;MTQ;D37;;;;mtq.d037;
mtqd;MTQ;D38;;;;mtq.d038;
mtqd;MTQ;D39;;;;mtq.d039;
mtqd;MTQ;D40;;;;mtq.d040;
mtqd;MTQ;D40;b;;;mtq.d040b;
mtqd;MTQ;D41;;;;mtq.d041;
mtqd;MTQ;D42;;;;mtq.d042;
mtqd;MTQ;D43;;;;mtq.d043;
mtqd;MTQ;D43;a;;;mtq.d043a;
mtqd;MTQ;D44;;;;mtq.d044;
mtqd;MTQ;D45;;;;mtq.d045;
mtqd;MTQ;D45;a;;;mtq.d045a;
mtqd;MTQ;D46;;;;mtq.d046;
mtqd;MTQ;D47;;;;mtq.d047;
mtqd;MTQ;D48;;;;mtq.d048;
mtqd;MTQ;D49;;;;mtq.d049;
mtqd;MTQ;D50;;;;mtq.d050;
mtqd;MTQ;D51;;;;mtq.d051;
mtqd;MTQ;D52;;;;mtq.d052;
mtqd;MTQ;D53;;;;mtq.d053;
mtqd;MTQ;D54;;;;mtq.d054;
mtqd;MTQ;D55;;;;mtq.d055;
mtqd;MTQ;D56;;;;mtq.d056;
mtqd;MTQ;D57;;;;mtq.d057;
mtqd;MTQ;D58;;;;mtq.d058;
mtqd;MTQ;D59;;;;mtq.d059;
mtqd;MTQ;D60;;;;mtq.d060;
mtqd;MTQ;D61;;;;mtq.d061;
mtqd;MTQ;D62;;;;mtq.d062;
mtqd;MTQ;D63;;Mor;Morne Rose;mtq.d063mor;
mtqd;MTQ;D63;;;Bellefontaine;mtq.d063;
