systemName;region;route;banner;abbrev;city;root;altRouteNames
naca;GTM;CA1;;;;gtm.ca001;
naca;GTM;CA2;;;;gtm.ca002;
naca;GTM;CA2;;Tec;Tecún Umán;gtm.ca002tec;
naca;GTM;CA8;;;;gtm.ca008;
naca;GTM;CA9;;Nor;Norte;gtm.ca009nor;
naca;GTM;CA9;;Sur;Sur;gtm.ca009sur;
naca;GTM;CA9A;;;;gtm.ca009a;
naca;GTM;CA10;;;;gtm.ca010;
naca;GTM;CA11;;;;gtm.ca011;
naca;GTM;CA12;;;;gtm.ca012;
naca;GTM;CA13;;;;gtm.ca013;
naca;GTM;CA13;;Ele;Santa Elena;gtm.ca013ele;
naca;GTM;CA13A;;;;gtm.ca013a;
naca;GTM;CA14;;;;gtm.ca014;
