systemName;route;banner;groupName;roots
nasib;AmbBri;;Ambassador Bridge;on.ambbri,mi.ambbri
nasib;AmiDam;;Amistad Dam;mexcoah.amidam,tx.amidam
nasib;AnzIntBri;;Anzalduas International Bridge;mextam.anzintbri,tx.anzintbri
nasib;BluWatBri;;Blue Water Bridge;mi.bluwatbri,on.bluwatbri
nasib;FreTraBri;;Free Trade International Bridge;mextam.fretrabri,tx.fretrabri
nasib;GorHowBri;;Gordie Howe Bridge;on.gorhowbri,mi.gorhowbri
nasib;LarColBri;;Laredo-Colombia Solidarity International Bridge;mexnl.larcolbri,tx.larcolbri
nasib;LewQueBri;;Lewiston-Queenston Bridge;on.lewquebri,ny.lewquebri
nasib;OgdPreBri;;Ogdensburg-Prescott Bridge;ny.ogdprebri,on.ogdprebri
nasib;PeaBri;;Peace Bridge;on.peabri,ny.peabri
nasib;PorIntBri;;Porvenir International Bridge;mexchih.porintbri,tx.porintbri
nasib;PreOjiBri;;Presidio-Ojinaga International Bridge;mexchih.preojibri,tx.preojibri
nasib;PueSucII;;Puente Suchiate II;mexchis.puesucii,gtm.puesucii
nasib;ReyPhaBri;;Reynosa-Pharr International Bridge;mextam.reyphabri,tx.reyphabri
nasib;TorGuaBri;;Tornillo-Guadalupe Bridge;mexchih.torguabri,tx.torguabri
nasib;VetIntBri;;Veterans International Bridge;mextam.vetintbri,tx.vetintbri
nasib;WorTraBri;;World Trade International Bridge;mextam.wortrabri,tx.wortrabri
