System;Region;Route;Banner;Abbrev;City;Root;AltRouteName
norfv;NOR;Fv7;;;;nor.fv007;
norfv;NOR;Fv12;;;;nor.fv012;
norfv;NOR;Fv13;;;;nor.fv013;
norfv;NOR;Fv17;;Bod;Bodø;nor.fv017bod;
norfv;NOR;Fv17;;Ags;Ågskaret;nor.fv017ags;
norfv;NOR;Fv17;;Nes;Nesna;nor.fv017nes;
norfv;NOR;Fv17;;San;Sandnessjøen;nor.fv017san;
norfv;NOR;Fv17;;For;Forvik;nor.fv017for;
norfv;NOR;Fv17;;Bro;Brønnøysund;nor.fv017bro;
norfv;NOR;Fv17;;;Namsos;nor.fv017;
norfv;NOR;Fv21;;;;nor.fv021;
norfv;NOR;Fv22;;Gje;Gjelleråsen;nor.fv022gje;
norfv;NOR;Fv22;;;Halden;nor.fv022;
norfv;NOR;Fv24;;;;nor.fv024;
norfv;NOR;Fv26;;;;nor.fv026;
norfv;NOR;Fv27;;;;nor.fv027;
norfv;NOR;Fv28;;;;nor.fv028;
norfv;NOR;Fv29;;;;nor.fv029;
