systemName;region;route;banner;abbrev;city;root;altRouteNames
norfv7;NOR;Fv700;;;;nor.fv700;
norfv7;NOR;Fv701;;;;nor.fv701;
norfv7;NOR;Fv704;;;;nor.fv704;
norfv7;NOR;Fv705;;;;nor.fv705;
norfv7;NOR;Fv707;;;;nor.fv707;
norfv7;NOR;Fv708;;;;nor.fv708;
norfv7;NOR;Fv709;;;;nor.fv709;
norfv7;NOR;Fv710;;Bot;Botngard;nor.fv710bot;
norfv7;NOR;Fv710;;;Orkanger;nor.fv710;
norfv7;NOR;Fv713;;;(Main);nor.fv713;
norfv7;NOR;Fv713;;For;Forsnes;nor.fv713for;
norfv7;NOR;Fv714;;;(Main);nor.fv714;
norfv7;NOR;Fv714;;Kna;Knarrlaget;nor.fv714kna;
norfv7;NOR;Fv715;;;Årnes;nor.fv715;
norfv7;NOR;Fv715;;Tro;Trondheim;nor.fv715tro;
norfv7;NOR;Fv716;;;;nor.fv716;
norfv7;NOR;Fv717;;;;nor.fv717;
norfv7;NOR;Fv718;;;;nor.fv718;
norfv7;NOR;Fv720;;;;nor.fv720;
norfv7;NOR;Fv721;;;(Main);nor.fv721;
norfv7;NOR;Fv721;;Bot;Botngard;nor.fv721bot;
norfv7;NOR;Fv723;;;;nor.fv723;
