systemName;route;banner;groupName;roots
norfv8;Fv801;;;nor.fv801
norfv8;Fv802;;;nor.fv802
norfv8;Fv804;;;nor.fv804
norfv8;Fv806;;;nor.fv806
norfv8;Fv808;;Bardalselva;nor.fv808
norfv8;Fv808;;Hemnesberget;nor.fv808hem
norfv8;Fv809;;Bjørn;nor.fv809
norfv8;Fv809;;Sandnessjøen;nor.fv809san
norfv8;Fv812;;;nor.fv812
norfv8;Fv813;;;nor.fv813
norfv8;Fv815;;;nor.fv815
norfv8;Fv816;;;nor.fv816
norfv8;Fv817;;;nor.fv817
norfv8;Fv818;;;nor.fv818
norfv8;Fv819;;;nor.fv819
norfv8;Fv820;;;nor.fv820
norfv8;Fv821;;;nor.fv821
norfv8;Fv822;;;nor.fv822
