systemName;region;route;banner;abbrev;city;root;altRouteNames
norrv;NOR;Rv2;;;;nor.rv002;
norrv;NOR;Rv3;;;;nor.rv003;
norrv;NOR;Rv4;;;;nor.rv004;
norrv;NOR;Rv5;;Lae;Lærdal;nor.rv005lae;
norrv;NOR;Rv5;;;Førde;nor.rv005;
norrv;NOR;Rv7;;;;nor.rv007;
norrv;NOR;Rv9;;;;nor.rv009;
norrv;NOR;Rv12;;;;nor.rv012;
norrv;NOR;Rv13;;San;Sandnes;nor.rv013san;
norrv;NOR;Rv13;;Jor;Jørpeland;nor.rv013jor;
norrv;NOR;Rv13;;;Odda;nor.rv013;
norrv;NOR;Rv15;;;;nor.rv015;
norrv;NOR;Rv19;;;Moss;nor.rv019;
norrv;NOR;Rv19;;Hor;Horten;nor.rv019hor;
norrv;NOR;Rv21;;;;nor.rv021;
norrv;NOR;Rv22;;;;nor.rv022;
norrv;NOR;Rv23;;;;nor.rv023;
norrv;NOR;Rv25;;;;nor.rv025;
norrv;NOR;Rv35;;;;nor.rv035;
norrv;NOR;Rv36;;;;nor.rv036;
norrv;NOR;Rv40;;;;nor.rv040;
norrv;NOR;Rv41;;;;nor.rv041;
norrv;NOR;Rv42;;;;nor.rv042;
norrv;NOR;Rv44;;;;nor.rv044;
norrv;NOR;Rv52;;;;nor.rv052;
norrv;NOR;Rv55;;;;nor.rv055;
norrv;NOR;Rv70;;;;nor.rv070;
norrv;NOR;Rv73;;;;nor.rv073;
norrv;NOR;Rv77;;;;nor.rv077;
norrv;NOR;Rv80;;;;nor.rv080;
norrv;NOR;Rv80;;Bod;Bodø Lufthavn (spur);nor.rv080bod;
norrv;NOR;Rv83;;;;nor.rv083;
norrv;NOR;Rv85;;Bog;Bognes;nor.rv085bog;
norrv;NOR;Rv85;;;Sortland;nor.rv085;
norrv;NOR;Rv92;;;Karasjok;nor.rv092;
norrv;NOR;Rv92;;Nei;Neiden;nor.rv092nei;Rv893
norrv;NOR;Rv93;;;;nor.rv093;
norrv;NOR;Rv94;;;;nor.rv094;
norrv;NOR;Rv110;;;;nor.rv110;
norrv;NOR;Rv111;;;;nor.rv111;
norrv;NOR;Rv120;;;;nor.rv120;
norrv;NOR;Rv150;;;;nor.rv150;
norrv;NOR;Rv159;;;;nor.rv159;
norrv;NOR;Rv163;;;;nor.rv163;
norrv;NOR;Rv191;;;;nor.rv191;
norrv;NOR;Rv354;;;;nor.rv354;
norrv;NOR;Rv451;;;;nor.rv451;
norrv;NOR;Rv509;;;;nor.rv509;
norrv;NOR;Rv555;;;;nor.rv555;
norrv;NOR;Rv580;;;;nor.rv580;
norrv;NOR;Rv651;;Vol;Volda;nor.rv651vol;
norrv;NOR;Rv651;;;Folkestad;nor.rv651;
norrv;NOR;Rv681;;;;nor.rv681;
norrv;NOR;Rv658;;;;nor.rv658;
norrv;NOR;Rv706;;;;nor.rv706;
norrv;NOR;Rv827;;Dra;Drag;nor.rv827dra;
norrv;NOR;Rv827;;;Kjøpsvik;nor.rv827;
norrv;NOR;Rv833;;;;nor.rv833;
norrv;NOR;Rv853;;;;nor.rv853;
norrv;NOR;Rv862;;;;nor.rv862;
norrv;NOR;Rv881;;;;nor.rv881;
norrv;NOR;Rv887;;;;nor.rv887;
norrv;NOR;Rv892;;;;nor.rv892;
