System;Route;Banner;Name;Roots
nplh;H01;;;nlp.h001
nplh;H02;;;nlp.h002
nplh;H03;;;nlp.h003
nplh;H04;;;nlp.h004
nplh;H05;;;nlp.h005
nplh;H06;;;nlp.h006
nplh;H07;;;nlp.h007
nplh;H08;;;nlp.h008
nplh;H09;;;nlp.h009
nplh;H10;;;nlp.h010
nplh;H11;;;nlp.h011
nplh;H12;;;nlp.h012
nplh;H13;;;nlp.h013
nplh;H14;;;nlp.h014
nplh;H15;;;nlp.h015
nplh;H16;;;nlp.h016
nplh;H17;;Dhangadhi;nlp.h017dha
nplh;H17;;Gadhawa;nlp.h017gad
nplh;H17;;Janakpur;nlp.h017
nplh;H17;;Biratnagar;nlp.h017bir
nplh;H17;;Bhadrapur;nlp.h017bha
nplh;H18;;Mangalsen;nlp.h018man
nplh;H18;;Burtibang;nlp.h018
nplh;H18;;Ghurmi;nlp.h018ghu
