systemName;route;bannergroupName;roots
nzlrr;RR3;;Auckland;nzl.rr003auc
nzlrr;RR4;;Auckland;nzl.rr004auc
nzlrr;RR5;;Auckland;nzl.rr005auc
nzlrr;RR6;;Auckland;nzl.rr006auc
nzlrr;RR7;;Auckland;nzl.rr007auc
nzlrr;RR8;;Auckland;nzl.rr008auc
nzlrr;RR9;;Auckland;nzl.rr009auc
nzlrr;RR10;;Auckland;nzl.rr010auc
nzlrr;RR10A;;Auckland;nzl.rr010aauc
nzlrr;RR10B;;Auckland;nzl.rr010bauc
nzlrr;RR11;;Auckland;nzl.rr011auc
nzlrr;RR12;;Auckland;nzl.rr012auc
nzlrr;RR13;;Auckland;nzl.rr013auc
nzlrr;RR14;;Auckland;nzl.rr014auc
nzlrr;RR15;;Auckland;nzl.rr015auc
nzlrr;RR17;;Auckland;nzl.rr017auc
nzlrr;RR19;;Auckland;nzl.rr019auc
nzlrr;RR19A;;Auckland;nzl.rr019aauc
nzlrr;RR21;;Auckland;nzl.rr021auc
nzlrr;RR23;;Auckland;nzl.rr023auc
nzlrr;RR24;;Auckland;nzl.rr024auc
nzlrr;RR25;;Auckland;nzl.rr025auc
nzlrr;RR26;;Auckland;nzl.rr026auc
nzlrr;RR27;;Auckland;nzl.rr027auc
nzlrr;RR28;;Auckland;nzl.rr028auc
nzlrr;RR29;;Auckland;nzl.rr029auc
nzlrr;RR30;;Auckland;nzl.rr030auc
nzlrr;RR31;;Auckland;nzl.rr031auc
nzlrr;RR32;;Auckland;nzl.rr032auc
nzlrr;RR35;;Auckland;nzl.rr035auc
nzlrr;RRR;;Christchurch;nzl.rr00rchr
nzlrr;RR70;;Christchurch;nzl.rr070chr
nzlrr;RR72;;Christchurch;nzl.rr072chr
nzlrr;RR4;;Hamilton;nzl.rr004ham
nzlrr;RR6;;Hamilton;nzl.rr006ham
nzlrr;RR7;;Hamilton;nzl.rr007ham
nzlrr;RR9;;Hamilton;nzl.rr009ham
nzlrr;RR10;;Hamilton;nzl.rr010ham
nzlrr;RRHR;;Hamilton;nzl.rr0hrham
nzlrr;RR1;;New Plymouth;nzl.rr001npl
nzlrr;RR5;;New Plymouth;nzl.rr005npl
