systemName;route;banner;groupName;roots
nzltr;AdvHwy;;Adventure Highway;nzl.advhwy
nzltr;APTTR;;Alpine Pacific Triangle Tourism Route (main);nzl.apttr
nzltr;APTTR;;Alpine Pacific Triangle Tourism Route (Culverden);nzl.apttrcul
nzltr;APTTR;;Alpine Pacific Triangle Tourism Route (Kaikoura);nzl.apttrkai
nzltr;AlpSR;;Alpine Scenic Route;nzl.alpsr
nzltr;CNZWT;;Classic New Zealand Wine Trail;nzl.cnzwt
nzltr;CNZWT;;Classic New Zealand Wine Trail (Blenheim);nzl.cnzwtble
nzltr;ForWorHwy;;Forgotten World Highway;nzl.forworhwy
nzltr;ISTR;;Inland Scenic Tourist Route;nzl.istr
nzltr;MatWineTrl;;Matakana Wine Trail;nzl.matwinetrl
nzltr;PacCoaHwy;;Pacific Coast Highway;nzl.paccoahwy
nzltr;SouSR;;Southern Scenic Route;nzl.sousr
nzltr;StaHwy;;Starlight Highway;nzl.stahwy
nzltr;StaHwy;;Starlight Highway;nzl.stahwytwi
nzltr;SurfHwy;;Surf Highway;nzl.surfhwy
nzltr;TCDR;;Twin Coast Discovery Route;nzl.tcdr
nzltr;TheExpHwy;;Thermal Explorer Highway;nzl.theexphwy
nzltr;VolLpHwy;;Volcanic Loop Highway;nzl.vollphwy
