systemName;route;banner;groupName;roots
perpe;PE1N;;;per.pe01n
perpe;PE1NA;;;per.pe01na
perpe;PE1NB;;;per.pe01nb
perpe;PE1ND;;;per.pe01nd
perpe;PE1NE;;;per.pe01ne
perpe;PE1NF;;;per.pe01nf
perpe;PE1NI;;;per.pe01ni
perpe;PE1NJ;;;per.pe01nj
perpe;PE1NK;;;per.pe01nk
perpe;PE1NL;;;per.pe01nl
perpe;PE1NM;;;per.pe01nm
perpe;PE1NN;;;per.pe01nn
perpe;PE1NO;;;per.pe01no
perpe;PE1NR;;;per.pe01nr
perpe;PE1NS;;;per.pe01ns
perpe;PE1NT;;;per.pe01nt
perpe;PE1NU;;;per.pe01nu
perpe;PE1S;;;per.pe01s
perpe;PE1S;;Pisco (variant);per.pe01spis
perpe;PE1SA;;;per.pe01sa
perpe;PE1SB;;;per.pe01sb
perpe;PE1SC;;;per.pe01sc
perpe;PE1SD;;;per.pe01sd
perpe;PE1SF;;;per.pe01sf
perpe;PE1SG;;;per.pe01sg
perpe;PE1SJ;;;per.pe01sj
perpe;PE02;;;per.pe02
perpe;PE02A;;;per.pe02a
perpe;PE02B;;;per.pe02b
perpe;PE02C;;;per.pe02c
perpe;PE3N;;;per.pe03n
perpe;PE3NA;;;per.pe03na
perpe;PE3NC;;;per.pe03nc
perpe;PE3ND;;;per.pe03nd
perpe;PE3NE;;;per.pe03ne
perpe;PE3S;;;per.pe03s
perpe;PE3SA;;;per.pe03sa
perpe;PE3SB;;;per.pe03sb
perpe;PE3SC;;;per.pe03sc
perpe;PE3SD;;;per.pe03sd
perpe;PE3SE;;;per.pe03se
perpe;PE3SF;;;per.pe03sf
perpe;PE3SG;;;per.pe03sg
perpe;PE3SH;;;per.pe03sh
perpe;PE3SK;;;per.pe03sk
perpe;PE3SL;;;per.pe03sl
perpe;PE3SM;;;per.pe03sm
perpe;PE3SV;;;per.pe03sv
perpe;PE3SW;;;per.pe03sw
perpe;PE3SY;;;per.pe03sy
perpe;PE04;;;per.pe04
perpe;PE04B;;;per.pe04b
perpe;PE04C;;;per.pe04c
perpe;PE5N;;;per.pe05n
perpe;PE5NA;;;per.pe05na
perpe;PE5NB;;;per.pe05nb
perpe;PE5NC;;;per.pe05nc
perpe;PE5ND;;;per.pe05nd
perpe;PE5NE;;;per.pe05ne
perpe;PE5NG;;;per.pe05ng
perpe;PE5NH;;;per.pe05nh
perpe;PE5S;;;per.pe05s
perpe;PE5SA;;;per.pe05sa
perpe;PE06;;;per.pe06
perpe;PE06A;;;per.pe06a
perpe;PE06B;;;per.pe06b
perpe;PE08;;;per.pe08
perpe;PE08A;;;per.pe08a
perpe;PE08B;;Chachapoyas;per.pe08b
perpe;PE08B;;Soritor;per.pe08bsor
perpe;PE08C;;;per.pe08c
perpe;PE10;;;per.pe10
perpe;PE10A;;;per.pe10a
perpe;PE10B;;Calemar;per.pe10b
perpe;PE10B;;Huicungo;per.pe10bhui
perpe;PE10C;;;per.pe10c
perpe;PE12;;;per.pe12
perpe;PE12A;;;per.pe12a
perpe;PE12B;;;per.pe12b
perpe;PE14;;;per.pe14
perpe;PE14A;;Huacaybamba;per.pe14a
perpe;PE14A;;Monzón;per.pe14amon
perpe;PE14B;;;per.pe14b
perpe;PE14C;;;per.pe14c
perpe;PE14D;;;per.pe14d
perpe;PE16;;;per.pe16
perpe;PE16A;;;per.pe16a
perpe;PE18;;;per.pe18
perpe;PE18A;;;per.pe18a
perpe;PE18B;;;per.pe18b
perpe;PE18C;;;per.pe18c
perpe;PE20;;;per.pe20
perpe;PE20A;;;per.pe20a
perpe;PE20B;;;per.pe20b
perpe;PE20C;;;per.pe20c
perpe;PE20I;;;per.pe20i
perpe;PE20K;;;per.pe20k
perpe;PE22;;;per.pe22
perpe;PE22B;;;per.pe22b
perpe;PE22C;;;per.pe22c
perpe;PE24;;;per.pe24
perpe;PE24A;;;per.pe24a
perpe;PE24A;;Satipo (variant);per.pe24asat
perpe;PE26;;;per.pe26
perpe;PE26A;;;per.pe26a
perpe;PE26B;;;per.pe26b
perpe;PE28;;;per.pe28
perpe;PE28A;;;per.pe28a
perpe;PE28B;;;per.pe28b
perpe;PE28C;;Pichari;per.pe28cpic
perpe;PE28C;;San Martín de Pangoa;per.pe28c
perpe;PE28D;;;per.pe28d
perpe;PE28E;;;per.pe28e
perpe;PE28F;;;per.pe28f
perpe;PE28G;;;per.pe28g
perpe;PE30;;;per.pe30
perpe;PE30A;;;per.pe30a
perpe;PE30B;;;per.pe30b
perpe;PE30C;;;per.pe30c
perpe;PE30D;;;per.pe30d
perpe;PE32;;;per.pe32
perpe;PE32A;;;per.pe32a
perpe;PE32C;;;per.pe32c
perpe;PE34;;;per.pe34
perpe;PE34A;;;per.pe34a
perpe;PE34B;;;per.pe34b
perpe;PE34C;;;per.pe34c
perpe;PE34E;;;per.pe34e
perpe;PE34F;;;per.pe34f
perpe;PE34G;;;per.pe34g
perpe;PE34H;;;per.pe34h
perpe;PE34I;;;per.pe34i
perpe;PE34J;;;per.pe34j
perpe;PE34K;;;per.pe34k
perpe;PE34L;;;per.pe34l
perpe;PE36;;;per.pe36
perpe;PE36A;;;per.pe36a
perpe;PE36B;;;per.pe36b
perpe;PE36D;;;per.pe36d
perpe;PE38;;;per.pe38
perpe;PE38A;;;per.pe38a
perpe;PE40;;;per.pe40
perpe;PE40A;;;per.pe40a
