systemName;route;banner;groupName;roots
poldw3;DW300;;;pol.dw300
poldw3;DW301;;;pol.dw301
poldw3;DW302;;;pol.dw302
poldw3;DW303;;;pol.dw303
poldw3;DW304;;;pol.dw304
poldw3;DW305;;;pol.dw305
poldw3;DW306;;;pol.dw306
poldw3;DW307;;;pol.dw307
poldw3;DW308;;;pol.dw308
poldw3;DW309;;;pol.dw309
poldw3;DW310;;;pol.dw310
poldw3;DW311;;;pol.dw311
poldw3;DW312;;;pol.dw312
poldw3;DW313;;;pol.dw313
poldw3;DW314;;;pol.dw314
poldw3;DW315;;;pol.dw315
poldw3;DW316;;;pol.dw316
poldw3;DW318;;;pol.dw318
poldw3;DW319;;;pol.dw319
poldw3;DW320;;Pilczyce;pol.dw320
poldw3;DW320;;Osobowice;pol.dw320oso
poldw3;DW321;;;pol.dw321
poldw3;DW322;;;pol.dw322
poldw3;DW323;;;pol.dw323
poldw3;DW324;;;pol.dw324
poldw3;DW325;;;pol.dw325
poldw3;DW326;;Siedlisko;pol.dw326sie
poldw3;DW326;;Bytom Odrzanski;pol.dw326
poldw3;DW327;;;pol.dw327
poldw3;DW328;;;pol.dw328
poldw3;DW329;;;pol.dw329
poldw3;DW330;;Peclaw;pol.dw330
poldw3;DW330;;Belcz Wielki;pol.dw330bel
poldw3;DW331;;;pol.dw331
poldw3;DW332;;;pol.dw332
poldw3;DW333;;;pol.dw333
poldw3;DW334;;;pol.dw334
poldw3;DW335;;;pol.dw335
poldw3;DW336;;;pol.dw336
poldw3;DW337;;;pol.dw337
poldw3;DW338;;;pol.dw338
poldw3;DW339;;;pol.dw339
poldw3;DW340;;;pol.dw340
poldw3;DW341;;;pol.dw341
poldw3;DW342;;;pol.dw342
poldw3;DW343;;;pol.dw343
poldw3;DW344;;;pol.dw344
poldw3;DW345;;;pol.dw345
poldw3;DW346;;;pol.dw346
poldw3;DW347;;;pol.dw347
poldw3;DW348;;;pol.dw348
poldw3;DW349;;;pol.dw349
poldw3;DW350;;;pol.dw350
poldw3;DW351;;;pol.dw351
poldw3;DW352;;;pol.dw352
poldw3;DW353;;;pol.dw353
poldw3;DW354;;;pol.dw354
poldw3;DW355;;;pol.dw355
poldw3;DW356;;;pol.dw356
poldw3;DW357;;;pol.dw357
poldw3;DW358;;;pol.dw358
poldw3;DW359;;;pol.dw359
poldw3;DW360;;;pol.dw360
poldw3;DW361;;;pol.dw361
poldw3;DW362;;;pol.dw362
poldw3;DW363;;;pol.dw363
poldw3;DW364;;;pol.dw364
poldw3;DW365;;;pol.dw365
poldw3;DW366;;;pol.dw366
poldw3;DW367;;;pol.dw367
poldw3;DW368;;;pol.dw368
poldw3;DW369;;;pol.dw369
poldw3;DW370;;;pol.dw370
poldw3;DW371;;;pol.dw371
poldw3;DW372;;;pol.dw372
poldw3;DW373;;;pol.dw373
poldw3;DW374;;;pol.dw374
poldw3;DW375;;;pol.dw375
poldw3;DW376;;;pol.dw376
poldw3;DW377;;;pol.dw377
poldw3;DW378;;;pol.dw378
poldw3;DW379;;;pol.dw379
poldw3;DW380;;;pol.dw380
poldw3;DW381;;;pol.dw381
poldw3;DW382;;;pol.dw382
poldw3;DW383;;;pol.dw383
poldw3;DW384;;;pol.dw384
poldw3;DW385;;;pol.dw385
poldw3;DW386;;;pol.dw386
poldw3;DW387;;;pol.dw387
poldw3;DW388;;;pol.dw388
poldw3;DW389;;;pol.dw389
poldw3;DW390;;;pol.dw390
poldw3;DW391;;;pol.dw391
poldw3;DW392;;;pol.dw392
poldw3;DW393;;;pol.dw393
poldw3;DW394;;;pol.dw394
poldw3;DW395;;;pol.dw395
poldw3;DW396;;;pol.dw396
poldw3;DW397;;;pol.dw397
poldw3;DW398;;;pol.dw398
poldw3;DW399;;;pol.dw399
