systemName;region;route;banner;abbrev;city;root;altRouteNames
poldw4;POL;DW401;;;;pol.dw401;
poldw4;POL;DW402;;;Wieki Lubien;pol.dw402;
poldw4;POL;DW402;;Gru;Grudziadz;pol.dw402gru;
poldw4;POL;DW403;;;;pol.dw403;
poldw4;POL;DW404;;;;pol.dw404;
poldw4;POL;DW405;;;;pol.dw405;
poldw4;POL;DW406;;;;pol.dw406;
poldw4;POL;DW407;;;;pol.dw407;
poldw4;POL;DW408;;;;pol.dw408;
poldw4;POL;DW409;;;;pol.dw409;
poldw4;POL;DW410;;;Kobylice;pol.dw410;
poldw4;POL;DW410;;Brz;Brzezce;pol.dw410brz;
poldw4;POL;DW411;;;;pol.dw411;
poldw4;POL;DW412;;;;pol.dw412;
poldw4;POL;DW413;;;;pol.dw413;
poldw4;POL;DW414;;;;pol.dw414;
poldw4;POL;DW415;;;;pol.dw415;
poldw4;POL;DW416;;;;pol.dw416;
poldw4;POL;DW417;;;;pol.dw417;
poldw4;POL;DW418;;;;pol.dw418;
poldw4;POL;DW419;;;;pol.dw419;
poldw4;POL;DW420;;;;pol.dw420;
poldw4;POL;DW421;;;Slawikow;pol.dw421;
poldw4;POL;DW421;;Ned;Nedza;pol.dw421ned;
poldw4;POL;DW422;;;Przewoz;pol.dw422;
poldw4;POL;DW422;;Dzi;Dziergowice;pol.dw422dzi;
poldw4;POL;DW423;;;;pol.dw423;
poldw4;POL;DW424;;;;pol.dw424;
poldw4;POL;DW425;;;;pol.dw425;
poldw4;POL;DW426;;;;pol.dw426;
poldw4;POL;DW427;;;;pol.dw427;
poldw4;POL;DW428;;;;pol.dw428;
poldw4;POL;DW429;;;;pol.dw429;
poldw4;POL;DW430;;;;pol.dw430;
poldw4;POL;DW431;;;;pol.dw431;
poldw4;POL;DW432;;;;pol.dw432;
poldw4;POL;DW433;;;;pol.dw433;
poldw4;POL;DW434;;;;pol.dw434;
poldw4;POL;DW435;;;;pol.dw435;
poldw4;POL;DW436;;;;pol.dw436;
poldw4;POL;DW437;;;;pol.dw437;
poldw4;POL;DW438;;;;pol.dw438;
poldw4;POL;DW439;;;;pol.dw439;
poldw4;POL;DW440;;;;pol.dw440;
poldw4;POL;DW441;;;;pol.dw441;
poldw4;POL;DW442;;;;pol.dw442;
poldw4;POL;DW443;;;;pol.dw443;
poldw4;POL;DW444;;;;pol.dw444;
poldw4;POL;DW445;;;;pol.dw445;
poldw4;POL;DW446;;;;pol.dw446;
poldw4;POL;DW447;;;;pol.dw447;
poldw4;POL;DW448;;;;pol.dw448;
poldw4;POL;DW449;;;;pol.dw449;
poldw4;POL;DW450;;;;pol.dw450;
poldw4;POL;DW451;;;;pol.dw451;
poldw4;POL;DW452;;;;pol.dw452;
poldw4;POL;DW453;;;;pol.dw453;
poldw4;POL;DW454;;;;pol.dw454;
poldw4;POL;DW455;;;;pol.dw455;
poldw4;POL;DW456;;;;pol.dw456;
poldw4;POL;DW457;;;;pol.dw457;
poldw4;POL;DW458;;;;pol.dw458;
poldw4;POL;DW459;;;;pol.dw459;
poldw4;POL;DW460;;Kos;Koscierzyce;pol.dw460kos;
poldw4;POL;DW460;;;Kruszyna;pol.dw460;
poldw4;POL;DW461;;;;pol.dw461;
poldw4;POL;DW462;;Sto;Stobrawa;pol.dw462sto;
poldw4;POL;DW462;;;Pogorzela;pol.dw462;
poldw4;POL;DW463;;;;pol.dw463;
poldw4;POL;DW464;;Nar;Narok;pol.dw464nar;
poldw4;POL;DW464;;;Chroscice;pol.dw464;
poldw4;POL;DW465;;;Zelazna;pol.dw465;
poldw4;POL;DW465;;Dob;Dobrzen Maly;pol.dw465dob;
poldw4;POL;DW466;;;;pol.dw466;
poldw4;POL;DW467;;;;pol.dw467;
poldw4;POL;DW468;;;;pol.dw468;
poldw4;POL;DW469;;;;pol.dw469;
poldw4;POL;DW470;;;;pol.dw470;
poldw4;POL;DW471;;;;pol.dw471;
poldw4;POL;DW472;;;;pol.dw472;
poldw4;POL;DW473;;;;pol.dw473;
poldw4;POL;DW474;;;;pol.dw474;
poldw4;POL;DW475;;;;pol.dw475;
poldw4;POL;DW476;;;;pol.dw476;
poldw4;POL;DW477;;;;pol.dw477;
poldw4;POL;DW478;;;;pol.dw478;
poldw4;POL;DW479;;;;pol.dw479;
poldw4;POL;DW480;;;;pol.dw480;
poldw4;POL;DW481;;;;pol.dw481;
poldw4;POL;DW482;;;;pol.dw482;
poldw4;POL;DW483;;;;pol.dw483;
poldw4;POL;DW484;;;;pol.dw484;
poldw4;POL;DW485;;;;pol.dw485;
poldw4;POL;DW486;;;;pol.dw486;
poldw4;POL;DW487;;;;pol.dw487;
poldw4;POL;DW488;;;;pol.dw488;
poldw4;POL;DW489;;;;pol.dw489;
poldw4;POL;DW491;;;;pol.dw491;
poldw4;POL;DW492;;;;pol.dw492;
poldw4;POL;DW494;;;;pol.dw494;
poldw4;POL;DW498;;;;pol.dw498;
poldw4;POL;DW499;;;;pol.dw499;
