systemName;region;route;banner;abbrev;city;root;altRouteNames
prta;PRT;A1;;;;prt.a001;
prta;PRT;A2;;;;prt.a002;
prta;PRT;A3;;;;prt.a003;
prta;PRT;A4;;;;prt.a004;A4Bra,A4Lam,A4Mir
prta;PRT;A5;;;;prt.a005;
prta;PRT;A6;;;;prt.a006;
prta;PRT;A7;;;;prt.a007;
prta;PRT;A8;;;;prt.a008;
prta;PRT;A8-1;;;;prt.a008_1;
prta;PRT;A9;;;;prt.a009;
prta;PRT;A10;;;;prt.a010;
prta;PRT;A11;;;;prt.a011;
prta;PRT;A12;;;;prt.a012;
prta;PRT;A13;;;Foros de Salvaterra;prt.a013;
prta;PRT;A13;;Tom;Tomar;prt.a013tom;
prta;PRT;A13-1;;;;prt.a013_1;
prta;PRT;A14;;;;prt.a014;
prta;PRT;A15;;;;prt.a015;
prta;PRT;A16;;;;prt.a016;
prta;PRT;A17;;;;prt.a017;
prta;PRT;A19;;;;prt.a019;
prta;PRT;A20;;;;prt.a020;
prta;PRT;A21;;;;prt.a021;
prta;PRT;A22;;;;prt.a022;
prta;PRT;A23;;;;prt.a023;
prta;PRT;A24;;;;prt.a024;
prta;PRT;A25;;;;prt.a025;
prta;PRT;A26;;;;prt.a026;
prta;PRT;A26-1;;;;prt.a026_1;
prta;PRT;A27;;;;prt.a027;
prta;PRT;A28;;;;prt.a028;
prta;PRT;A29;;;;prt.a029;
prta;PRT;A30;;;;prt.a030;
prta;PRT;A31;;;;prt.a031;
prta;PRT;A32;;;;prt.a032;
prta;PRT;A33;;;;prt.a033;A33Sob
prta;PRT;A41;;;;prt.a041;
prta;PRT;A42;;;;prt.a042;
prta;PRT;A43;;;;prt.a043;
prta;PRT;A44;;;;prt.a044;
prta;PRT;VRI;;;'Via Regional Interior';prt.avri;
