System;Region;Route;Banner;Abbrev;City;Root;AltRouteName
pyft;PYF;T1;;;;pyf.t001;
pyft;PYF;T2;;;;pyf.t002;
pyft;PYF;T3;;;;pyf.t003;
pyft;PYF;T4;;;;pyf.t004;
pyft;PYF;T5;;;;pyf.t005;
pyft;PYF;T6;;;;pyf.t006;
pyft;PYF;T7;;;;pyf.t007;
pyft;PYF;T9;;;;pyf.t009;
pyft;PYF;T12;;;;pyf.t012;
pyft;PYF;T32;;;;pyf.t032;
pyft;PYF;T33;;;;pyf.t033;
pyft;PYF;T91;;;;pyf.t091;
pyft;PYF;T101;;;;pyf.t101;
pyft;PYF;T111;;;;pyf.t111;
pyft;PYF;T112;;;;pyf.t112;
pyft;PYF;T131;;;;pyf.t131;
pyft;PYF;T132;;;;pyf.t132;
pyft;PYF;T141;;;;pyf.t141;
pyft;PYF;T143;;;;pyf.t143;
pyft;PYF;T144;;;;pyf.t144;
pyft;PYF;T145;;;;pyf.t145;
pyft;PYF;T321;;;;pyf.t321;
pyft;PYF;T451;;;;pyf.t451;
pyft;PYF;T452;;;;pyf.t452;
pyft;PYF;T453;;;;pyf.t453;
pyft;PYF;T454;;;;pyf.t454;
pyft;PYF;T455;;;;pyf.t455;
pyft;PYF;T456;;;;pyf.t456;
