systemName;route;banner;groupName;roots
rksrr;R101;;;rks.r101
rksrr;R102;;;rks.r102
rksrr;R103;;;rks.r103
rksrr;R104;;;rks.r104
rksrr;R105;;;rks.r105
rksrr;R106;;;rks.r106
rksrr;R107;;;rks.r107
rksrr;R108;;;rks.r108
rksrr;R109;;;rks.r109
rksrr;R110;;;rks.r110
rksrr;R111;;;rks.r111
rksrr;R112;;;rks.r112
rksrr;R113;;;rks.r113
rksrr;R114;;;rks.r114
rksrr;R115;;;rks.r115
rksrr;R116;;;rks.r116
rksrr;R117;;;rks.r117
rksrr;R118;;Mushtishte;rks.r118
rksrr;R118;;Brezovice;rks.r118bre
rksrr;R119;;;rks.r119
rksrr;R120;;;rks.r120
rksrr;R121;;;rks.r121
rksrr;R122;;;rks.r122
rksrr;R123;;;rks.r123
rksrr;R123a;;;rks.r123a
rksrr;R124;;;rks.r124
rksrr;R125;;;rks.r125
rksrr;R126;;;rks.r126
rksrr;R127;;;rks.r127
rksrr;R128;;Ropice;rks.r128
rksrr;R128;;Podujeve;rks.r128pod
rksrr;R129;;;rks.r129
rksrr;R201;;Decan;rks.r201
rksrr;R201;;Shqiponje;rks.r201shq
rksrr;R202;;;rks.r202
rksrr;R203;;;rks.r203
rksrr;R204;;;rks.r204
rksrr;R205;;;rks.r205
rksrr;R206;;;rks.r206
rksrr;R207;;;rks.r207
rksrr;R208;;;rks.r208
rksrr;R209;;;rks.r209
rksrr;R210;;;rks.r210
rksrr;R211;;;rks.r211
rksrr;R212;;;rks.r212
rksrr;R213;;;rks.r213
rksrr;R214;;;rks.r214
rksrr;R215;;;rks.r215
rksrr;R216;;;rks.r216
rksrr;R217;;;rks.r217
rksrr;R218;;;rks.r218
rksrr;R219;;;rks.r219
rksrr;R220;;;rks.r220
rksrr;R221;;;rks.r221
rksrr;R222;;;rks.r222
rksrr;R236;;;rks.r236
rksrr;RT1;;;rks.rt1
