System;Region;Route;Banner;Abbrev;City;Root;AltRouteName
sctntr;SCT;AngCR;;;Angus Coastal Route;sct.angcr;
sctntr;SCT;ArgCR;;;Argyll Coastal Route;sct.argcr;
sctntr;SCT;BorHR;;;Borders Historic Route;sct.borhisrt;
sctntr;SCT;ClyVlyRt;;;Clyde Valley Route;sct.clyvalrt;
sctntr;SCT;DeeTR;;;Deeside Tourist Route;sct.deetr;
sctntr;SCT;FifeCR;;;Fife Coastal Route;sct.fifcr;
sctntr;SCT;ForVlyRt;;;Forth Valley Route;sct.forvalrt;
sctntr;SCT;GalTR;;;Galloway Tourist Route;sct.galtr;
sctntr;SCT;HigTR;;;Highland Tourist Route;sct.higtr;
sctntr;SCT;MorFirTR;;;Moray Firth Tourist Route;sct.morfirtr;
sctntr;SCT;NWHigRt;;;North and West Highlands Route;sct.nwhigrt;
sctntr;SCT;PerTR;;;Perthshire Tourist Route;sct.pertourt;
