systemName;region;route;banner;abbrev;city;root;altRouteNames
srbb;SRB;B10;;;;srb.b010;
srbb;SRB;B11;;;;srb.b011;
srbb;SRB;B12;;;;srb.b012;
srbb;SRB;B13;;;;srb.b013;
srbb;SRB;B14;;;;srb.b014;
srbb;SRB;B15;;;;srb.b015;
srbb;SRB;B16;;;;srb.b016;
srbb;SRB;B17;;;;srb.b017;
srbb;SRB;B18;;;;srb.b018;
srbb;SRB;B19;;;;srb.b019;
srbb;SRB;B20;;;;srb.b020;
srbb;SRB;B21;;;;srb.b021;
srbb;SRB;B22;;;;srb.b022;
srbb;SRB;B23;;;;srb.b023;
srbb;SRB;B24;;;;srb.b024;
srbb;SRB;B25;;;;srb.b025;
srbb;SRB;B26;;;;srb.b026;
srbb;SRB;B27;;;;srb.b027;
srbb;SRB;B28;;;;srb.b028;
srbb;SRB;B29;;;;srb.b029;
srbb;SRB;B30;;;;srb.b030;
srbb;SRB;B31;;;;srb.b031;
srbb;SRB;B32;;;;srb.b032;
srbb;SRB;B33;;;;srb.b033;
srbb;SRB;B34;;;;srb.b034;
srbb;SRB;B35;;;;srb.b035;
srbb;SRB;B36;;;;srb.b036;
srbb;SRB;B37;;;;srb.b037;
srbb;SRB;B38;;;;srb.b038;
srbb;SRB;B39;;;;srb.b039;
srbb;SRB;B40;;;;srb.b040;
srbb;SRB;B41;;;;srb.b041;
srbb;SRB;B42;;;;srb.b042;
srbb;SRB;B44;;;;srb.b044;
srbb;SRB;B46;;;;srb.b046;
srbb;SRB;B47;;;;srb.b047;
