systemName;region;route;banner;abbrev;city;root;altRouteNames
svki;SVK;I2;;;;svk.i002;
svki;SVK;I9;;;;svk.i009;
svki;SVK;I10;;;;svk.i010;
svki;SVK;I11;;;;svk.i011;
svki;SVK;I11A;;;;svk.i011a;
svki;SVK;I12;;;;svk.i012;
svki;SVK;I13;;;;svk.i013;
svki;SVK;I14;;;;svk.i014;
svki;SVK;I15;;;;svk.i015;
svki;SVK;I16;;;;svk.i016;
svki;SVK;I17;;;;svk.i017;
svki;SVK;I18;;;;svk.i018;
svki;SVK;I19;;;;svk.i019;
svki;SVK;I20;;;;svk.i020;
svki;SVK;I21;;;;svk.i021;
svki;SVK;I35;;;;svk.i035;
svki;SVK;I49;;;;svk.i049;
svki;SVK;I49A;;;;svk.i049a;
svki;SVK;I51;;;;svk.i051;
svki;SVK;I54;;;;svk.i054;
svki;SVK;I57;;;;svk.i057;
svki;SVK;I59;;;;svk.i059;
svki;SVK;I60;;;;svk.i060;
svki;SVK;I61;;;;svk.i061;
svki;SVK;I61A;;;;svk.i061a;
svki;SVK;I61B;;;;svk.i061b;
svki;SVK;I62;;;;svk.i062;
svki;SVK;I63;;;;svk.i063;
svki;SVK;I64;;;;svk.i064;
svki;SVK;I64A;;;;svk.i064a;
svki;SVK;I65;;;;svk.i065;
svki;SVK;I65D;;;;svk.i065d;
svki;SVK;I66;;;;svk.i066;
svki;SVK;I66A;;;;svk.i066a;
svki;SVK;I66C;;;;svk.i066c;
svki;SVK;I67;;;;svk.i067;
svki;SVK;I68;;;;svk.i068;
svki;SVK;I69;;;;svk.i069;
svki;SVK;I70;;;;svk.i070;
svki;SVK;I71;;;;svk.i071;
svki;SVK;I72;;;;svk.i072;
svki;SVK;I74;;;;svk.i074;
svki;SVK;I74A;;;;svk.i074a;
svki;SVK;I75;;;;svk.i075;
svki;SVK;I76;;;;svk.i076;
svki;SVK;I77;;;;svk.i077;
svki;SVK;I77A;;;;svk.i077a;
svki;SVK;I78;;;;svk.i078;
svki;SVK;I79;;;;svk.i079;
svki;SVK;I79A;;;;svk.i079a;
svki;SVK;I80;;;;svk.i080;
svki;SVK;I82;;;;svk.i082;
