systemName;route;banner;groupName;roots
svkii;II106;;;svk.ii106
svkii;II425;;;svk.ii425
svkii;II428;;;svk.ii428
svkii;II484;;;svk.ii484
svkii;II487;;;svk.ii487
svkii;II499;;;svk.ii499
svkii;II500;;;svk.ii500
svkii;II501;;;svk.ii501
svkii;II502;;;svk.ii502
svkii;II503;;;svk.ii503
svkii;II504;;;svk.ii504
svkii;II505;;;svk.ii505
svkii;II506;;;svk.ii506
svkii;II507;;;svk.ii507
svkii;II509;;;svk.ii509
svkii;II510;;;svk.ii510
svkii;II511;;;svk.ii511
svkii;II512;;;svk.ii512
svkii;II513;;;svk.ii513
svkii;II514;;;svk.ii514
svkii;II515;;;svk.ii515
svkii;II516;;;svk.ii516
svkii;II517;;;svk.ii517
svkii;II519;;;svk.ii519
svkii;II520;;;svk.ii520
svkii;II524;;;svk.ii524
svkii;II526;;;svk.ii526
svkii;II527;;;svk.ii527
svkii;II527B;;;svk.ii527b
svkii;II529;;;svk.ii529
svkii;II531;;;svk.ii531
svkii;II532;;;svk.ii532
svkii;II533;;;svk.ii533
svkii;II534;;;svk.ii534
svkii;II535;;;svk.ii535
svkii;II536;;;svk.ii536
svkii;II537;;;svk.ii537
svkii;II538;;;svk.ii538
svkii;II539;;;svk.ii539
svkii;II540;;;svk.ii540
svkii;II541;;;svk.ii541
svkii;II542;;;svk.ii542
svkii;II543;;;svk.ii543
svkii;II545;;;svk.ii545
svkii;II546;;;svk.ii546
svkii;II547;;;svk.ii547
svkii;II548;;;svk.ii548
svkii;II549;;;svk.ii549
svkii;II550;;;svk.ii550
svkii;II552;;;svk.ii552
svkii;II554;;;svk.ii554
svkii;II555;;;svk.ii555
svkii;II556;;;svk.ii556
svkii;II558;;;svk.ii558
svkii;II559;;;svk.ii559
svkii;II560;;;svk.ii560
svkii;II561;;;svk.ii561
svkii;II562;;;svk.ii562
svkii;II563;;;svk.ii563
svkii;II564;;;svk.ii564
svkii;II566;;;svk.ii566
svkii;II567;;;svk.ii567
svkii;II571;;;svk.ii571
svkii;II572;;;svk.ii572
svkii;II573;;;svk.ii573
svkii;II574;;;svk.ii574
svkii;II574A;;;svk.ii574a
svkii;II575;;;svk.ii575
svkii;II576;;;svk.ii576
svkii;II578;;Kremnica;svk.ii578kre
svkii;II578;;Banska Bystrica;svk.ii578
svkii;II579;;;svk.ii579
svkii;II580;;;svk.ii580
svkii;II581;;;svk.ii581
svkii;II582;;;svk.ii582
svkii;II583;;;svk.ii583
svkii;II583A;;;svk.ii583a
svkii;II583B;;;svk.ii583b
svkii;II583C;;;svk.ii583c
svkii;II583D;;;svk.ii583d
svkii;II584;;Bystra;svk.ii584bys
svkii;II584;;Liptovsky Mikulas;svk.ii584
svkii;II584A;;;svk.ii584a
svkii;II585;;;svk.ii585
svkii;II587;;;svk.ii587
svkii;II588;;;svk.ii588
svkii;II589;;;svk.ii589
svkii;II590;;;svk.ii590
svkii;II591;;;svk.ii591
svkii;II592;;;svk.ii592
svkii;II593;;;svk.ii593
svkii;II594;;;svk.ii594
svkii;II595;;;svk.ii595
