System;Route;Banner;Name;Roots
swel;L100;;;swe.l100
swel;L101;;;swe.l101
swel;L102;;;swe.l102
swel;L103;;;swe.l103
swel;L104;;;swe.l104
swel;L105;;;swe.l105
swel;L106;;;swe.l106
swel;L107;;;swe.l107
swel;L108;;;swe.l108
swel;L109;;;swe.l109
swel;L110;;;swe.l110
swel;L111;;;swe.l111
swel;L112;;;swe.l112
swel;L113;;;swe.l113
swel;L114;;;swe.l114
swel;L115;;;swe.l115
swel;L116;;;swe.l116
swel;L117;;;swe.l117
swel;L118;;;swe.l118
swel;L119;;;swe.l119
swel;L120;;;swe.l120
swel;L121;;;swe.l121
swel;L122;;;swe.l122
swel;L123;;;swe.l123
swel;L124;;;swe.l124
swel;L125;;;swe.l125
swel;L126;;;swe.l126
swel;L127;;;swe.l127
swel;L128;;;swe.l128
swel;L129;;;swe.l129
swel;L130;;;swe.l130
swel;L131;;;swe.l131
swel;L132;;;swe.l132
swel;L133;;;swe.l133
swel;L134;;;swe.l134
swel;L135;;;swe.l135
swel;L136;;;swe.l136
swel;L137;;;swe.l137
swel;L140;;;swe.l140
swel;L141;;;swe.l141
swel;L142;;;swe.l142
swel;L143;;;swe.l143
swel;L144;;;swe.l144
swel;L146;;;swe.l146
swel;L147;;;swe.l147
swel;L148;;;swe.l148
swel;L149;;;swe.l149
swel;L150;;;swe.l150
swel;L151;;;swe.l151
swel;L152;;;swe.l152
swel;L153;;;swe.l153
swel;L154;;;swe.l154
swel;L155;;Hönö;swe.l155hon
swel;L155;;Torslanda;swe.l155
swel;L156;;;swe.l156
swel;L157;;;swe.l157
swel;L158;;;swe.l158
swel;L160;;;swe.l160
swel;L161;;Finnsbo;swe.l161fin
swel;L161;;Lanesund;swe.l161
swel;L162;;;swe.l162
swel;L163;;;swe.l163
swel;L164;;;swe.l164
swel;L165;;;swe.l165
swel;L166;;;swe.l166
swel;L167;;;swe.l167
swel;L168;;;swe.l168
swel;L169;;;swe.l169
swel;L222;;;swe.l222
swel;L229;;;swe.l229
swel;L265;;;swe.l265
swel;L273;;;swe.l273
swel;L277;;;swe.l277
