systemName;route;banner;groupName;roots
swer;R9;;;swe.r009
swer;R11;;;swe.r011
swer;R13;;;swe.r013
swer;R15;;;swe.r015
swer;R17;;;swe.r017
swer;R19;;;swe.r019
swer;R21;;;swe.r021
swer;R23;;Växjö;swe.r023
swer;R23;;Växjö-Bergsnäs;swe.r023vax
swer;R24;;;swe.r024
swer;R25;;;swe.r025
swer;R26;;;swe.r026
swer;R27;;;swe.r027
swer;R28;;;swe.r028
swer;R29;;;swe.r029
swer;R30;;;swe.r030
swer;R31;;;swe.r031
swer;R32;;;swe.r032
swer;R34;;;swe.r034
swer;R35;;;swe.r035
swer;R37;;;swe.r037
swer;R40;;;swe.r040
swer;R41;;;swe.r041
swer;R42;;;swe.r042
swer;R44;;;swe.r044
swer;R46;;;swe.r046
swer;R47;;;swe.r047
swer;R49;;;swe.r049
swer;R50;;;swe.r050
swer;R51;;;swe.r051
swer;R52;;;swe.r052
swer;R53;;;swe.r053
swer;R55;;;swe.r055
swer;R56;;;swe.r056
swer;R57;;;swe.r057
swer;R61;;;swe.r061
swer;R62;;;swe.r062
swer;R63;;;swe.r063
swer;R66;;;swe.r066
swer;R68;;;swe.r068
swer;R69;;;swe.r069
swer;R70;;;swe.r070
swer;R72;;;swe.r072
swer;R73;;;swe.r073
swer;R75;;;swe.r075
swer;R76;;;swe.r076
swer;R77;;;swe.r077
swer;R83;;(Main);swe.r083
swer;R83;;Granboda;swe.r083gra
swer;R84;;;swe.r084
swer;R86;;;swe.r086
swer;R87;;;swe.r087
swer;R90;;;swe.r090
swer;R92;;;swe.r092
swer;R94;;;swe.r094
swer;R95;;;swe.r095
swer;R97;;;swe.r097
swer;R98;;;swe.r098
swer;R99;;;swe.r099
