System;Region;Route;Banner;Abbrev;City;Root;AltRouteName
swerv;SWE;Rv9;;;(outline);swe.rv009;
swerv;SWE;Rv11;;;(outline);swe.rv011;
swerv;SWE;Rv13;;;(outline);swe.rv013;
swerv;SWE;Rv15;;;(outline);swe.rv015;
swerv;SWE;Rv17;;;(outline);swe.rv017;
swerv;SWE;Rv19;;;(outline);swe.rv019;
swerv;SWE;Rv21;;;(outline);swe.rv021;
swerv;SWE;Rv23;;;(outline);swe.rv023;
swerv;SWE;Rv24;;;(outline);swe.rv024;
swerv;SWE;Rv25;;;(outline);swe.rv025;
swerv;SWE;Rv26;;;(outline);swe.rv026;
swerv;SWE;Rv27;;;(outline);swe.rv027;
swerv;SWE;Rv28;;;(outline);swe.rv028;
swerv;SWE;Rv29;;;(outline);swe.rv029;
swerv;SWE;Rv30;;;(outline);swe.rv030;
swerv;SWE;Rv31;;;(outline);swe.rv031;
swerv;SWE;Rv32;;;(outline);swe.rv032;
swerv;SWE;Rv34;;;(outline);swe.rv034;
swerv;SWE;Rv35;;;(outline);swe.rv035;
swerv;SWE;Rv37;;;(outline);swe.rv037;
swerv;SWE;Rv40;;;(outline);swe.rv040;
swerv;SWE;Rv41;;;(outline);swe.rv041;
swerv;SWE;Rv42;;;(outline);swe.rv042;
swerv;SWE;Rv44;;;(outline);swe.rv044;
swerv;SWE;Rv46;;;(outline);swe.rv046;
swerv;SWE;Rv47;;;(outline);swe.rv047;
swerv;SWE;Rv49;;;(outline);swe.rv049;
swerv;SWE;Rv50;;;(outline);swe.rv050;
swerv;SWE;Rv51;;;(outline);swe.rv051;
swerv;SWE;Rv52;;;(outline);swe.rv052;
swerv;SWE;Rv53;;;(outline);swe.rv053;
swerv;SWE;Rv55;;;(outline);swe.rv055;
swerv;SWE;Rv56;;;(outline);swe.rv056;
swerv;SWE;Rv57;;;(outline);swe.rv057;
swerv;SWE;Rv61;;;(outline);swe.rv061;
swerv;SWE;Rv62;;;(outline);swe.rv062;
swerv;SWE;Rv63;;;(outline);swe.rv063;
swerv;SWE;Rv66;;;(outline);swe.rv066;
swerv;SWE;Rv68;;;(outline);swe.rv068;
swerv;SWE;Rv69;;;(outline);swe.rv069;
swerv;SWE;Rv70;;;(outline);swe.rv070;
swerv;SWE;Rv72;;;(outline);swe.rv072;
swerv;SWE;Rv73;;;;swe.rv073;
swerv;SWE;Rv75;;;;swe.rv075;
swerv;SWE;Rv76;;;(outline);swe.rv076;
swerv;SWE;Rv77;;;(outline);swe.rv077;
swerv;SWE;Rv83;;;(outline);swe.rv083;
swerv;SWE;Rv84;;;(outline);swe.rv084;
swerv;SWE;Rv86;;;(outline);swe.rv086;
swerv;SWE;Rv87;;;(outline);swe.rv087;
swerv;SWE;Rv90;;;(outline);swe.rv090;
swerv;SWE;Rv92;;;(outline);swe.rv092;
swerv;SWE;Rv94;;;(outline);swe.rv094;
swerv;SWE;Rv95;;;(outline);swe.rv095;
swerv;SWE;Rv97;;;(outline);swe.rv097;
swerv;SWE;Rv98;;;(outline);swe.rv098;
swerv;SWE;Rv99;;;(outline);swe.rv099;
