systemName;region;route;banner;abbrev;city;root;altRouteNames
turd;TUR;D010;;;(outlined);tur.d010;
turd;TUR;D014;;;(outlined);tur.d014;
turd;TUR;D030;;;(outlined);tur.d030;
turd;TUR;D050;;;(outlined);tur.d050;
turd;TUR;D052;;;Bayburt (outlined);tur.d052;
turd;TUR;D052;;Erz;Erzurum;tur.d052erz;
turd;TUR;D060;;;(outlined);tur.d060;
turd;TUR;D070;;;(outlined);tur.d070;
turd;TUR;D080;;;(outlined);tur.d080;
turd;TUR;D110;;;;tur.d110;
turd;TUR;D120;;;(outlined);tur.d120;
turd;TUR;D130;;;(outlined);tur.d130;
turd;TUR;D430;;;;tur.d430;
turd;TUR;D957;;;;tur.d957;
turd;TUR;D965;;;(outlined);tur.d965;
turd;TUR;D977;;;;tur.d977;
