systemName;region;route;banner;abbrev;city;root;altRouteNames
ukrm;UKR;M01;;;;ukr.m001;
ukrm;UKR;M02;;;;ukr.m002;
ukrm;UKR;M03;;;;ukr.m003;
ukrm;UKR;M03;;Kha;Kharkiv;ukr.m003kha;
ukrm;UKR;M04;;;;ukr.m004;
ukrm;UKR;M05;;;;ukr.m005;
ukrm;UKR;M06;;;;ukr.m006;
ukrm;UKR;M07;;;;ukr.m007;
ukrm;UKR;M08;;;;ukr.m008;
ukrm;UKR;M09;;;;ukr.m009;
ukrm;UKR;M10;;;;ukr.m010;
ukrm;UKR;M11;;;;ukr.m011;
ukrm;UKR;M12;;;;ukr.m012;
ukrm;UKR;M13;;;;ukr.m013;
ukrm;UKR;M14;;;;ukr.m014;
ukrm;UKR;M15;;Ode;Odessa;ukr.m015ode;
ukrm;UKR;M15;;;Ismail;ukr.m015;
ukrm;UKR;M16;;;;ukr.m016;
ukrm;UKR;M17;;;;ukr.m017;
ukrm;UKR;M18;;;;ukr.m018;
ukrm;UKR;M19;;;;ukr.m019;
ukrm;UKR;M20;;;;ukr.m020;
ukrm;UKR;M21;;;;ukr.m021;
ukrm;UKR;M22;;;;ukr.m022;
ukrm;UKR;M23;;;;ukr.m023;
ukrm;UKR;M24;;;;ukr.m024;
ukrm;UKR;M25;;;;ukr.m025;
ukrm;UKR;M26;;;;ukr.m026;
ukrm;UKR;M27;;;;ukr.m027;
ukrm;UKR;M28;;;;ukr.m028;
ukrm;UKR;M29;;;;ukr.m029;
