systemName;region;route;banner;abbrev;city;root;altRouteNames
uryrn;URY;RN1;;;;ury.rn001;
uryrn;URY;RN2;;;;ury.rn002;
uryrn;URY;RN3;;;;ury.rn003;
uryrn;URY;RN4;;;;ury.rn004;
uryrn;URY;RN5;;;;ury.rn005;
uryrn;URY;RN6;;;;ury.rn006;
uryrn;URY;RN7;;;;ury.rn007;
uryrn;URY;RN8;;;;ury.rn008;
uryrn;URY;RN9;;;;ury.rn009;
uryrn;URY;RN10;;Pir;Piriápolis;ury.rn010pir;
uryrn;URY;RN10;;Jos;José Ignacio;ury.rn010jos;
uryrn;URY;RN10;;;La Aguada y Costa Azul;ury.rn010;
uryrn;URY;RN11;;;;ury.rn011;
uryrn;URY;RN12;;Car;Cardona;ury.rn012car;
uryrn;URY;RN12;;;Minas ;ury.rn012;
uryrn;URY;RN13;;;;ury.rn013;
uryrn;URY;RN14;;;;ury.rn014;
uryrn;URY;RN15;;;;ury.rn015;
uryrn;URY;RN16;;;;ury.rn016;
uryrn;URY;RN17;;;;ury.rn017;
uryrn;URY;RN18;;;;ury.rn018;
uryrn;URY;RN19;;;Treinta y Tres;ury.rn019;
uryrn;URY;RN19;;Chu;Chuy;ury.rn019chu;
uryrn;URY;IB;;;Ruta Interbalnearia;ury.rnib;
