systemName;region;route;banner;abbrev;city;root;altRouteNames
usaak;AK;AK1;;;;ak.ak001;
usaak;AK;AK2;;;;ak.ak002;
usaak;AK;AK3;;;;ak.ak003;
usaak;AK;AK4;;;;ak.ak004;
usaak;AK;AK5;;;;ak.ak005;
usaak;AK;AK6;;;;ak.ak006;
usaak;AK;AK7;;;Haines;ak.ak007;
usaak;AK;AK7;;Jun;Juneau;ak.ak007jun;
usaak;AK;AK7;;Pet;Petersburg;ak.ak007pet;
usaak;AK;AK7;;Ket;Ketchikan;ak.ak007ket;
usaak;AK;AK8;;;;ak.ak008;
usaak;AK;AK9;;;;ak.ak009;
usaak;AK;AK10;;;Chitina;ak.ak010;
usaak;AK;AK10;;Cor;Cordova;ak.ak010cor;
usaak;AK;AK10;;Chi;Childs Glacier;ak.ak010chi;
usaak;AK;AK11;;;;ak.ak011;
usaak;AK;AK98;;;;ak.ak098;
