systemName;route;banner;groupName;roots
usaal;AL5;;;al.al005
usaal;AL9;;;al.al009
usaal;AL10;;;al.al010
usaal;AL13;;;al.al013
usaal;AL14;;;al.al014
usaal;AL17;;;al.al017
usaal;AL18;;;al.al018
usaal;AL19;;;al.al019
usaal;AL20;;;al.al020
usaal;AL21;;;al.al021
usaal;AL21;Bus;Monroeville;al.al021busmon
usaal;AL22;;;al.al022
usaal;AL22;Trk;Selma;al.al022trksel
usaal;AL23;;;al.al023
usaal;AL24;;;al.al024
usaal;AL25;;;al.al025
usaal;AL26;;;al.al026
usaal;AL27;;;al.al027
usaal;AL28;;;al.al028
usaal;AL30;;;al.al030
usaal;AL32;;;al.al032
usaal;AL33;;;al.al033
usaal;AL34;;;al.al034
usaal;AL35;;;al.al035
usaal;AL36;;;al.al036
usaal;AL37;;;al.al037
usaal;AL39;;;al.al039
usaal;AL40;;;al.al040
usaal;AL41;;;al.al041
usaal;AL44;;;al.al044
usaal;AL46;;;al.al046
usaal;AL47;;;al.al047
usaal;AL47;Trk;Monroeville;al.al047trkmon
usaal;AL48;;;al.al048
usaal;AL49;;;al.al049
usaal;AL50;;;al.al050
usaal;AL51;;;al.al051
usaal;AL52;;;al.al052
usaal;AL53;;Dothan;al.al053dot
usaal;AL53;;Huntsville;al.al053
usaal;AL54;;;al.al054
usaal;AL55;;;al.al055
usaal;AL56;;;al.al056
usaal;AL59;;;al.al059
usaal;AL60;;;al.al060
usaal;AL61;;;al.al061
usaal;AL62;;;al.al062
usaal;AL63;;;al.al063
usaal;AL64;;;al.al064
usaal;AL65;;;al.al065
usaal;AL66;;;al.al066
usaal;AL67;;;al.al067
usaal;AL68;;;al.al068
usaal;AL69;;;al.al069
usaal;AL70;;;al.al070
usaal;AL71;;;al.al071
usaal;AL73;;;al.al073
usaal;AL74;;;al.al074
usaal;AL75;;;al.al075
usaal;AL76;;;al.al076
usaal;AL77;;;al.al077
usaal;AL79;;;al.al079
usaal;AL81;;;al.al081
usaal;AL83;;;al.al083
usaal;AL85;;;al.al085
usaal;AL86;;;al.al086
usaal;AL87;;;al.al087
usaal;AL88;;;al.al088
usaal;AL89;;;al.al089
usaal;AL91;;;al.al091
usaal;AL92;;;al.al092
usaal;AL93;;;al.al093
usaal;AL94;;;al.al094
usaal;AL95;;;al.al095
usaal;AL96;;;al.al096
usaal;AL97;;;al.al097
usaal;AL99;;;al.al099
usaal;AL101;;;al.al101
usaal;AL102;;;al.al102
usaal;AL103;;;al.al103
usaal;AL104;;;al.al104
usaal;AL105;;;al.al105
usaal;AL106;;;al.al106
usaal;AL107;;;al.al107
usaal;AL108;;;al.al108
usaal;AL109;;;al.al109
usaal;AL110;;;al.al110
usaal;AL111;;;al.al111
usaal;AL111;Trk;Wetumpka;al.al111trkwet
usaal;AL113;;;al.al113
usaal;AL114;;;al.al114
usaal;AL115;;;al.al115
usaal;AL116;;;al.al116
usaal;AL117;;;al.al117
usaal;AL118;;;al.al118
usaal;AL119;;;al.al119
usaal;AL120;;;al.al120
usaal;AL122;;;al.al122
usaal;AL123;;;al.al123
usaal;AL124;;;al.al124
usaal;AL125;;;al.al125
usaal;AL126;;;al.al126
usaal;AL127;;;al.al127
usaal;AL128;;;al.al128
usaal;AL129;;;al.al129
usaal;AL130;;;al.al130
usaal;AL131;;;al.al131
usaal;AL132;;;al.al132
