systemName;route;banner;groupName;roots
usact;CT2;;;ct.ct002
usact;CT2A;;;ct.ct002a
usact;CT3;;;ct.ct003
usact;CT4;;;ct.ct004
usact;CT8;;;ct.ct008
usact;CT9;;;ct.ct009
usact;CT10;;;ct.ct010
usact;CT11;;;ct.ct011
usact;CT12;;;ct.ct012
usact;CT14;;;ct.ct014
usact;CT14A;;;ct.ct014a
usact;CT15;;;ct.ct015
usact;CT16;;;ct.ct016
usact;CT17;;;ct.ct017
usact;CT17A;;;ct.ct017a
usact;CT19;;;ct.ct019
usact;CT20;;;ct.ct020
usact;CT21;;;ct.ct021
usact;CT22;;;ct.ct022
usact;CT22;Trk;Hamden;ct.ct022trkham
usact;CT25;;;ct.ct025
usact;CT27;;;ct.ct027
usact;CT30;;;ct.ct030
usact;CT31;;;ct.ct031
usact;CT32;;;ct.ct032
usact;CT33;;;ct.ct033
usact;CT34;;;ct.ct034
usact;CT35;;;ct.ct035
usact;CT37;;;ct.ct037
usact;CT39;;;ct.ct039
usact;CT40;;;ct.ct040
usact;CT41;;;ct.ct041
usact;CT42;;;ct.ct042
usact;CT43;;;ct.ct043
usact;CT45;;;ct.ct045
usact;CT47;;;ct.ct047
usact;CT49;;;ct.ct049
usact;CT53;;;ct.ct053
usact;CT55;;;ct.ct055
usact;CT57;;;ct.ct057
usact;CT58;;;ct.ct058
usact;CT59;;;ct.ct059
usact;CT61;;;ct.ct061
usact;CT63;;;ct.ct063
usact;CT64;;;ct.ct064
usact;CT66;;;ct.ct066
usact;CT67;;;ct.ct067
usact;CT68;;;ct.ct068
usact;CT69;;;ct.ct069
usact;CT70;;;ct.ct070
usact;CT71;;;ct.ct071
usact;CT71A;;;ct.ct071a
usact;CT72;;;ct.ct072
usact;CT73;;;ct.ct073
usact;CT74;;;ct.ct074
usact;CT75;;;ct.ct075
usact;CT77;;;ct.ct077
usact;CT78;;;ct.ct078
usact;CT79;;;ct.ct079
usact;CT80;;;ct.ct080
usact;CT81;;;ct.ct081
usact;CT82;;;ct.ct082
usact;CT83;;;ct.ct083
usact;CT85;;;ct.ct085
usact;CT87;;;ct.ct087
usact;CT89;;;ct.ct089
usact;CT94;;;ct.ct094
usact;CT97;;;ct.ct097
usact;CT99;;;ct.ct099
usact;CT100;;;ct.ct100
usact;CT101;;;ct.ct101
usact;CT102;;;ct.ct102
usact;CT103;;;ct.ct103
usact;CT104;;;ct.ct104
usact;CT106;;;ct.ct106
usact;CT107;;;ct.ct107
usact;CT108;;;ct.ct108
usact;CT109;;;ct.ct109
usact;CT110;;;ct.ct110
usact;CT111;;;ct.ct111
usact;CT112;;;ct.ct112
usact;CT113;;;ct.ct113
usact;CT114;;;ct.ct114
usact;CT115;;;ct.ct115
usact;CT116;;;ct.ct116
usact;CT117;;;ct.ct117
usact;CT118;;;ct.ct118
usact;CT120;;;ct.ct120
usact;CT121;;;ct.ct121
usact;CT122;;;ct.ct122
usact;CT123;;;ct.ct123
usact;CT124;;;ct.ct124
usact;CT125;;;ct.ct125
usact;CT126;;;ct.ct126
usact;CT127;;;ct.ct127
usact;CT128;;;ct.ct128
usact;CT130;;;ct.ct130
usact;CT131;;;ct.ct131
usact;CT132;;;ct.ct132
usact;CT133;;;ct.ct133
usact;CT135;;;ct.ct135
usact;CT136;;;ct.ct136
usact;CT137;;;ct.ct137
usact;CT138;;;ct.ct138
usact;CT139;;;ct.ct139
usact;CT140;;;ct.ct140
usact;CT142;;;ct.ct142
usact;CT145;;;ct.ct145
usact;CT146;;;ct.ct146
usact;CT147;;;ct.ct147
usact;CT148;;;ct.ct148
usact;CT149;;;ct.ct149
usact;CT150;;;ct.ct150
usact;CT151;;;ct.ct151
usact;CT152;;;ct.ct152
usact;CT153;;;ct.ct153
usact;CT154;;;ct.ct154
usact;CT155;;;ct.ct155
usact;CT156;;;ct.ct156
usact;CT157;;;ct.ct157
usact;CT159;;;ct.ct159
usact;CT160;;;ct.ct160
usact;CT161;;;ct.ct161
usact;CT162;;;ct.ct162
usact;CT163;;;ct.ct163
usact;CT164;;;ct.ct164
usact;CT165;;;ct.ct165
usact;CT166;;;ct.ct166
usact;CT167;;;ct.ct167
usact;CT168;;;ct.ct168
usact;CT169;;;ct.ct169
usact;CT171;;;ct.ct171
usact;CT172;;;ct.ct172
usact;CT173;;;ct.ct173
usact;CT174;;;ct.ct174
usact;CT175;;;ct.ct175
usact;CT176;;;ct.ct176
usact;CT177;;;ct.ct177
usact;CT178;;;ct.ct178
usact;CT179;;;ct.ct179
usact;CT181;;;ct.ct181
usact;CT182;;;ct.ct182
usact;CT182A;;;ct.ct182a
usact;CT183;;;ct.ct183
usact;CT184;;;ct.ct184
usact;CT185;;;ct.ct185
usact;CT186;;;ct.ct186
usact;CT187;;;ct.ct187
usact;CT188;;;ct.ct188
usact;CT189;;;ct.ct189
usact;CT190;;;ct.ct190
usact;CT191;;;ct.ct191
usact;CT192;;;ct.ct192
usact;CT193;;;ct.ct193
usact;CT194;;;ct.ct194
usact;CT195;;;ct.ct195
usact;CT196;;;ct.ct196
usact;CT197;;;ct.ct197
usact;CT198;;;ct.ct198
usact;CT199;;;ct.ct199
usact;CT200;;;ct.ct200
usact;CT201;;;ct.ct201
usact;CT203;;;ct.ct203
usact;CT205;;;ct.ct205
usact;CT207;;;ct.ct207
usact;CT209;;;ct.ct209
usact;CT213;;;ct.ct213
usact;CT214;;;ct.ct214
usact;CT215;;;ct.ct215
usact;CT216;;;ct.ct216
usact;CT217;;;ct.ct217
usact;CT218;;;ct.ct218
usact;CT219;;;ct.ct219
usact;CT220;;;ct.ct220
usact;CT222;;;ct.ct222
usact;CT229;;;ct.ct229
usact;CT234;;;ct.ct234
usact;CT243;;;ct.ct243
usact;CT244;;;ct.ct244
usact;CT254;;;ct.ct254
usact;CT262;;;ct.ct262
usact;CT263;;;ct.ct263
usact;CT272;;;ct.ct272
usact;CT275;;;ct.ct275
usact;CT286;;;ct.ct286
usact;CT287;;;ct.ct287
usact;CT289;;;ct.ct289
usact;CT302;;;ct.ct302
usact;CT305;;;ct.ct305
usact;CT309;;;ct.ct309
usact;CT313;;;ct.ct313
usact;CT314;;;ct.ct314
usact;CT315;;;ct.ct315
usact;CT316;;;ct.ct316
usact;CT317;;;ct.ct317
usact;CT318;;;ct.ct318
usact;CT319;;;ct.ct319
usact;CT320;;;ct.ct320
usact;CT322;;;ct.ct322
usact;CT334;;;ct.ct334
usact;CT337;;;ct.ct337
usact;CT341;;;ct.ct341
usact;CT343;;;ct.ct343
usact;CT349;;;ct.ct349
usact;CT354;;;ct.ct354
usact;CT361;;;ct.ct361
usact;CT364;;;ct.ct364
usact;CT372;;;ct.ct372
