systemName;region;route;banner;abbrev;city;root;altRouteNames
usahi;HI;HI11;;;;hi.hi011;
usahi;HI;HI19;;;;hi.hi019;
usahi;HI;HI30;;;;hi.hi030;
usahi;HI;HI31;;;;hi.hi031;
usahi;HI;HI32;;;;hi.hi032;
usahi;HI;HI32A;;;;hi.hi032a;
usahi;HI;HI36;;;;hi.hi036;
usahi;HI;HI36A;;;;hi.hi036a;
usahi;HI;HI37;;;;hi.hi037;
usahi;HI;HI50;;;;hi.hi050;
usahi;HI;HI51;;;;hi.hi051;
usahi;HI;HI56;;;;hi.hi056;
usahi;HI;HI58;;;;hi.hi058;
usahi;HI;HI61;;;;hi.hi061;
usahi;HI;HI63;;;;hi.hi063;
usahi;HI;HI64;;;;hi.hi064;
usahi;HI;HI65;;;;hi.hi065;
usahi;HI;HI72;;;;hi.hi072;
usahi;HI;HI76;;;;hi.hi076;
usahi;HI;HI78;;;;hi.hi078;
usahi;HI;HI80;;;;hi.hi080;
usahi;HI;HI83;;;;hi.hi083;
usahi;HI;HI92;;;;hi.hi092;
usahi;HI;HI93;;;;hi.hi093;
usahi;HI;HI98;;;;hi.hi098;
usahi;HI;HI99;;;;hi.hi099;
usahi;HI;HI130;;;;hi.hi130;
usahi;HI;HI139;;;;hi.hi139;
usahi;HI;HI160;;;;hi.hi160;
usahi;HI;HI190;;;;hi.hi190;
usahi;HI;HI200;;;;hi.hi200;
usahi;HI;HI220;;;;hi.hi220;
usahi;HI;HI240;;;;hi.hi240;
usahi;HI;HI250;;;;hi.hi250;
usahi;HI;HI270;;;;hi.hi270;
usahi;HI;HI310;;;;hi.hi310;
usahi;HI;HI311;;;;hi.hi311;
usahi;HI;HI340;;;;hi.hi340;
usahi;HI;HI360;;;;hi.hi360;
usahi;HI;HI377;;;;hi.hi377;
usahi;HI;HI378;;;;hi.hi378;
usahi;HI;HI380;;;;hi.hi380;
usahi;HI;HI440;;;;hi.hi440;
usahi;HI;HI450;;;;hi.hi450;
usahi;HI;HI460;;;;hi.hi460;
usahi;HI;HI470;;;;hi.hi470;
usahi;HI;HI480;;;;hi.hi480;
usahi;HI;HI540;;;;hi.hi540;
usahi;HI;HI541;;;;hi.hi541;
usahi;HI;HI550;;;;hi.hi550;
usahi;HI;HI560;;;;hi.hi560;
usahi;HI;HI570;;;;hi.hi570;
usahi;HI;HI580;;;;hi.hi580;
usahi;HI;HI583;;;;hi.hi583;
usahi;HI;HI750;;;;hi.hi750;
usahi;HI;HI930;;;;hi.hi930;
usahi;HI;HI2000;;;;hi.hi2000;
usahi;HI;HI3000;;;;hi.hi3000;
usahi;HI;HI3400;;;;hi.hi3400;
usahi;HI;HI3500;;;;hi.hi3500;
usahi;HI;HI3800;;;;hi.hi3800;
usahi;HI;HI7012;;;;hi.hi7012;
usahi;HI;HI7101;;;;hi.hi7101;
usahi;HI;HI7110;;;;hi.hi7110;
usahi;HI;HI7310;;;;hi.hi7310;
usahi;HI;HI8930;;;;hi.hi8930;
