systemName;region;route;banner;abbrev;city;root;altRouteNames
usaid;ID;ID1;;;;id.id001;
usaid;ID;ID3;;;;id.id003;
usaid;ID;ID4;;;;id.id004;
usaid;ID;ID5;;;;id.id005;
usaid;ID;ID6;;;;id.id006;
usaid;ID;ID7;;;;id.id007;
usaid;ID;ID8;;;;id.id008;
usaid;ID;ID9;;;;id.id009;
usaid;ID;ID11;;;;id.id011;
usaid;ID;ID13;;;;id.id013;
usaid;ID;ID13;Bus;Koo;Kooskia;id.id013buskoo;
usaid;ID;ID14;;;;id.id014;
usaid;ID;ID16;;;;id.id016;
usaid;ID;ID19;;;;id.id019;
usaid;ID;ID21;;;;id.id021;
usaid;ID;ID22;;;;id.id022;
usaid;ID;ID24;;;;id.id024;
usaid;ID;ID25;;;;id.id025;
usaid;ID;ID27;;;;id.id027;
usaid;ID;ID28;;;;id.id028;
usaid;ID;ID29;;;;id.id029;
usaid;ID;ID31;;;;id.id031;
usaid;ID;ID32;;;;id.id032;
usaid;ID;ID33;;;;id.id033;
usaid;ID;ID33;Spr;Sug;Sugar City;id.id033sprsug;
usaid;ID;ID34;;;;id.id034;
usaid;ID;ID36;;;;id.id036;
usaid;ID;ID37;;;;id.id037;
usaid;ID;ID38;;;;id.id038;
usaid;ID;ID39;;;;id.id039;
usaid;ID;ID40;;;;id.id040;
usaid;ID;ID41;;;;id.id041;
usaid;ID;ID43;;;;id.id043;
usaid;ID;ID44;;;;id.id044;
usaid;ID;ID45;;;;id.id045;
usaid;ID;ID46;;;;id.id046;
usaid;ID;ID46;Spr;Wen;Wendell;id.id046sprwen;
usaid;ID;ID47;;;;id.id047;
usaid;ID;ID48;;;;id.id048;
usaid;ID;ID50;;;;id.id050;
usaid;ID;ID51;;;;id.id051;
usaid;ID;ID52;;;;id.id052;
usaid;ID;ID53;;;;id.id053;
usaid;ID;ID54;;;;id.id054;
usaid;ID;ID55;;;;id.id055;
usaid;ID;ID57;;;;id.id057;
usaid;ID;ID58;;;;id.id058;
usaid;ID;ID60;;;;id.id060;
usaid;ID;ID61;;;;id.id061;
usaid;ID;ID62;;;;id.id062;
usaid;ID;ID64;;;;id.id064;
usaid;ID;ID66;;;;id.id066;
usaid;ID;ID67;;;;id.id067;
usaid;ID;ID69;;;;id.id069;
usaid;ID;ID71;;;;id.id071;
usaid;ID;ID72;;;;id.id072;
usaid;ID;ID74;;;;id.id074;
usaid;ID;ID75;;;;id.id075;
usaid;ID;ID77;;;;id.id077;
usaid;ID;ID78;;;;id.id078;
usaid;ID;ID79;;;;id.id079;
usaid;ID;ID81;;;;id.id081;
usaid;ID;ID81;Spr;Cot;Cotterel;id.id081sprcot;
usaid;ID;ID87;;;;id.id087;
usaid;ID;ID97;;;;id.id097;
usaid;ID;ID99;;;;id.id099;
usaid;ID;ID128;;;;id.id128;
usaid;ID;ID128;Spr;Lew;Lewiston;id.id128sprlew;
usaid;ID;ID162;;;;id.id162;
usaid;ID;ID167;;;;id.id167;
usaid;ID;ID200;;;;id.id200;
usaid;ID;ID200;Bus;Hop;Hope;id.id200bushop;
