system;region;route;banner;abbrev;city;fileroot;AltRouteNames
usaky3;KY;KY1000;;;;ky.ky1000;
usaky3;KY;KY1002;;;;ky.ky1002;
usaky3;KY;KY1003;;;;ky.ky1003;
usaky3;KY;KY1004;;;;ky.ky1004;
usaky3;KY;KY1005;;;;ky.ky1005;
usaky3;KY;KY1006;;;;ky.ky1006;
usaky3;KY;KY1007;;;;ky.ky1007;
usaky3;KY;KY1008;;;;ky.ky1008;
usaky3;KY;KY1009;;;;ky.ky1009;
usaky3;KY;KY1010;;;;ky.ky1010;
usaky3;KY;KY1011;;;;ky.ky1011;
usaky3;KY;KY1012;;;;ky.ky1012;
usaky3;KY;KY1013;;;;ky.ky1013;
usaky3;KY;KY1014;;;;ky.ky1014;
usaky3;KY;KY1015;;;;ky.ky1015;
usaky3;KY;KY1016;;;;ky.ky1016;
usaky3;KY;KY1017;;;;ky.ky1017;
usaky3;KY;KY1019;;;;ky.ky1019;
usaky3;KY;KY1020;;;;ky.ky1020;
usaky3;KY;KY1021;;;;ky.ky1021;
usaky3;KY;KY1022;;;;ky.ky1022;
usaky3;KY;KY1023;;;;ky.ky1023;
usaky3;KY;KY1024;;;;ky.ky1024;
usaky3;KY;KY1025;;;;ky.ky1025;
usaky3;KY;KY1026;;;;ky.ky1026;
usaky3;KY;KY1027;;;;ky.ky1027;
usaky3;KY;KY1028;;;;ky.ky1028;
usaky3;KY;KY1029;;;;ky.ky1029;
usaky3;KY;KY1030;;;;ky.ky1030;
usaky3;KY;KY1031;;;;ky.ky1031;
usaky3;KY;KY1032;;;;ky.ky1032;
usaky3;KY;KY1033;;;;ky.ky1033;
usaky3;KY;KY1034;;;;ky.ky1034;
usaky3;KY;KY1035;;;;ky.ky1035;
usaky3;KY;KY1036;;;;ky.ky1036;
usaky3;KY;KY1037;;;;ky.ky1037;
usaky3;KY;KY1038;;;;ky.ky1038;
usaky3;KY;KY1039;;;;ky.ky1039;
usaky3;KY;KY1040;;;;ky.ky1040;
usaky3;KY;KY1041;;;;ky.ky1041;
usaky3;KY;KY1042;;;;ky.ky1042;
usaky3;KY;KY1043;;;;ky.ky1043;
usaky3;KY;KY1044;;;;ky.ky1044;
usaky3;KY;KY1045;;;;ky.ky1045;
usaky3;KY;KY1046;;;;ky.ky1046;
usaky3;KY;KY1047;;;;ky.ky1047;
usaky3;KY;KY1048;;;;ky.ky1048;
usaky3;KY;KY1049;;;;ky.ky1049;
usaky3;KY;KY1050;;;;ky.ky1050;
usaky3;KY;KY1051;;;;ky.ky1051;
usaky3;KY;KY1053;;;;ky.ky1053;
usaky3;KY;KY1054;;;;ky.ky1054;
usaky3;KY;KY1055;;;;ky.ky1055;
usaky3;KY;KY1056;;;;ky.ky1056;
usaky3;KY;KY1057;;;;ky.ky1057;
usaky3;KY;KY1058;;;;ky.ky1058;
usaky3;KY;KY1059;;;;ky.ky1059;
usaky3;KY;KY1060;;;;ky.ky1060;
