System;Route;Banner;Name;Roots
usaky8;KY3500;;;ky.ky3500
usaky8;KY3501;;;ky.ky3501
usaky8;KY3502;;;ky.ky3502
usaky8;KY3503;;;ky.ky3503
usaky8;KY3504;;;ky.ky3504
usaky8;KY3518;;;ky.ky3518
usaky8;KY3519;;;ky.ky3519
usaky8;KY3520;;;ky.ky3520
usaky8;KY3521;;;ky.ky3521
usaky8;KY3523;;;ky.ky3523
usaky8;KY3524;;;ky.ky3524
usaky8;KY3525;;;ky.ky3525
usaky8;KY3526;;;ky.ky3526
usaky8;KY3527;;;ky.ky3527
usaky8;KY3529;;;ky.ky3529
usaky8;KY3539;;;ky.ky3539
usaky8;KY3543;;;ky.ky3543
usaky8;KY3545;;;ky.ky3545
usaky8;KY3548;;;ky.ky3548
usaky8;KY3549;;;ky.ky3549
usaky8;KY3550;;;ky.ky3550
usaky8;KY3571;;;ky.ky3571
usaky8;KY3600;;;ky.ky3600
usaky8;KY3606;;;ky.ky3606
usaky8;KY3608;;;ky.ky3608
usaky8;KY3611;;;ky.ky3611
usaky8;KY3630;;;ky.ky3630
usaky8;KY3677;;;ky.ky3677
usaky8;KY3716;;;ky.ky3716
usaky8;KY6011;;;ky.ky6011
usaky8;KY6016;;;ky.ky6016
usaky8;KY6017;;;ky.ky6017
usaky8;KY6018;;;ky.ky6018
usaky8;KY6022;;;ky.ky6022
usaky8;KY6059;;;ky.ky6059
usaky8;KY6060;;;ky.ky6060
usaky8;KY6074;;;ky.ky6074
usaky8;KY6117;;;ky.ky6117
usaky8;KY6121;;;ky.ky6121
usaky8;KY6122;;;ky.ky6122
usaky8;KY6177;;;ky.ky6177
usaky8;KY6183;;;ky.ky6183
