systemName;route;banner;groupName;roots
usama;MA1A;;Providence, RI;ma.ma001apro
usama;MA1A;;Norwood;ma.ma001anor
usama;MA1A;;Salem;ma.ma001asal
usama;MA2;;;ma.ma002
usama;MA2A;;Shelburne Falls;ma.ma002ashe
usama;MA2A;;Greenfield;ma.ma002agre
usama;MA2A;;Cambridge;ma.ma002acam
usama;MA3;;;ma.ma003
usama;MA3A;;Plymouth;ma.ma003aply
usama;MA3A;;Manchester, NH;ma.ma003aman
usama;MA4;;;ma.ma004
usama;MA6A;;Yarmouth;ma.ma006ayar
usama;MA6A;;Provincetown;ma.ma006apro
usama;MA7A;;Ashley Falls;ma.ma007aash
usama;MA7A;;Lenox;ma.ma007alen
usama;MA8;;;ma.ma008
usama;MA8A;;North Adams;ma.ma008anor
usama;MA8A;;Charlemont;ma.ma008acha
usama;MA9;;;ma.ma009
usama;MA10;;;ma.ma010
usama;MA12;;;ma.ma012
usama;MA13;;;ma.ma013
usama;MA14;;;ma.ma014
usama;MA16;;;ma.ma016
usama;MA18;;;ma.ma018
usama;MA19;;;ma.ma019
usama;MA20A;;Springfield;ma.ma020aspr
usama;MA21;;;ma.ma021
usama;MA22;;;ma.ma022
usama;MA23;;;ma.ma023
usama;MA24;;;ma.ma024
usama;MA25;;;ma.ma025
usama;MA27;;;ma.ma027
usama;MA28;;;ma.ma028
usama;MA28A;;North Falmouth;ma.ma028anor
usama;MA30;;;ma.ma030
usama;MA31;;;ma.ma031
usama;MA32;;;ma.ma032
usama;MA32A;;Hardwick;ma.ma032ahar
usama;MA33;;;ma.ma033
usama;MA35;;;ma.ma035
usama;MA36;;;ma.ma036
usama;MA37;;;ma.ma037
usama;MA38;;;ma.ma038
usama;MA39;;;ma.ma039
usama;MA40;;;ma.ma040
usama;MA41;;;ma.ma041
usama;MA43;;;ma.ma043
usama;MA47;;;ma.ma047
usama;MA49;;;ma.ma049
usama;MA53;;;ma.ma053
usama;MA56;;;ma.ma056
usama;MA57;;;ma.ma057
usama;MA58;;;ma.ma058
usama;MA60;;;ma.ma060
usama;MA62;;;ma.ma062
usama;MA63;;;ma.ma063
usama;MA66;;;ma.ma066
usama;MA67;;;ma.ma067
usama;MA68;;;ma.ma068
usama;MA70;;;ma.ma070
usama;MA71;;;ma.ma071
usama;MA75;;;ma.ma075
usama;MA78;;;ma.ma078
usama;MA79;;;ma.ma079
usama;MA80;;;ma.ma080
usama;MA81;;;ma.ma081
usama;MA83;;;ma.ma083
usama;MA85;;;ma.ma085
usama;MA88;;;ma.ma088
usama;MA96;;;ma.ma096
usama;MA97;;;ma.ma097
usama;MA98;;;ma.ma098
usama;MA99;;;ma.ma099
usama;MA101;;;ma.ma101
usama;MA102;;;ma.ma102
usama;MA103;;;ma.ma103
usama;MA104;;;ma.ma104
usama;MA105;;;ma.ma105
usama;MA106;;;ma.ma106
usama;MA107;;;ma.ma107
usama;MA108;;;ma.ma108
usama;MA109;;;ma.ma109
usama;MA110;;;ma.ma110
usama;MA111;;;ma.ma111
usama;MA112;;;ma.ma112
usama;MA113;;;ma.ma113
usama;MA114;;;ma.ma114
usama;MA114A;;Seekonk;ma.ma114asee
usama;MA115;;;ma.ma115
usama;MA116;;;ma.ma116
usama;MA117;;;ma.ma117
usama;MA118;;;ma.ma118
usama;MA119;;;ma.ma119
usama;MA120;;;ma.ma120
usama;MA121;;;ma.ma121
usama;MA122;;;ma.ma122
usama;MA122A;;Worcester;ma.ma122awor
usama;MA123;;;ma.ma123
usama;MA124;;;ma.ma124
usama;MA125;;;ma.ma125
usama;MA126;;;ma.ma126
usama;MA127;;;ma.ma127
usama;MA127A;;Rockport;ma.ma127aroc
usama;MA128;;;ma.ma128
usama;MA129;;;ma.ma129
usama;MA129A;;Lynn;ma.ma129alyn
usama;MA130;;;ma.ma130
usama;MA131;;;ma.ma131
usama;MA132;;;ma.ma132
usama;MA133;;;ma.ma133
usama;MA134;;;ma.ma134
usama;MA135;;;ma.ma135
usama;MA136;;;ma.ma136
usama;MA137;;;ma.ma137
usama;MA138;;;ma.ma138
usama;MA139;;;ma.ma139
usama;MA140;;;ma.ma140
usama;MA141;;;ma.ma141
usama;MA142;;;ma.ma142
usama;MA143;;;ma.ma143
usama;MA145;;;ma.ma145
usama;MA146;;;ma.ma146
usama;MA146A;;Uxbridge;ma.ma146auxb
usama;MA147;;;ma.ma147
usama;MA148;;;ma.ma148
usama;MA149;;;ma.ma149
usama;MA150;;;ma.ma150
usama;MA151;;;ma.ma151
usama;MA152;;;ma.ma152
usama;MA159;;;ma.ma159
usama;MA168;;;ma.ma168
usama;MA169;;;ma.ma169
usama;MA177;;;ma.ma177
usama;MA181;;;ma.ma181
usama;MA183;;;ma.ma183
usama;MA186;;;ma.ma186
usama;MA187;;;ma.ma187
usama;MA189;;;ma.ma189
usama;MA192;;;ma.ma192
usama;MA193;;;ma.ma193
usama;MA197;;;ma.ma197
usama;MA198;;;ma.ma198
usama;MA203;;;ma.ma203
usama;MA213;;;ma.ma213
usama;MA220;;;ma.ma220
usama;MA225;;;ma.ma225
usama;MA228;;;ma.ma228
usama;MA240;;;ma.ma240
usama;MA286;;;ma.ma286
usama;MA295;;;ma.ma295
