systemName;region;route;banner;abbrev;city;root;altRouteNames
usamp;MP;MP10;;;;mp.mp010;
usamp;MP;MP11;;;;mp.mp011;
usamp;MP;MP20;;;;mp.mp020;
usamp;MP;MP21;;;;mp.mp021;
usamp;MP;MP22;;;;mp.mp022;
usamp;MP;MP23;;;;mp.mp023;
usamp;MP;MP24;;;;mp.mp024;
usamp;MP;MP25;;;;mp.mp025;
usamp;MP;MP26;;;;mp.mp026;
usamp;MP;MP27;;;;mp.mp027;
usamp;MP;MP30;;Sus;Susupe;mp.mp030sus;
usamp;MP;MP30;;;Garapan;mp.mp030;
usamp;MP;MP31;;;;mp.mp031;
usamp;MP;MP32;;;;mp.mp032;
usamp;MP;MP33;;;;mp.mp033;
usamp;MP;MP34;;;;mp.mp034;
usamp;MP;MP35;;;;mp.mp035;
usamp;MP;MP36;;;Capitol Hill;mp.mp036;
usamp;MP;MP36;;Mar;Marpi;mp.mp036mar;
usamp;MP;MP37;;;;mp.mp037;
usamp;MP;MP38;;;;mp.mp038;
usamp;MP;MP100;;;;mp.mp100;
usamp;MP;MP101;;;;mp.mp101;
usamp;MP;MP103;;;;mp.mp103;
usamp;MP;MP201;;;;mp.mp201;
usamp;MP;MP202;;;;mp.mp202;
usamp;MP;MP203;;;;mp.mp203;
usamp;MP;MP204;;;;mp.mp204;
usamp;MP;MP205;;;;mp.mp205;
usamp;MP;MP206;;;;mp.mp206;
usamp;MP;MP207;;;;mp.mp207;
usamp;MP;MP208;;;;mp.mp208;
usamp;MP;MP301;;;;mp.mp301;
usamp;MP;MP302;;;;mp.mp302;
usamp;MP;MP303;;;;mp.mp303;
usamp;MP;MP304;;;;mp.mp304;
usamp;MP;MP305;;;;mp.mp305;
usamp;MP;MP306;;;;mp.mp306;
usamp;MP;MP307;;;;mp.mp307;
usamp;MP;MP308;;;;mp.mp308;
usamp;MP;MP309;;;;mp.mp309;
usamp;MP;MP310;;;;mp.mp310;
usamp;MP;MP311;;;;mp.mp311;
usamp;MP;MP312;;;;mp.mp312;
usamp;MP;MP313;;;;mp.mp313;
usamp;MP;MP314;;;;mp.mp314;
usamp;MP;MP315;;;;mp.mp315;
usamp;MP;MP316;;;;mp.mp316;
usamp;MP;MP317;;;;mp.mp317;
usamp;MP;MP318;;;;mp.mp318;
usamp;MP;MP319;;;;mp.mp319;
usamp;MP;MP320;;;;mp.mp320;
usamp;MP;MP322;;;;mp.mp322;
usamp;MP;MP323;;;;mp.mp323;
