systemName;route;banner;groupName;roots
usamp;MP10;;;mp.mp010
usamp;MP11;;;mp.mp011
usamp;MP20;;;mp.mp020
usamp;MP21;;;mp.mp021
usamp;MP22;;;mp.mp022
usamp;MP23;;;mp.mp023
usamp;MP24;;;mp.mp024
usamp;MP25;;;mp.mp025
usamp;MP26;;;mp.mp026
usamp;MP27;;;mp.mp027
usamp;MP30;;Susupe;mp.mp030sus
usamp;MP30;;Garapan;mp.mp030
usamp;MP31;;;mp.mp031
usamp;MP32;;;mp.mp032
usamp;MP33;;;mp.mp033
usamp;MP34;;;mp.mp034
usamp;MP35;;;mp.mp035
usamp;MP36;;Capitol Hill;mp.mp036
usamp;MP36;;Marpi;mp.mp036mar
usamp;MP37;;;mp.mp037
usamp;MP38;;;mp.mp038
usamp;MP102;;;mp.mp100
usamp;MP101;;;mp.mp101
usamp;MP103;;;mp.mp103
usamp;MP201;;;mp.mp201
usamp;MP202;;;mp.mp202
usamp;MP203;;;mp.mp203
usamp;MP204;;;mp.mp204
usamp;MP205;;;mp.mp205
usamp;MP206;;;mp.mp206
usamp;MP207;;;mp.mp207
usamp;MP208;;;mp.mp208
usamp;MP301;;;mp.mp301
usamp;MP302;;;mp.mp302
usamp;MP303;;;mp.mp303
usamp;MP304;;;mp.mp304
usamp;MP305;;;mp.mp305
usamp;MP306;;;mp.mp306
usamp;MP307;;;mp.mp307
usamp;MP308;;;mp.mp308
usamp;MP309;;;mp.mp309
usamp;MP310;;;mp.mp310
usamp;MP311;;;mp.mp311
usamp;MP312;;;mp.mp312
usamp;MP313;;;mp.mp313
usamp;MP314;;;mp.mp314
usamp;MP315;;;mp.mp315
usamp;MP316;;;mp.mp316
usamp;MP317;;;mp.mp317
usamp;MP318;;;mp.mp318
usamp;MP319;;;mp.mp319
usamp;MP320;;;mp.mp320
usamp;MP322;;;mp.mp322
usamp;MP323;;;mp.mp323
