systemName;route;banner;groupName;roots
usams;MS1;;;ms.ms001
usams;MS2;;Blue Mountain;ms.ms002blu
usams;MS2;;(Main);ms.ms002
usams;MS3;;Yazoo City;ms.ms003yaz
usams;MS3;;Moorhead;ms.ms003moo
usams;MS3;;(Main);ms.ms003
usams;MS4;;;ms.ms004
usams;MS5;;;ms.ms005
usams;MS6;;;ms.ms006
usams;MS7;;;ms.ms007
usams;MS8;;;ms.ms008
usams;MS9;;;ms.ms009
usams;MS12;;;ms.ms012
usams;MS13;;;ms.ms013
usams;MS14;;Rolling Fork;ms.ms014rol
usams;MS14;;(Main);ms.ms014
usams;MS15;;D'Iberville;ms.ms015dib
usams;MS15;;(Main);ms.ms015
usams;MS16;;Rolling Fork;ms.ms016rol
usams;MS16;;(Main);ms.ms016
usams;MS17;;;ms.ms017
usams;MS18;;Port Gibson;ms.ms018por
usams;MS18;;(Main);ms.ms018
usams;MS19;;;ms.ms019
usams;MS21;;;ms.ms021
usams;MS22;;;ms.ms022
usams;MS23;;;ms.ms023
usams;MS24;;;ms.ms024
usams;MS25;;;ms.ms025
usams;MS26;;;ms.ms026
usams;MS27;;;ms.ms027
usams;MS28;;;ms.ms028
usams;MS29;;;ms.ms029
usams;MS30;;;ms.ms030
usams;MS32;;Shelby;ms.ms032she
usams;MS32;;(Main);ms.ms032
usams;MS33;;;ms.ms033
usams;MS35;;;ms.ms035
usams;MS37;;;ms.ms037
usams;MS39;;;ms.ms039
usams;MS41;;;ms.ms041
usams;MS42;;;ms.ms042
usams;MS43;;Arm;ms.ms043arm
usams;MS43;;New Hebron;ms.ms043new
usams;MS43;;Picayune;ms.ms043pic
usams;MS43;;(Main);ms.ms043
usams;MS44;;Columbia;ms.ms044col
usams;MS44;;White Bluff;ms.ms044whi
usams;MS44;;(Main);ms.ms044
usams;MS46;;;ms.ms046
usams;MS47;;;ms.ms047
usams;MS48;;;ms.ms048
usams;MS50;;Walthall;ms.ms050wal
usams;MS50;;(Main);ms.ms050
usams;MS53;;;ms.ms053
usams;MS57;;;ms.ms057
usams;MS63;;;ms.ms063
usams;MS69;;;ms.ms069
usams;MS76;;;ms.ms076
usams;MS145;;Aberdeen;ms.ms145abe
usams;MS145;;Corinth;ms.ms145cor
usams;MS145;;Macon;ms.ms145mac
usams;MS145;;Meridian;ms.ms145mer
usams;MS145;;Nettleton;ms.ms145net
usams;MS145;;Shuqualak;ms.ms145shq
usams;MS145;;Shubuta;ms.ms145shu
usams;MS145;;Tupelo;ms.ms145tup
usams;MS145;;Waynesboro;ms.ms145way
usams;MS149;;Inverness;ms.ms149inv
usams;MS149;;Magee;ms.ms149mag
usams;MS149;;Mendenhall;ms.ms149men
usams;MS149;;Mt Olive;ms.ms149mto
usams;MS149;;Wiggins;ms.ms149wig
usams;MS149;;Yazoo City;ms.ms149yaz
usams;MS161;;Clarksdale;ms.ms161cla
usams;MS161;;Shelby;ms.ms161she
usams;MS161;;Walls;ms.ms161wal
usams;MS172;;;ms.ms172
usams;MS178;;Fulton;ms.ms178ful
usams;MS178;;Tupelo;ms.ms178tup
usams;MS178;;(Main);ms.ms178
usams;MS182;;Columbus;ms.ms182col
usams;MS182;;Eupora;ms.ms182eup
usams;MS182;;Kilmichael;ms.ms182kil
usams;MS182;;Starkville;ms.ms182sta
usams;MS182;;Winona;ms.ms182win
usams;MS184;;Brookhaven;ms.ms184bro
usams;MS184;;Bude;ms.ms184bud
usams;MS184;;Collins;ms.ms184col
usams;MS184;;Laurel;ms.ms184lau
usams;MS184;;Monticello;ms.ms184mon
usams;MS184;;Prentiss;ms.ms184pre
usams;MS184;;Silver Creek;ms.ms184sil
usams;MS184;;Waynesboro;ms.ms184way
usams;MS198;;Beaumont;ms.ms198bea
usams;MS198;;Columbia;ms.ms198col
usams;MS198;;Hattiesburg;ms.ms198hat
usams;MS198;;Lucedale;ms.ms198luc
usams;MS198;;McLain;ms.ms198mcl
usams;MS198;;Tylertown;ms.ms198tyl
usams;MS245;;;ms.ms245
usams;MS301;;;ms.ms301
usams;MS302;;;ms.ms302
usams;MS304;;;ms.ms304
usams;MS305;;;ms.ms305
usams;MS306;;;ms.ms306
usams;MS309;;;ms.ms309
usams;MS310;;;ms.ms310
usams;MS311;;;ms.ms311
usams;MS313;;;ms.ms313
usams;MS314;;;ms.ms314
usams;MS315;;;ms.ms315
usams;MS315;Sce;Sardis Lake;ms.ms315scesar
usams;MS315;;Water Valley;ms.ms315wat
usams;MS316;;;ms.ms316
usams;MS321;;;ms.ms321
usams;MS322;;;ms.ms322
usams;MS328;;;ms.ms328
usams;MS330;;;ms.ms330
usams;MS331;;;ms.ms331
usams;MS332;;;ms.ms332
usams;MS333;Sce;Grenada Lake;ms.ms333scegre.wpt
usams;MS334;;;ms.ms334
usams;MS336;;;ms.ms336
usams;MS338;;;ms.ms338
usams;MS340;;;ms.ms340
usams;MS341;;;ms.ms341
usams;MS342;;;ms.ms342
usams;MS345;;;ms.ms345
usams;MS346;;;ms.ms346
usams;MS348;;;ms.ms348
usams;MS349;;;ms.ms349
usams;MS350;;;ms.ms350
usams;MS354;;;ms.ms354
usams;MS355;;;ms.ms355
usams;MS356;;;ms.ms356
usams;MS362;;;ms.ms362
usams;MS363;;;ms.ms363
usams;MS364;;;ms.ms364
usams;MS364;;Midway;ms.ms364mid
usams;MS365;;;ms.ms365
usams;MS366;;;ms.ms366
usams;MS366;;Golden;ms.ms366gol
usams;MS367;;;ms.ms367
usams;MS368;;;ms.ms368
usams;MS370;;;ms.ms370
usams;MS370;;Ashland;ms.ms370ash
usams;MS370;;Ripley;ms.ms370rip
usams;MS371;;;ms.ms371
usams;MS373;;;ms.ms373
usams;MS373;;Columbus;ms.ms373col
usams;MS382;;;ms.ms382
usams;MS388;;;ms.ms388
usams;MS389;;;ms.ms389
usams;MS389;;Starkville;ms.ms389sta
usams;MS393;;;ms.ms393
usams;MS395;;;ms.ms395
usams;MS397;;;ms.ms397
usams;MS836;;;ms.ms836
