System;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
usanp;WY;NER;;;North Entrance Road, Yellowstone;wy.nentrd;
usanp;MT;NER;;;North Entrance Road, Yellowstone;mt.nentrd;
usanp;WY;NEER;;;Northeast Entrance Road, Yellowstone;wy.neentrd;
usanp;MT;NEER;;;Northeast Entrance Road, Yellowstone;mt.neentrd;
usanp;WY;EER;;;East Entrance Road, Yellowstone;wy.eentrd;
usanp;WY;SEER;;;South East Entrance Road, Yellowstone;wy.seentrd;
usanp;WY;SER;;;South Entrance Road, Yellowstone;wy.sentrd;
usanp;MT;WER;;;West Entrance Road, Yellowstone;mt.wentrd;
usanp;WY;WER;;;West Entrance Road, Yellowstone;wy.wentrd;
usanp;WY;GLR;;;Grand Loop Road, Yellowstone;wy.gralooprd;
usanp;WY;NCR;;;Norris Canyon Road, Yellowstone;wy.norcynrd;
