systemName;route;banner;groupName;roots
usanv;NV28;;;nv.nv028
usanv;NV88;;;nv.nv088
usanv;NV115;;;nv.nv115
usanv;NV116;;;nv.nv116
usanv;NV117;;;nv.nv117
usanv;NV118;;;nv.nv118
usanv;NV119;;;nv.nv119
usanv;NV120;;;nv.nv120
usanv;NV121;;;nv.nv121
usanv;NV140;;;nv.nv140
usanv;NV146;;;nv.nv146
usanv;NV147;;;nv.nv147
usanv;NV156;;;nv.nv156
usanv;NV157;;;nv.nv157
usanv;NV158;;;nv.nv158
usanv;NV159;;;nv.nv159
usanv;NV160;;;nv.nv160
usanv;NV161;;;nv.nv161
usanv;NV163;;;nv.nv163
usanv;NV164;;;nv.nv164
usanv;NV165;;;nv.nv165
usanv;NV168;;;nv.nv168
usanv;NV169;;;nv.nv169
usanv;NV170;;;nv.nv170
usanv;NV172;;;nv.nv172
usanv;NV206;;;nv.nv206
usanv;NV207;;;nv.nv207
usanv;NV208;;;nv.nv208
usanv;NV221;;;nv.nv221
usanv;NV223;;;nv.nv223
usanv;NV225;;;nv.nv225
usanv;NV226;;;nv.nv226
usanv;NV227;;;nv.nv227
usanv;NV228;;;nv.nv228
usanv;NV229;;;nv.nv229
usanv;NV230;;;nv.nv230
usanv;NV231;;;nv.nv231
usanv;NV232;;;nv.nv232
usanv;NV233;;;nv.nv233
usanv;NV264;;;nv.nv264
usanv;NV265;;;nv.nv265
usanv;NV266;;;nv.nv266
usanv;NV267;;;nv.nv267
usanv;NV278;;;nv.nv278
usanv;NV289;;;nv.nv289
usanv;NV290;;;nv.nv290
usanv;NV292;;;nv.nv292
usanv;NV293;;;nv.nv293
usanv;NV294;;;nv.nv294
usanv;NV304;;;nv.nv304
usanv;NV305;;;nv.nv305
usanv;NV306;;;nv.nv306
usanv;NV317;;;nv.nv317
usanv;NV318;;;nv.nv318
usanv;NV319;;;nv.nv319
usanv;NV320;;;nv.nv320
usanv;NV321;;;nv.nv321
usanv;NV322;;;nv.nv322
usanv;NV338;;;nv.nv338
usanv;NV339;;;nv.nv339
usanv;NV340;;;nv.nv340
usanv;NV341;;;nv.nv341
usanv;NV342;;;nv.nv342
usanv;NV359;;;nv.nv359
usanv;NV360;;;nv.nv360
usanv;NV361;;;nv.nv361
usanv;NV372;;;nv.nv372
usanv;NV373;;;nv.nv373
usanv;NV374;;;nv.nv374
usanv;NV375;;;nv.nv375
usanv;NV376;;;nv.nv376
usanv;NV377;;;nv.nv377
usanv;NV379;;;nv.nv379
usanv;NV396;;;nv.nv396
usanv;NV397;;;nv.nv397
usanv;NV398;;;nv.nv398
usanv;NV399;;;nv.nv399
usanv;NV400;;;nv.nv400
usanv;NV401;;;nv.nv401
usanv;NV427;;;nv.nv427
usanv;NV430;;;nv.nv430nor
usanv;NV431;;;nv.nv431
usanv;NV439;;;nv.nv439
usanv;NV443;;;nv.nv443
usanv;NV445;;;nv.nv445
usanv;NV446;;;nv.nv446
usanv;NV447;;;nv.nv447
usanv;NV487;;;nv.nv487
usanv;NV488;;;nv.nv488
usanv;NV490;;;nv.nv490
usanv;NV518;;;nv.nv518
usanv;NV535;;(West) Elko;nv.nv535
usanv;NV535;;Elko;nv.nv535elk
usanv;NV562;;;nv.nv562
usanv;NV564;;;nv.nv564
usanv;NV573;;Las Vegas;nv.nv573las
usanv;NV573;;North Las Vegas;nv.nv573
usanv;NV574;;;nv.nv574
usanv;NV579;;;nv.nv579
usanv;NV582;;;nv.nv582
usanv;NV589;;;nv.nv589
usanv;NV592;;Spring Valley;nv.nv592spr
usanv;NV592;;Paradise;nv.nv592
usanv;NV593;;;nv.nv593
usanv;NV595;;;nv.nv595
usanv;NV596;;;nv.nv596
usanv;NV599;;;nv.nv599
usanv;NV604;;;nv.nv604
usanv;NV610;;;nv.nv610
usanv;NV612;;;nv.nv612
usanv;NV647;;;nv.nv647
usanv;NV648;;;nv.nv648
usanv;NV653;;;nv.nv653
usanv;NV655;;;nv.nv655
usanv;NV659;;;nv.nv659
usanv;NV667;;;nv.nv667
usanv;NV671;;;nv.nv671
usanv;NV715;;;nv.nv715
usanv;NV718;;;nv.nv718
usanv;NV720;;;nv.nv720
usanv;NV722;;;nv.nv722
usanv;NV723;;;nv.nv723
usanv;NV726;;;nv.nv726
usanv;NV756;;;nv.nv756
usanv;NV757;;;nv.nv757
usanv;NV759;;;nv.nv759
usanv;NV760;;;nv.nv760
usanv;NV766;;;nv.nv766
usanv;NV767;;;nv.nv767
usanv;NV773;;;nv.nv773
usanv;NV774;;;nv.nv774
usanv;NV787;;;nv.nv787
usanv;NV789;;;nv.nv789
usanv;NV794;;;nv.nv794
usanv;NV795;;;nv.nv795
usanv;NV796;;;nv.nv796
usanv;NV806;;;nv.nv806
usanv;NV822;;;nv.nv822
usanv;NV823;;;nv.nv823
usanv;NV824;;;nv.nv824
usanv;NV825;;;nv.nv825
usanv;NV827;;;nv.nv827
usanv;NV828;;;nv.nv828
usanv;NV829;;;nv.nv829
usanv;NV839;;;nv.nv839
usanv;NV844;;;nv.nv844
usanv;NV854;;;nv.nv854
usanv;NV856;;;nv.nv856
usanv;NV860;;;nv.nv860
usanv;NV877;;;nv.nv877
usanv;NV880;;;nv.nv880
usanv;NV892;;;nv.nv892
usanv;NV893;;;nv.nv893
usanv;NV894;;;nv.nv894
usanv;NV895;;;nv.nv895
