systemName;route;banner;groupName;roots
usanyp;BayPkwy;;Bay Parkway;ny.baypkwy
usanyp;BearMtnPkwy;;Bear Mountain Parkway;ny.bearmtnpkwy
usanyp;BearMtnPkwy;;Bear Mountain Parkway (Crompond);ny.bearmtnpkwycro
usanyp;BetStaPkwy;;Bethpage State Parkway;ny.betstapkwy
usanyp;BroPelPkwy;;Bronx-Pelham Parkway;ny.bropelpkwy
usanyp;CroBayPkwy;;Cross Bay Parkway;ny.crobaypkwy
usanyp;JacRobPkwy;;Jackie Robinson Parkway;ny.jacrobpkwy
usanyp;KorWarPkwy;;Korean War Veterans Parkway;ny.korwarpkwy
usanyp;LakeOntPkwySpr;;Lake Ontario State Parkway Spur;ny.lakeontpkwyspr
usanyp;LakeWelDr;;Lake Welch Drive;ny.lakeweldr
usanyp;LoopPkwy;;Loop Parkway;ny.looppkwy
usanyp;MosPkwy;;Mosholu Parkway;ny.mospkwy
usanyp;OcePkwy;;Ocean Parkway (Long Island);ny.ocepkwy
usanyp;OcePkwy;;Ocean Parkway (Brooklyn);ny.ocepkwybro
usanyp;ProMtnHwy;;Prospect Mountain Veterans Memorial Highway;ny.promtnhwy
usanyp;RobMosPkwy;;Robert Moses State Parkway;ny.robmospkwy
usanyp;RobMosPkwy;;Robert Moses State Parkway (Niagara Falls);ny.robmospkwynia
usanyp;RobMosPkwySpr;;Robert Moses State Parkway Spur;ny.robmospkwyspr
usanyp;SevLakDr;;Seven Lakes Drive;ny.sevlakdr
usanyp;ShoFroPkwy;;Shore Front Parkway;ny.shofropkwy
usanyp;SouPkwy;;South Parkway;ny.soupkwy
usanyp;WestRivPkwy;;West River Parkway;ny.westrivpkwy
