systemName;region;route;banner;abbrev;city;root;altRouteNames
usaok;OK;OK1;;;;ok.ok001;
usaok;OK;OK2;;;;ok.ok002;
usaok;OK;OK2;;Vin;Vinita;ok.ok002vin;
usaok;OK;OK3;;;;ok.ok003;
usaok;OK;OK3;;Ada;Ada;ok.ok003ada;
usaok;OK;OK3;Byp;Ato;Atoka;ok.ok003bypato;
usaok;OK;OK3;Trk;Guy;Guymon;ok.ok003trkguy;
usaok;OK;OK3E;;;;ok.ok003e;
usaok;OK;OK3W;;;;ok.ok003w;
usaok;OK;OK4;;;;ok.ok004;
usaok;OK;OK4;;Smi;Smithville;ok.ok004smi;
usaok;OK;OK5;;Eld;Eldorado;ok.ok005eld;
usaok;OK;OK5;;;;ok.ok005;
usaok;OK;OK5A;;;;ok.ok005a;
usaok;OK;OK5B;;;;ok.ok005b;
usaok;OK;OK5C;;;;ok.ok005c;
usaok;OK;OK6;;;;ok.ok006;
usaok;OK;OK7;;;;ok.ok007;
usaok;OK;OK7;Spr;Sul;Sulphur;ok.ok007sprsul;
usaok;OK;OK7D;;;;ok.ok007d;
usaok;OK;OK8;;;;ok.ok008;
usaok;OK;OK8A;;;;ok.ok008a;
usaok;OK;OK8B;;;;ok.ok008b;
usaok;OK;OK9;;;;ok.ok009;
usaok;OK;OK9;Bus;Got;Gotebo;ok.ok009busgot;
usaok;OK;OK9;Bus;Hob;Hobart;ok.ok009bushob;
usaok;OK;OK9A;;;;ok.ok009a;
usaok;OK;OK9A;;Euf;Eufala;ok.ok009aeuf;
usaok;OK;OK9A;;Ark;Arkoma;ok.ok009aark;
usaok;OK;OK10;;;;ok.ok010;
usaok;OK;OK10A;;;;ok.ok010a;
usaok;OK;OK10C;;;;ok.ok010c;
usaok;OK;OK11;;;;ok.ok011;
usaok;OK;OK11A;;;;ok.ok011a;
usaok;OK;OK14;;;;ok.ok014;
usaok;OK;OK15;;Woo;Woodward;ok.ok015woo;
usaok;OK;OK15;;;;ok.ok015;
usaok;OK;OK16;;;;ok.ok016;
usaok;OK;OK17;;;;ok.ok017;
usaok;OK;OK17A;;;;ok.ok017a;
usaok;OK;OK18;;;;ok.ok018;
usaok;OK;OK18A;;;;ok.ok018a;
usaok;OK;OK18B;;;;ok.ok018b;
usaok;OK;OK19;;;;ok.ok019;
usaok;OK;OK20;;;;ok.ok020;
usaok;OK;OK22;;;;ok.ok022;
usaok;OK;OK23;;;;ok.ok023;
usaok;OK;OK24;;;;ok.ok024;
usaok;OK;OK25;;;;ok.ok025;
usaok;OK;OK25;;Gro;Grove;ok.ok025gro;
usaok;OK;OK26;;;;ok.ok026;
usaok;OK;OK27;;;;ok.ok027;
usaok;OK;OK28;;;;ok.ok028;
usaok;OK;OK28A;;;;ok.ok028a;
usaok;OK;OK29;;;;ok.ok029;
usaok;OK;OK29A;;;;ok.ok029a;
usaok;OK;OK30;;;;ok.ok030;
usaok;OK;OK31;;;;ok.ok031;
usaok;OK;OK31A;;;;ok.ok031a;
usaok;OK;OK31B;;;;ok.ok031b;
usaok;OK;OK32;;;;ok.ok032;
usaok;OK;OK33;;;;ok.ok033;
usaok;OK;OK33;Trk;Dru;Drumright;ok.ok033trkdru;
usaok;OK;OK34;;;;ok.ok034;
usaok;OK;OK34A;;;;ok.ok034a;
usaok;OK;OK34B;;;;ok.ok034b;
usaok;OK;OK34C;;;;ok.ok034c;
usaok;OK;OK36;;;;ok.ok036;
usaok;OK;OK37;;;;ok.ok037;
usaok;OK;OK37;;Ida;Idabel;ok.ok037ida;
usaok;OK;OK38;;;;ok.ok038;
usaok;OK;OK39;;;;ok.ok039;
usaok;OK;OK40A;;;;ok.ok040a;
usaok;OK;OK42;;;;ok.ok042;
usaok;OK;OK43;;;;ok.ok043;
usaok;OK;OK44;;;;ok.ok044;
usaok;OK;OK44A;;;;ok.ok044a;
usaok;OK;OK45;;;;ok.ok045;
usaok;OK;OK46;;;;ok.ok046;
usaok;OK;OK47;;;;ok.ok047;
usaok;OK;OK47A;;;;ok.ok047a;
usaok;OK;OK48;;;;ok.ok048;
usaok;OK;OK48A;;;;ok.ok048a;
usaok;OK;OK49;;;;ok.ok049;
usaok;OK;OK49;;For;Fort Sill;ok.ok049for;
usaok;OK;OK50;;;;ok.ok050;
usaok;OK;OK50A;;;;ok.ok050a;
usaok;OK;OK50B;;;;ok.ok050b;
usaok;OK;OK51;;;;ok.ok051;
usaok;OK;OK51;Spr;Tah;Tahlequah;ok.ok051sprtah;
usaok;OK;OK51A;;;;ok.ok051a;
usaok;OK;OK51B;;;;ok.ok051b;
usaok;OK;OK52;;Han;Hanna;ok.ok052han;
usaok;OK;OK52;;;;ok.ok052;
usaok;OK;OK53;;;;ok.ok053;
usaok;OK;OK53A;;;;ok.ok053a;
usaok;OK;OK54;;Hol;Hollister;ok.ok054hol;
usaok;OK;OK54;;;;ok.ok054;
usaok;OK;OK54A;;;;ok.ok054a;
usaok;OK;OK54B;;;;ok.ok054b;
usaok;OK;OK55;;;;ok.ok055;
usaok;OK;OK56;;;;ok.ok056;
usaok;OK;OK56;Lp;Okm;Okmulgee;ok.ok056lpokm;
usaok;OK;OK58;;Med;Medicine Park;ok.ok058med;
usaok;OK;OK58;;;;ok.ok058;
usaok;OK;OK58A;;;;ok.ok058a;
usaok;OK;OK59;;;;ok.ok059;
usaok;OK;OK59A;;;;ok.ok059a;
usaok;OK;OK59B;;Lin;Lindsay;ok.ok059blin;
usaok;OK;OK59B;;;;ok.ok059b;
usaok;OK;OK63;;;;ok.ok063;
usaok;OK;OK63A;;;;ok.ok063a;
usaok;OK;OK64B;;;;ok.ok064b;
usaok;OK;OK64D;;;;ok.ok064d;
usaok;OK;OK65;;;;ok.ok065;
usaok;OK;OK66;;;;ok.ok066;
usaok;OK;OK66B;;;;ok.ok066b;
usaok;OK;OK67;;;;ok.ok067;
usaok;OK;OK69A;;;;ok.ok069a;
usaok;OK;OK69A;;Mia;Miami;ok.ok069amia;
