systemName;region;route;banner;abbrev;city;root;altRouteNames
usaor;OR;OR3;;;;or.or003;
usaor;OR;OR6;;;;or.or006;
usaor;OR;OR7;;;;or.or007;
usaor;OR;OR8;;;;or.or008;
usaor;OR;OR10;;;;or.or010;
usaor;OR;OR11;;;;or.or011;
usaor;OR;OR18;;;;or.or018;
usaor;OR;OR18;Bus;Wil;Willamina;or.or018buswil;
usaor;OR;OR18S;;Min;McMinnville;or.or018s;
usaor;OR;OR19;;;;or.or019;
usaor;OR;OR22;;;;or.or022;
usaor;OR;OR27;;;;or.or027;
usaor;OR;OR31;;;;or.or031;
usaor;OR;OR34;;;;or.or034;
usaor;OR;OR35;;;;or.or035;
usaor;OR;OR36;;;;or.or036;
usaor;OR;OR37;;;;or.or037;
usaor;OR;OR38;;;;or.or038;
usaor;OR;OR39;;;;or.or039;
usaor;OR;OR39;Bus;Kla;Klamath Falls;or.or039buskla;
usaor;OR;OR42;;;;or.or042;
usaor;OR;OR42S;;;;or.or042s;
usaor;OR;OR42;Bus;Coq;Coquille;or.or042buscoq;
usaor;OR;OR43;;;;or.or043;
usaor;OR;OR46;;;;or.or046;
usaor;OR;OR47;;;;or.or047;
usaor;OR;OR51;;;;or.or051;
usaor;OR;OR52;;;;or.or052;
usaor;OR;OR53;;;;or.or053;
usaor;OR;OR58;;;;or.or058;
usaor;OR;OR62;;;;or.or062;
usaor;OR;OR66;;;;or.or066;
usaor;OR;OR70;;;;or.or070;
usaor;OR;OR74;;;;or.or074;
usaor;OR;OR78;;;;or.or078;
usaor;OR;OR82;;;;or.or082;
usaor;OR;OR82;Trk;Elg;Elgin;or.or082trkelg;
usaor;OR;OR86;;;;or.or086;
usaor;OR;OR86S;;Hal;Halfway;or.or086s;
usaor;OR;OR99;;;;or.or099;
usaor;OR;OR99E;;;;or.or099e;
usaor;OR;OR99E;Bus;Sal;Salem;or.or099ebussal;
usaor;OR;OR99W;;;;or.or099w;
usaor;OR;OR103;;;;or.or103;
usaor;OR;OR104;;;;or.or104;
usaor;OR;OR104S;;War;Warrenton;or.or104s;
usaor;OR;OR120;;;;or.or120;
usaor;OR;OR126;;;;or.or126;
usaor;OR;OR126;Bus;Spr;Springfield;or.or126busspr;
usaor;OR;OR130;;;;or.or130;
usaor;OR;OR131;;;;or.or131;
usaor;OR;OR131;Trk;Til;Tillamook;or.or131trktil;
usaor;OR;OR138;;;;or.or138;
usaor;OR;OR140;;;;or.or140;
usaor;OR;OR141;;;;or.or141;
usaor;OR;OR153;;;;or.or153;
usaor;OR;OR154;;;;or.or154;
usaor;OR;OR164;;;;or.or164;
usaor;OR;OR173;;;;or.or173;
usaor;OR;OR180;;;;or.or180;
usaor;OR;OR182;;;;or.or182;
usaor;OR;OR194;;;;or.or194;
usaor;OR;OR200;;;;or.or200;
usaor;OR;OR201;;;;or.or201;
