systemName;route;banner;groupName;roots
usapa;PA3;;;pa.pa003
usapa;PA5;;;pa.pa005
usapa;PA5;Alt;Erie;pa.pa005alteri
usapa;PA8;;;pa.pa008
usapa;PA8;Bus;Oil City;pa.pa008busoil
usapa;PA8;Trk;Titusville;pa.pa008trktit
usapa;PA10;;;pa.pa010
usapa;PA12;;;pa.pa012
usapa;PA14;;;pa.pa014
usapa;PA16;;;pa.pa016
usapa;PA17;;;pa.pa017
usapa;PA18;;;pa.pa018
usapa;PA21;;;pa.pa021
usapa;PA23;;;pa.pa023
usapa;PA23;AltTrk;King of Prussia;pa.pa023alttrkkop
usapa;PA24;;;pa.pa024
usapa;PA25;;;pa.pa025
usapa;PA26;;;pa.pa026
usapa;PA27;;;pa.pa027
usapa;PA27;Trk;Titusville;pa.pa027trktit
usapa;PA28;;;pa.pa028
usapa;PA28;Trk;Brookville;pa.pa028trkbro
usapa;PA29;;Phoenixville;pa.pa029pho
usapa;PA29;;Tunkhannock;pa.pa029
usapa;PA29;Trk;Macungie;pa.pa029trkmac
usapa;PA31;;;pa.pa031
usapa;PA32;;;pa.pa032
usapa;PA33;;;pa.pa033
usapa;PA34;;;pa.pa034
usapa;PA35;;;pa.pa035
usapa;PA36;;;pa.pa036
usapa;PA38;;;pa.pa038
usapa;PA39;;;pa.pa039
usapa;PA41;;;pa.pa041
usapa;PA42;;;pa.pa042
usapa;PA42;Trk;Eagles Mere;pa.pa042trkeag
usapa;PA43;;;pa.pa043
usapa;PA44;;;pa.pa044,ny.pa044cer
usapa;PA45;;;pa.pa045
usapa;PA45;Trk;Spruce Creek;pa.pa045trkspr
usapa;PA46;;;pa.pa046
usapa;PA48;;;pa.pa048
usapa;PA49;;;pa.pa049
usapa;PA50;;;pa.pa050
usapa;PA51;;;pa.pa051
usapa;PA52;;;pa.pa052
usapa;PA53;;;pa.pa053
usapa;PA54;;;pa.pa054
usapa;PA56;;;pa.pa056
usapa;PA56;Trk;New Kensington;pa.pa056trknew
usapa;PA58;;;pa.pa058
usapa;PA59;;;pa.pa059
usapa;PA60;;;pa.pa060
usapa;PA61;;;pa.pa061
usapa;PA61;Trk;Sunbury;pa.pa061trksun
usapa;PA63;;;pa.pa063
usapa;PA64;;;pa.pa064
usapa;PA65;;;pa.pa065
usapa;PA65;Trk;McKees Rocks;pa.pa065trkmck
usapa;PA65;Trk;New Castle;pa.pa065trknew
usapa;PA66;;;pa.pa066
usapa;PA66;Alt;Vandergrift;pa.pa066altvan
usapa;PA66;Bus;Greensburg;pa.pa066busgre
usapa;PA68;;;pa.pa068
usapa;PA69;;;pa.pa069
usapa;PA72;;;pa.pa072
usapa;PA73;;;pa.pa073
usapa;PA74;;;pa.pa074
usapa;PA75;;;pa.pa075
usapa;PA77;;;pa.pa077
usapa;PA82;;;pa.pa082
usapa;PA85;;;pa.pa085
usapa;PA86;;;pa.pa086
usapa;PA87;;;pa.pa087
usapa;PA88;;;pa.pa088
usapa;PA88;Trk;California;pa.pa088trkcal
usapa;PA89;;;pa.pa089
usapa;PA92;;;pa.pa092
usapa;PA93;;;pa.pa093
usapa;PA94;;;pa.pa094
usapa;PA96;;;pa.pa096
usapa;PA97;;Littlestown;pa.pa097lit
usapa;PA97;;Erie;pa.pa097
usapa;PA98;;;pa.pa098
usapa;PA99;;;pa.pa099
usapa;PA100;;;pa.pa100
usapa;PA100;Trk;Macungie;pa.pa100trkmac
usapa;PA102;;;pa.pa102
usapa;PA103;;;pa.pa103
usapa;PA104;;;pa.pa104
usapa;PA106;;;pa.pa106
usapa;PA107;;;pa.pa107
usapa;PA108;;;pa.pa108
usapa;PA110;;;pa.pa110
usapa;PA113;;;pa.pa113
usapa;PA114;;;pa.pa114
usapa;PA115;;;pa.pa115
usapa;PA116;;;pa.pa116
usapa;PA117;;;pa.pa117
usapa;PA118;;;pa.pa118
usapa;PA120;;;pa.pa120
usapa;PA121;;;pa.pa121
usapa;PA124;;;pa.pa124
usapa;PA125;;;pa.pa125
usapa;PA127;;;pa.pa127
usapa;PA128;;;pa.pa128
usapa;PA130;;;pa.pa130
usapa;PA132;;;pa.pa132
usapa;PA134;;;pa.pa134
usapa;PA136;;;pa.pa136
usapa;PA138;;;pa.pa138
usapa;PA143;;;pa.pa143
usapa;PA144;;;pa.pa144
usapa;PA144;Trk;Potters Mill;pa.pa144trkpot
usapa;PA144;Trk;Centre Hall;pa.pa144trkcen
usapa;PA145;;;pa.pa145
usapa;PA146;;;pa.pa146
usapa;PA147;;;pa.pa147
usapa;PA148;;;pa.pa148
