System;Region;Route;Banner;Locale;Label;File;AltRouteNames
usapr;PR;PR1;;;;pr.pr0001;
usapr;PR;PR2;;;;pr.pr0002;
usapr;PR;PR2R;;Agu;Aguadilla;pr.pr0002ragu;
usapr;PR;PR2R;;May;Mayagüez;pr.pr0002rmay;
usapr;PR;PR2R;;Pon;Ponce;pr.pr0002rpon;
usapr;PR;PR3;;;;pr.pr0003;
usapr;PR;PR5;;;Bayamón;pr.pr0005;
usapr;PR;PR5;;Toa;Toa Alta;pr.pr0005toa;
usapr;PR;PR6;;;;pr.pr0006;
usapr;PR;PR8;;;;pr.pr0008;
usapr;PR;PR9;;;;pr.pr0009;
usapr;PR;PR10;;;Arecibo;pr.pr0010;
usapr;PR;PR10;;Pon;Ponce;pr.pr0010pon;
usapr;PR;PR12;;;;pr.pr0012;
usapr;PR;PR14;;;;pr.pr0014;
usapr;PR;PR15;;;;pr.pr0015;
usapr;PR;PR16;;;;pr.pr0016;
usapr;PR;PR17;;;;pr.pr0017;
usapr;PR;PR18;;;;pr.pr0018;
usapr;PR;PR19;;;;pr.pr0019;
usapr;PR;PR20;;;;pr.pr0020;
usapr;PR;PR21;;;;pr.pr0021;
usapr;PR;PR22;;;;pr.pr0022;
usapr;PR;PR23;;;;pr.pr0023;
usapr;PR;PR24;;;;pr.pr0024;
usapr;PR;PR25;;;;pr.pr0025;
usapr;PR;PR26;;;;pr.pr0026;
usapr;PR;PR27;;;;pr.pr0027;
usapr;PR;PR28;;;;pr.pr0028;
usapr;PR;PR29;;;;pr.pr0029;
usapr;PR;PR31;;;;pr.pr0031;
usapr;PR;PR32;;;;pr.pr0032;
usapr;PR;PR33;;;;pr.pr0033;
usapr;PR;PR34;;;;pr.pr0034;
usapr;PR;PR35;;;;pr.pr0035;
usapr;PR;PR36;;;;pr.pr0036;
usapr;PR;PR37;;;;pr.pr0037;
usapr;PR;PR38;;;;pr.pr0038;
usapr;PR;PR39;;;;pr.pr0039;
usapr;PR;PR40;;;;pr.pr0040;
usapr;PR;PR41;;;;pr.pr0041;
usapr;PR;PR42;;;;pr.pr0042;
usapr;PR;PR47;;;;pr.pr0047;
usapr;PR;PR52;;;;pr.pr0052;
usapr;PR;PR53;;Mau;Maunabo;pr.pr0053mau;
usapr;PR;PR53;;Pat;Patillas;pr.pr0053pat;
usapr;PR;PR54;;;;pr.pr0054;
usapr;PR;PR60;;;;pr.pr0060;
usapr;PR;PR63;;;;pr.pr0063;
usapr;PR;PR64;;;;pr.pr0064;
usapr;PR;PR65;;;;pr.pr0065;
usapr;PR;PR100;;;;pr.pr0100;
usapr;PR;PR101;;;;pr.pr0101;
usapr;PR;PR102;;;;pr.pr0102;
usapr;PR;PR103;;;;pr.pr0103;
usapr;PR;PR104;;;;pr.pr0104;
usapr;PR;PR105;;;;pr.pr0105;
usapr;PR;PR106;;;;pr.pr0106;
usapr;PR;PR107;;;;pr.pr0107;
usapr;PR;PR108;;;;pr.pr0108;
usapr;PR;PR109;;;;pr.pr0109;
usapr;PR;PR110;;;;pr.pr0110;
usapr;PR;PR110R;;Agu;Aguadilla;pr.pr0110ragu;
usapr;PR;PR110R;;Moc;Moca;pr.pr0110rmoc;
usapr;PR;PR111;;;;pr.pr0111;
usapr;PR;PR111R;;;;pr.pr0111r;
usapr;PR;PR112;;;;pr.pr0112;
usapr;PR;PR113;;;;pr.pr0113;
usapr;PR;PR114;;;;pr.pr0114;
usapr;PR;PR115;;;;pr.pr0115;
usapr;PR;PR116;;;;pr.pr0116;
usapr;PR;PR117;;;;pr.pr0117;
usapr;PR;PR118;;;;pr.pr0118;
usapr;PR;PR119;;;;pr.pr0119;
usapr;PR;PR120;;;;pr.pr0120;
usapr;PR;PR121;;;;pr.pr0121;
usapr;PR;PR122;;;Lajas;pr.pr0122;
usapr;PR;PR122;;San;San Germán;pr.pr0122san;
usapr;PR;PR123;;;;pr.pr0123;
usapr;PR;PR124;;;;pr.pr0124;
usapr;PR;PR125;;;;pr.pr0125;
usapr;PR;PR127;;;;pr.pr0127;
usapr;PR;PR128;;;;pr.pr0128;
usapr;PR;PR129;;;;pr.pr0129;
usapr;PR;PR130;;;;pr.pr0130;
usapr;PR;PR131;;;;pr.pr0131;
usapr;PR;PR132;;;;pr.pr0132;
usapr;PR;PR133;;;;pr.pr0133;
usapr;PR;PR134;;;;pr.pr0134;
usapr;PR;PR135;;;;pr.pr0135;
usapr;PR;PR136;;;Guayanilla(N);pr.pr0136;
usapr;PR;PR136;;Gua;Guayanilla(S);pr.pr0136gua;
usapr;PR;PR137;;;;pr.pr0137;
usapr;PR;PR138;;;;pr.pr0138;
usapr;PR;PR139;;;;pr.pr0139;
usapr;PR;PR139R;;;;pr.pr0139r;
usapr;PR;PR140;;;;pr.pr0140;
usapr;PR;PR141;;;;pr.pr0141;
usapr;PR;PR142;;;;pr.pr0142;
usapr;PR;PR143;;;;pr.pr0143;
usapr;PR;PR144;;;;pr.pr0144;
usapr;PR;PR145;;;;pr.pr0145;
usapr;PR;PR146;;;;pr.pr0146;
usapr;PR;PR148;;;;pr.pr0148;
usapr;PR;PR149;;;;pr.pr0149;
usapr;PR;PR149R;;;;pr.pr0149r;
usapr;PR;PR150;;;;pr.pr0150;
usapr;PR;PR151;;;;pr.pr0151;
usapr;PR;PR152;;;;pr.pr0152;
usapr;PR;PR152R;;;;pr.pr0152r;
usapr;PR;PR153;;;;pr.pr0153;
usapr;PR;PR154;;;;pr.pr0154;
usapr;PR;PR155;;;;pr.pr0155;
usapr;PR;PR156;;;;pr.pr0156;
usapr;PR;PR157;;;;pr.pr0157;
usapr;PR;PR159;;;;pr.pr0159;
usapr;PR;PR160;;;;pr.pr0160;
usapr;PR;PR161;;;;pr.pr0161;
usapr;PR;PR162;;;;pr.pr0162;
usapr;PR;PR163;;;;pr.pr0163;
usapr;PR;PR164;;;;pr.pr0164;
usapr;PR;PR165;;;;pr.pr0165;
usapr;PR;PR165R;;;;pr.pr0165r;
usapr;PR;PR166;;;;pr.pr0166;
usapr;PR;PR167;;;;pr.pr0167;
usapr;PR;PR168;;;;pr.pr0168;
usapr;PR;PR169;;;;pr.pr0169;
usapr;PR;PR170;;;;pr.pr0170;
usapr;PR;PR171;;;;pr.pr0171;
usapr;PR;PR172;;;;pr.pr0172;
usapr;PR;PR173;;;;pr.pr0173;
usapr;PR;PR174;;;;pr.pr0174;
usapr;PR;PR175;;;;pr.pr0175;
usapr;PR;PR176;;;;pr.pr0176;
