systemName;route;banner;groupName;roots
usasf;AirExpy;;Airport Expressway;wa.airexpy
usasf;AllAmeFwy;;All American Freeway;nc.allamefwy
usasf;AtlBlvd;;Atlantic Boulevard;oh.atlblvd
usasf;AtlCityExpy;;Atlantic City Expressway;nj.atlcityexpy
usasf;BeltPkwy;;Belt Parkway;ny.beltpkwy
usasf;BerCon;;New York Thruway Berkshire Connector;ny.bercon
usasf;BetRossBri;;Betsy Ross Bridge;pa.betrossbri
usasf;BroRivPkwy;;Bronx River Parkway;ny.brorivpkwy
usasf;CR215;;Bruce Woodbury Beltway;nv.cr215
usasf;CabJohnPkwy;;Cabin John Parkway;md.cabjohnpkwy
usasf;CenScrExp;;Central Scranton Expressway;pa.censcrexp
usasf;ChiTrlPkwy;;Chisholm Trail Parkway;tx.chitrlpkwy
usasf;CirHwy;;Circumferential Highway;nh.cirhwy
usasf;CTTpk;;(East) Connecticut Turnpike;ct.cttpk
usasf;CroCouPkwy;;Cross County Parkway;ny.crocoupkwy
usasf;CroIslPkwy;;Cross Island Parkway;ny.croislpkwy
usasf;DalNorTlwy;;Dallas North Tollway;tx.dalnortlwy
usasf;DayAirRd;;Dayton International Airport Access Road;oh.dayairrd
usasf;DelHwy;;Delta Highway;or.delhwy
usasf;E470;;E-470 Tollway;co.e470
usasf;EveTpk;;Everett Turnpike;nh.evetpk
usasf;FLTpk;;Florida's Turnpike;fl.fltpk
usasf;FLTpk;;Florida's Turnpike (Miami Gardens);fl.fltpkmia
usasf;FBPTollRd;;Fort Bend Parkway Toll Road;tx.fbptollrd
usasf;FBTollRd;;Fort Bend Toll Road;tx.fbtollrd
usasf;FDRooDr;;Franklin D. Roosevelt Drive;ny.fdroodr
usasf;GarStaPkwy;;Garden State Parkway;nj.garstapkwy,ny.garstapkwy
usasf;GilExpy;;Gilcrease Expressway;ok.gilexpy
usasf;GraCenPkwy;;Grand Central Parkway;ny.gracenpkwy
usasf;HarTollRd;;Hardy Toll Road;tx.hartollrd
usasf;HarRivDr;;Harlem River Drive;ny.harrivdr
usasf;HarTruPkwy;;Harry S Truman Parkway;ga.hartrupkwy
usasf;HecPkwy;;Heckscher Parkway;ny.hecpkwy
usasf;HenHudPkwy;;Henry Hudson Parkway;ny.henhudpkwy
usasf;HicPkwy;;Walter J. Hickel Parkway;ak.hicpkwy
usasf;HutRivPkwy;;Hutchinson River Parkway;ny.hutrivpkwy
usasf;IndNatTpk;;Indian Nation Turnpike;ok.indnattpk
usasf;JamWhiPkwy;;James White Parkway;tn.jamwhipkwy
usasf;JohnKilTpk;;John Kilpatrick Turnpike;ok.johnkiltpk
usasf;KeyPkwy;;Keystone Parkway;in.keypkwy
usasf;LakeOntPkwy;;Lake Ontario State Parkway;ny.lakeontpkwy
usasf;LakePonCswy;;Lake Pontchartrain Causeway;la.lakeponcswy
usasf;LaSExpy;;LaSalle Expressway;ny.lasexpy
usasf;LowCon;;Lowell Connector;ma.lowcon
usasf;MTAppRd;;Maine Turnpike Approach Rd;me.mtapprd
usasf;MeaStaPkwy;;Meadowbrook State Parkway;ny.meastapkwy
usasf;MilPkwy;;Milford Parkway;ct.milpkwy
usasf;NJTpk;;New Jersey Turnpike;nj.njtpk
usasf;NorSpurTpk;;Norman Spur Turnpike;ok.norspurtpk
usasf;NorStaPkwy;;Northern State Parkway;ny.norstapkwy
usasf;NWPkwy;;Northwest Parkway;co.nwpkwy
usasf;PalIntPkwy;;Palisades Interstate Parkway;nj.palintpkwy,ny.palintpkwy
usasf;PenaBlvd;;Pena Boulevard;co.penablvd
usasf;GeoBushTpk;;President George Bush Turnpike;tx.geobushtpk
usasf;RalChaExpy;;Raleigh Chapel Hill Expressway;nc.ralchaexpy
usasf;RobMosCswy;;Robert Moses Causeway;ny.robmoscswy
usasf;RonReaHwy;;Ronald Reagan Highway;oh.ronreahwy
usasf;RonReaPkwy;;Ronald Reagan Parkway;ga.ronreapkwy
usasf;SagStaPkwy;;Sagtikos State Parkway;ny.sagstapkwy
usasf;SamCooBlvd;;Sam Cooper Boulevard;tn.samcooblvd
usasf;SamJonExpy;;Sam Jones Expressway;in.samjonexpy
usasf;SawMillPkwy;;Saw Mill River Parkway;ny.sawmillpkwy
usasf;ScaCon;;Scarborough Connector;me.scacon
usasf;ShaAve;;Shadeland Avenue;in.shaave
usasf;SkyHarBlvd;;Sky Harbor Boulevard;az.skyharblvd
usasf;SouStaPkwy;;Southern State Parkway;ny.soustapkwy
usasf;SprBroPkwy;;Sprain Brook Parkway;ny.sprbropkwy
usasf;StiCon;;Stillwater Connection;ok.sticon
usasf;SumPkwy;;Summerlin Parkway;nv.sumpkwy
usasf;SunMeaPkwy;;Sunken Meadow State Parkway;ny.sunmeapkwy
usasf;TacStaPkwy;;Taconic State Parkway;ny.tacstapkwy
usasf;TurDia;;Turner Diagonal;ks.turdia
usasf;VetMemPkwy;;Veterans Memorial Parkway;in.vetmempkwy
usasf;VetPkwy;;Veterans Parkway;ga.vetpkwy
usasf;WanStaPkwy;;Wantagh State Parkway;ny.wanstapkwy
usasf;WSeaBri;;West Seattle Bridge;wa.wseabri
usasf;WesTlwy;;Westpark Tollway;tx.westlwy
usasf;WesPkwy;;Westside Parkway;ca.wespkwy
