system;region;route;banner;abbrev;city;fileroot;AltRouteNames
usatn;TN;TN1;;Spa;Sparta;tn.tn001spa;
usatn;TN;TN1;;;Memphis;tn.tn001;
usatn;TN;TN2;;;;tn.tn002;
usatn;TN;TN3;;;;tn.tn003;
usatn;TN;TN5;;;;tn.tn005;
usatn;TN;TN7;;Ard;Ardmore;tn.tn007ard;
usatn;TN;TN7;;;Columbia;tn.tn007;
usatn;TN;TN8;;;McMinnville;tn.tn008;
usatn;TN;TN8;;Cha;Chattanooga;tn.tn008cha;
usatn;TN;TN10;;;;tn.tn010;
usatn;TN;TN11;;;;tn.tn011;
usatn;TN;TN12;;;;tn.tn012;
usatn;TN;TN13;;;;tn.tn013;
usatn;TN;TN14;;;;tn.tn014;
usatn;TN;TN15;;;;tn.tn015;
usatn;TN;TN16;;;;tn.tn016;
usatn;TN;TN17;;StE;St Elmo;tn.tn017ste;
usatn;TN;TN17;;;Chattanooga;tn.tn017;
usatn;TN;TN18;;;;tn.tn018;
usatn;TN;TN19;;;;tn.tn019;
usatn;TN;TN20;;;;tn.tn020;
usatn;TN;TN21;;;;tn.tn021;
usatn;TN;TN22;;;;tn.tn022;
usatn;TN;TN22;Alt;Env;Enville;tn.tn022altenv;
usatn;TN;TN22;Bus;Hun;Huntingdon;tn.tn022bushun;
usatn;TN;TN25;;;;tn.tn025;
usatn;TN;TN27;;;;tn.tn027;
usatn;TN;TN28;;;;tn.tn028;
usatn;TN;TN29;;;;tn.tn029;
usatn;TN;TN30;;;;tn.tn030;
usatn;TN;TN31;;;;tn.tn031;
usatn;TN;TN32;;;;tn.tn032;
usatn;TN;TN33;;;;tn.tn033;
usatn;TN;TN35;;;;tn.tn035;
usatn;TN;TN36;;;;tn.tn036;
usatn;TN;TN39;;;;tn.tn039;
usatn;TN;TN43;;;;tn.tn043;
usatn;TN;TN44;;;;tn.tn044;
usatn;TN;TN45;;;;tn.tn045;
usatn;TN;TN46;;;Dickson;tn.tn046;
usatn;TN;TN46;;Ind;Indian Mound;tn.tn046ind;
usatn;TN;TN47;;;;tn.tn047;
usatn;TN;TN48;;;;tn.tn048;
usatn;TN;TN48;Bus;Dic;Dickson;tn.tn048busdic;
usatn;TN;TN49;;;;tn.tn049;
usatn;TN;TN50;;;Columbia;tn.tn050;
usatn;TN;TN50;;Win;Winchester;tn.tn050win;
usatn;TN;TN51;;;;tn.tn051;
usatn;TN;TN52;;;;tn.tn052;
usatn;TN;TN53;;;;tn.tn053;
usatn;TN;TN54;;;;tn.tn054;
usatn;TN;TN55;;;;tn.tn055;
usatn;TN;TN55;Bus;McM;McMinnville;tn.tn055busmcm;
usatn;TN;TN56;;;McMinnville;tn.tn056;
usatn;TN;TN56;;Sew;Sewanee;tn.tn056sew;
usatn;TN;TN57;;;;tn.tn057;
usatn;TN;TN58;;Cha;Chattanooga;tn.tn058cha;
usatn;TN;TN58;;;Kingston;tn.tn058;
usatn;TN;TN59;;;;tn.tn059;
usatn;TN;TN60;;;;tn.tn060;
usatn;GA;TN68;;;;ga.tn068;
usatn;TN;TN68;;;;tn.tn068;
usatn;TN;TN125;;;;tn.tn125;
usatn;TN;TN142;;;;tn.tn142;
usatn;TN;TN175;;;;tn.tn175;
usatn;TN;TN176;;;;tn.tn176;
usatn;TN;TN234;;;;tn.tn234;
