system;route;banner;groupname;roots
usatn;TN1;;Sparta;tn.tn001spa
usatn;TN1;;Memphis;tn.tn001
usatn;TN2;;;tn.tn002
usatn;TN3;;;tn.tn003
usatn;TN5;;;tn.tn005
usatn;TN7;;Ardmore;tn.tn007ard
usatn;TN7;;Columbia;tn.tn007
usatn;TN8;;McMinnville;tn.tn008
usatn;TN8;;Chattanooga;tn.tn008cha
usatn;TN10;;;tn.tn010
usatn;TN11;;;tn.tn011
usatn;TN12;;;tn.tn012
usatn;TN13;;;tn.tn013
usatn;TN14;;;tn.tn014
usatn;TN15;;;tn.tn015
usatn;TN16;;;tn.tn016
usatn;TN17;;St Elmo;tn.tn017ste
usatn;TN17;;Chattanooga;tn.tn017
usatn;TN18;;;tn.tn018
usatn;TN19;;;tn.tn019
usatn;TN20;;;tn.tn020
usatn;TN21;;;tn.tn021
usatn;TN22;;;tn.tn022
usatn;TN22;Alt;Enville;tn.tn022altenv
usatn;TN22;Bus;Huntingdon;tn.tn022bushun
usatn;TN25;;;tn.tn025
usatn;TN27;;;tn.tn027
usatn;TN28;;;tn.tn028
usatn;TN29;;;tn.tn029
usatn;TN30;;;tn.tn030
usatn;TN31;;;tn.tn031
usatn;TN32;;;tn.tn032
usatn;TN33;;;tn.tn033
usatn;TN35;;;tn.tn035
usatn;TN36;;;tn.tn036
usatn;TN39;;;tn.tn039
usatn;TN43;;;tn.tn043
usatn;TN44;;;tn.tn044
usatn;TN45;;;tn.tn045
usatn;TN46;;Dickson;tn.tn046
usatn;TN46;;Indian Mound;tn.tn046ind
usatn;TN47;;;tn.tn047
usatn;TN48;;;tn.tn048
usatn;TN48;Bus;Dickson;tn.tn048busdic
usatn;TN49;;;tn.tn049
usatn;TN50;;Columbia;tn.tn050
usatn;TN50;;Winchester;tn.tn050win
usatn;TN51;;;tn.tn051
usatn;TN52;;;tn.tn052
usatn;TN53;;;tn.tn053
usatn;TN54;;;tn.tn054
usatn;TN55;;;tn.tn055
usatn;TN55;Bus;McMinnville;tn.tn055busmcm
usatn;TN56;;McMinnville;tn.tn056
usatn;TN56;;Sewanee;tn.tn056sew
usatn;TN57;;;tn.tn057
usatn;TN58;;Chattanooga;tn.tn058cha
usatn;TN58;;Kingston;tn.tn058
usatn;TN59;;;tn.tn059
usatn;TN60;;;tn.tn060
usatn;TN68;;;ga.tn068,tn.tn068
usatn;TN125;;;tn.tn125
usatn;TN142;;;tn.tn142
usatn;TN175;;;tn.tn175
usatn;TN176;;;tn.tn176
usatn;TN234;;;tn.tn234
